"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1986-02-13 24.58 "NYK" "" "PHI" "L" -3 0 11 0.512 0.5 0 21.8 10.6 0 0 0 0 18.9 104 98 2 -4.3
"2" "2" 1986-02-15 24.59 "NYK" "" "UTA" "L" -7 0 5 0.532 0 21.8 0 13.2 0 10.5 0 0 16.4 143 94 2.2 3.6
"3" "3" 1986-02-17 24.59 "NYK" "@" "CLE" "L" -14 0 18 0.667 0.667 5.9 30.5 16.7 7.5 0 0 40 12.8 88 118 2.1 -8.6
"4" "4" 1986-02-18 24.6 "NYK" "" "CLE" "L" -6 0 4 0.5 0.5 26.7 64.9 43.9 0 0 0 20 50.3 83 102 1.5 -13.9
"5" "5" 1986-02-21 24.61 "NYK" "" "SEA" "W" 13 0 11 0.667 0.667 20.8 9.7 15 0 4.1 5.8 0 10.3 151 92 5.7 6.1
"6" "6" 1986-02-23 24.61 "NYK" "" "LAC" "L" -11 0 2 NA NA 0 0 0 0 0 0 NA 0 0 115 0 -8.5
"7" "7" 1986-03-01 24.63 "NYK" "" "NJN" "L" -2 0 6 0 0 20.5 0 9.6 0 0 19 50 13.6 28 91 -0.4 -11.9
"8" "8" 1986-03-03 24.63 "NYK" "@" "MIL" "L" -7 0 1 NA NA 0 0 0 0 0 0 NA 0 0 128 0 -4.6
"9" "9" 1986-03-04 24.64 "NYK" "" "WSB" "W" 36 0 28 0.82 0.833 7.8 32.8 24.8 8.3 13.8 0 21.5 15 131 56 19.4 18.4
"10" "10" 1986-03-06 24.64 "NYK" "@" "WSB" "L" -2 0 13 0.798 1 0 18.5 10.6 10.8 3.6 4.9 34.7 9.8 104 93 1.9 -1.4
"11" "11" 1986-03-07 24.64 "NYK" "@" "BOS" "L" -7 0 20 0.574 0.6 30.6 21.8 27 39 2.4 0 0 23.8 139 115 15.3 13
"12" "12" 1986-03-09 24.65 "NYK" "@" "CHI" "L" -13 0 32 0.563 0.5 11.8 25.6 19 14.1 0 1.9 10.1 13.5 125 118 10.4 -0.3
"13" "13" 1986-03-11 24.65 "NYK" "" "CLE" "L" -5 0 10 1 1 11.4 9.6 10.4 18.8 0 0 25 16.5 142 113 4.2 3.9
"14" "14" 1986-03-12 24.66 "NYK" "@" "PHI" "L" -10 0 10 0.2 0.2 21.3 19.2 20.6 12.2 5 0 0 20.8 78 103 2.3 -2.9
"15" "15" 1986-03-14 24.66 "NYK" "@" "DET" "L" -23 0 7 0.532 0 13.2 18.5 15.4 0 7.1 0 34.7 17.2 87 106 2.3 -0.7
