"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1972-10-21 22.51 "HOU" "" "CHI" "L" -33 0 9 0.521 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1972-10-27 22.53 "HOU" "" "DET" "W" 12 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1972-10-31 22.54 "HOU" "@" "ATL" "W" 1 0 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1972-11-03 22.55 "HOU" "" "ATL" "L" -6 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1972-11-07 22.56 "HOU" "@" "LAL" "L" -13 0 4 0.333 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1972-11-10 22.56 "HOU" "@" "PHO" "L" -6 0 4 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1972-11-16 22.58 "HOU" "@" "NYK" "L" -19 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1972-11-21 22.59 "HOU" "@" "CHI" "L" -8 0 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1972-11-22 22.6 "HOU" "" "GSW" "W" 28 0 7 0.301 0 NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1972-11-28 22.61 "HOU" "" "BAL" "L" -18 0 NA 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1972-12-01 22.62 "HOU" "@" "BAL" "L" -7 0 3 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1972-12-20 22.67 "HOU" "" "NYK" "L" -22 0 4 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1972-12-27 22.69 "HOU" "" "LAL" "W" 32 0 3 0.515 0.667 NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1973-01-02 22.71 "HOU" "" "BOS" "L" -20 0 3 0.25 0.25 NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1973-01-04 22.72 "HOU" "@" "CHI" "L" -14 0 9 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1973-01-10 22.73 "HOU" "@" "BOS" "L" -21 0 4 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1973-01-13 22.74 "HOU" "" "CLE" "L" -8 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1973-01-20 22.76 "HOU" "" "POR" "L" -15 0 4 0.615 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1973-01-26 22.78 "HOU" "@" "BOS" "L" -13 0 12 0.47 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1973-01-28 22.78 "HOU" "" "ATL" "W" 8 0 NA 0.6 0.6 NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1973-01-30 22.79 "HOU" "@" "POR" "W" 3 0 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1973-01-31 22.79 "HOU" "@" "SEA" "L" -9 0 7 0.587 0.4 NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1973-02-02 22.79 "HOU" "@" "LAL" "L" -17 0 12 0.478 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1973-02-03 22.8 "HOU" "@" "PHO" "L" -9 0 7 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1973-02-04 22.8 "HOU" "" "BUF" "W" 12 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1973-02-06 22.81 "HOU" "" "PHI" "W" 6 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1973-02-13 22.82 "HOU" "@" "KCO" "L" -14 0 NA 0.25 0.25 NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1973-02-17 22.84 "HOU" "" "PHO" "W" 16 0 11 0.434 0.25 NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1973-02-18 22.84 "HOU" "" "CHI" "L" -11 0 11 0.387 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1973-02-21 22.85 "HOU" "" "SEA" "W" 32 0 14 0.218 0.167 NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1973-02-23 22.85 "HOU" "" "PHI" "W" 22 0 9 0.515 0.667 NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1973-02-25 22.86 "HOU" "@" "DET" "L" -17 0 NA 0.75 0.75 NA NA NA NA NA NA NA NA NA NA NA NA
"33" "33" 1973-03-04 22.88 "HOU" "" "MIL" "L" -15 0 5 0.647 1 NA NA NA NA NA NA NA NA NA NA NA NA
"34" "34" 1973-03-07 22.88 "HOU" "" "CLE" "L" -18 0 6 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"35" "35" 1973-03-09 22.89 "HOU" "" "BAL" "L" -5 0 NA 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"36" "36" 1973-03-10 22.89 "HOU" "" "CLE" "W" 15 0 4 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"37" "37" 1973-03-15 22.91 "HOU" "@" "GSW" "L" -16 0 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "38" 1973-03-16 22.91 "HOU" "@" "POR" "L" -13 0 8 0.41 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"39" "39" 1973-03-18 22.92 "HOU" "@" "SEA" "L" -9 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "40" 1973-03-21 22.92 "HOU" "@" "BAL" "W" 8 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "41" 1973-03-27 22.94 "HOU" "" "BUF" "W" 10 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "42" 1973-03-28 22.94 "HOU" "" "BUF" "W" 16 0 NA 0.25 0.25 NA NA NA NA NA NA NA NA NA NA NA NA
