"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1993-11-05 22.73 "DEN" "@" "SAC" "L" -9 0 9 0.167 0.167 10.1 0 5.8 0 0 13.2 14.3 30.3 43 107 -1.1 -14.3
"2" "2" 1993-11-07 22.74 "DEN" "" "LAC" "W" 2 0 3 NA NA 0 0 0 0 0 0 NA 0 0 106 0 -5.3
"3" "3" 1993-11-09 22.74 "DEN" "@" "SEA" "L" -32 0 11 0.205 0.25 28.5 0 14.7 47.4 8.8 0 0 18.4 85 110 5 13.2
"4" "4" 1993-11-12 22.75 "DEN" "@" "LAL" "W" 29 0 11 0.174 0 0 8.1 4.6 18.2 0 5 51 21.7 37 96 -1.4 -12.2
"5" "5" 1993-11-13 22.75 "DEN" "" "GSW" "L" -8 0 6 0 0 0 0 0 0 0 10.4 0 7 0 121 0 -3.9
"6" "6" 1993-11-16 22.76 "DEN" "" "SAS" "L" -12 0 9 0 0 0 11.9 5.6 0 0 0 0 15.1 0 99 -2.6 -19.2
"7" "7" 1993-11-18 22.77 "DEN" "" "CLE" "W" 7 0 2 0.568 NA 0 0 0 0 0 34.8 36.2 60.2 74 81 0.5 -3.2
"8" "8" 1993-11-24 22.78 "DEN" "@" "PHO" "L" -33 0 11 0.556 0.556 26.2 0 16 0 4.4 0 10 35 112 126 6.2 8
"9" "9" 1993-11-26 22.79 "DEN" "" "POR" "W" 11 0 2 0 0 54.5 0 25 0 0 0 0 39.6 38 111 -0.7 -31.8
"10" "10" 1993-11-27 22.79 "DEN" "" "NJN" "W" 22 0 18 0.375 0.375 0 4.7 2.9 7.2 2.5 3.1 0 19.5 78 88 3.5 -3.5
"11" "11" 1993-11-30 22.8 "DEN" "@" "UTA" "L" -11 0 3 0.694 1 0 0 0 100 0 0 0 40.4 119 112 3.3 27.7
"12" "12" 1993-12-03 22.81 "DEN" "" "CHH" "W" 8 0 8 0.532 0 0 0 0 0 0 0 0 9.3 139 106 1.3 -3.6
"13" "13" 1993-12-07 22.82 "DEN" "@" "GSW" "L" -5 0 8 0 0 14 0 7.1 0 0 0 66.7 16.9 20 109 -2 -19.5
"14" "14" 1993-12-10 22.83 "DEN" "" "UTA" "W" 9 0 8 0.5 0.5 0 10.9 6.5 16.7 0 0 0 10.1 120 103 2 2.5
"15" "15" 1993-12-11 22.83 "DEN" "@" "SAS" "L" -5 0 3 NA NA 0 0 0 0 0 0 NA 0 0 124 0 -1.9
"16" "16" 1993-12-14 22.84 "DEN" "@" "NYK" "L" -9 0 4 0.735 0.833 57.1 0 27.9 0 0 0 0 50.9 148 106 6.3 46.6
"17" "17" 1993-12-18 22.85 "DEN" "@" "ATL" "L" -6 0 11 0.6 0.6 12.1 27.3 20.8 0 0 0 16.7 24.8 103 106 4.3 2.2
"18" "18" 1993-12-21 22.86 "DEN" "" "PHO" "W" 26 0 8 0 0 0 0 0 0 0 7.6 34.7 14.6 0 95 -3 -17.7
"19" "19" 1993-12-23 22.86 "DEN" "@" "HOU" "W" 13 0 9 0.25 0.25 11.6 9 10.2 13.4 0 6.8 20 21.5 64 89 0.2 -5.1
"20" "20" 1993-12-26 22.87 "DEN" "" "MIN" "W" 3 0 3 NA NA 0 0 0 0 16.7 20.8 100 14.4 0 61 0.7 15.7
"21" "21" 1993-12-28 22.88 "DEN" "@" "DAL" "W" 12 0 10 0.2 0.2 0 0 0 0 10.2 0 0 21.5 50 85 0.5 -6
"22" "22" 1993-12-30 22.88 "DEN" "" "GSW" "W" 5 0 15 0.773 0.833 0 20.9 10 20.9 9.4 4 34 16.3 102 76 6.3 12.3
"23" "23" 1994-01-02 22.89 "DEN" "" "PHI" "L" -16 0 11 0 0 0 12.8 5.5 0 4.7 7.3 20.5 20.1 0 96 -2.3 -13.3
"24" "24" 1994-01-04 22.9 "DEN" "" "LAL" "L" -1 0 7 0 0 0 0 0 0 0 0 0 5.7 0 124 -1.5 -17.7
