"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "" 2018-10-16 22.05 "PHI" "@" "BOS" "L" -18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "" 2018-10-18 22.06 "PHI" "" "CHI" "W" 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "" 2018-10-20 22.07 "PHI" "" "ORL" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "" 2018-10-23 22.07 "PHI" "@" "DET" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "" 2018-10-24 22.08 "PHI" "@" "MIL" "L" -15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "" 2018-10-27 22.08 "PHI" "" "CHO" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "" 2018-10-29 22.09 "PHI" "" "ATL" "W" 21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "" 2018-10-30 22.09 "PHI" "@" "TOR" "L" -17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "" 2018-11-01 22.1 "PHI" "" "LAC" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "" 2018-11-03 22.1 "PHI" "" "DET" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "" 2018-11-04 22.11 "PHI" "@" "BRK" "L" -25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "" 2018-11-07 22.12 "PHI" "@" "IND" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "" 2018-11-09 22.12 "PHI" "" "CHO" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "" 2018-11-10 22.12 "PHI" "@" "MEM" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "" 2018-11-12 22.13 "PHI" "@" "MIA" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "" 2018-11-14 22.13 "PHI" "@" "ORL" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "" 2018-11-16 22.14 "PHI" "" "UTA" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "" 2018-11-17 22.14 "PHI" "@" "CHO" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "" 2018-11-19 22.15 "PHI" "" "PHO" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "" 2018-11-21 22.15 "PHI" "" "NOP" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "" 2018-11-23 22.16 "PHI" "" "CLE" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "" 2018-11-25 22.16 "PHI" "@" "BRK" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "" 2018-11-28 22.17 "PHI" "" "NYK" "W" 26 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "1" 2018-11-30 22.18 "PHI" "" "WAS" "W" 25 0 10.5166666666667 0.625 0.625 0 0 0 26.9 4.4 7.1 0 14.7 147 89 5.7 13.5
"25" "" 2018-12-02 22.18 "PHI" "" "MEM" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "" 2018-12-05 22.19 "PHI" "@" "TOR" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "" 2018-12-07 22.2 "PHI" "@" "DET" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "2" 2018-12-10 22.21 "PHI" "" "DET" "W" 14 0 3.15 NA NA 0 0 0 39.1 0 0 NA 0 238 114 0.7 4.4
"29" "3" 2018-12-12 22.21 "PHI" "" "BRK" "L" -3 0 4.56666666666667 0 0 0 0 0 21 0 0 0 9.1 64 134 -0.8 -16.9
"30" "4" 2018-12-14 22.22 "PHI" "" "IND" "L" -12 0 3.4 NA NA 0 32.8 14.7 0 0 0 NA 0 0 116 0.3 -3.9
"31" "5" 2018-12-16 22.22 "PHI" "@" "CLE" "W" 23 0 6.38333333333333 0 0 0 0 0 0 0 0 0 13.7 0 115 -1.8 -25.7
"32" "6" 2018-12-17 22.22 "PHI" "@" "SAS" "L" -27 0 8.08333333333333 0.714 0.714 33.6 18 27.6 0 0 0 0 37.4 143 132 8.7 22.8
"33" "7" 2018-12-19 22.23 "PHI" "" "NYK" "W" 22 0 3.78333333333333 0.868 0.75 0 27.6 14.8 74 0 0 0 33.8 196 112 5.7 36.9
"34" "8" 2018-12-22 22.24 "PHI" "" "TOR" "W" 25 0 4.23333333333333 1.25 1.25 0 0 0 0 21.2 0 0 20.4 250 57 6 45.7
"35" "" 2018-12-25 22.25 "PHI" "@" "BOS" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "" 2018-12-27 22.25 "PHI" "@" "UTA" "W" 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "" 2018-12-30 22.26 "PHI" "@" "POR" "L" -34 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "" 2019-01-01 22.27 "PHI" "@" "LAC" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "" 2019-01-02 22.27 "PHI" "@" "PHO" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "9" 2019-01-05 22.28 "PHI" "" "DAL" "W" 6 0 10.7166666666667 0.676 0.625 0 17.9 9.1 0 0 15.7 0 18.5 126 92 6 11.7
"41" "10" 2019-01-08 22.28 "PHI" "" "WAS" "W" 17 0 20.4333333333333 0.291 0.25 17.2 11.2 14.2 15.1 0 0 12.7 15.7 101 118 2 -11.7
"42" "11" 2019-01-09 22.29 "PHI" "@" "WAS" "L" -17 0 9.83333333333333 0.25 0.25 0 24.4 11.5 15.2 0 0 20 19.7 57 125 -0.1 -13.9
"43" "" 2019-01-11 22.29 "PHI" "" "ATL" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "" 2019-01-13 22.3 "PHI" "@" "NYK" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"45" "" 2019-01-15 22.3 "PHI" "" "MIN" "W" 42 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" "" 2019-01-17 22.31 "PHI" "@" "IND" "W" 24 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"47" "" 2019-01-19 22.32 "PHI" "" "OKC" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" "" 2019-01-21 22.32 "PHI" "" "HOU" "W" 28 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"49" "" 2019-01-23 22.33 "PHI" "" "SAS" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" "12" 2019-01-26 22.33 "PHI" "@" "DEN" "L" -16 0 20.4833333333333 0.786 0.786 4.6 0 2.5 8.2 2.3 0 0 14.3 150 125 9.3 6.3
"51" "" 2019-01-29 22.34 "PHI" "@" "LAL" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"52" "" 2019-01-31 22.35 "PHI" "@" "GSW" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"53" "13" 2019-02-02 22.35 "PHI" "@" "SAC" "L" -7 0 20.3833333333333 0.429 0.429 0 21.4 9.8 13.9 0 0 12.5 16.1 88 116 3.1 -5.9
"54" "" 2019-02-05 22.36 "PHI" "" "TOR" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"55" "" 2019-02-08 22.37 "PHI" "" "DEN" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"56" "" 2019-02-10 22.38 "PHI" "" "LAL" "W" 23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"57" "" 2019-02-12 22.38 "PHI" "" "BOS" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"58" "" 2019-02-13 22.38 "PHI" "@" "NYK" "W" 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"59" "" 2019-02-21 22.41 "PHI" "" "MIA" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"60" "" 2019-02-23 22.41 "PHI" "" "POR" "L" -15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"61" "" 2019-02-25 22.42 "PHI" "@" "NOP" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"62" "" 2019-02-28 22.42 "PHI" "@" "OKC" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"63" "" 2019-03-02 22.43 "PHI" "" "GSW" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"64" "" 2019-03-05 22.44 "PHI" "" "ORL" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"65" "" 2019-03-06 22.44 "PHI" "@" "CHI" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"66" "" 2019-03-08 22.45 "PHI" "@" "HOU" "L" -16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"67" "" 2019-03-10 22.45 "PHI" "" "IND" "W" 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"68" "" 2019-03-12 22.46 "PHI" "" "CLE" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"69" "" 2019-03-15 22.47 "PHI" "" "SAC" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"70" "" 2019-03-17 22.47 "PHI" "@" "MIL" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"71" "" 2019-03-19 22.48 "PHI" "@" "CHO" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"72" "" 2019-03-20 22.48 "PHI" "" "BOS" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"73" "" 2019-03-23 22.49 "PHI" "@" "ATL" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"74" "14" 2019-03-25 22.49 "PHI" "@" "ORL" "L" -21 0 21.7833333333333 0.813 0.813 0 4.8 2.7 0 0 0 0 17.7 152 135 8.9 2.2
