"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1979-10-12 22.06 "MIL" "@" "KCK" "L" -2 0 10 0.645 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1979-10-19 22.08 "MIL" "" "PHO" "W" 1 0 24 0.403 0.273 NA NA NA NA NA NA NA NA NA NA 8.7 NA
"3" "3" 1979-10-21 22.08 "MIL" "" "CHI" "W" 2 0 18 0.512 0.5 NA NA NA NA NA NA NA NA NA NA 0.6 NA
"4" "4" 1979-10-23 22.09 "MIL" "@" "PHO" "W" 6 0 8 0.532 1 NA NA NA NA NA NA NA NA NA NA -0.5 NA
"5" "5" 1979-10-25 22.09 "MIL" "@" "SDC" "W" 3 0 7 0.615 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1979-10-27 22.1 "MIL" "" "DET" "W" 14 0 14 0.451 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1979-10-31 22.11 "MIL" "" "LAL" "W" 4 0 6 0.532 0 NA NA NA NA NA NA NA NA NA NA 1.9 NA
"8" "8" 1979-11-03 22.12 "MIL" "@" "CHI" "W" 2 0 14 0.205 0 NA NA NA NA NA NA NA NA NA NA 0.2 NA
"9" "9" 1979-11-04 22.12 "MIL" "" "SEA" "L" -13 0 17 0.25 0.25 NA NA NA NA NA NA NA NA NA NA 2.2 NA
"10" "10" 1979-11-08 22.13 "MIL" "" "POR" "W" 9 0 6 1 1 NA NA NA NA NA NA NA NA NA NA 2.7 NA
"11" "11" 1979-11-10 22.14 "MIL" "" "SDC" "W" 29 0 17 0.8 0.8 NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1979-11-13 22.15 "MIL" "@" "POR" "W" 9 0 17 0.699 0.667 NA NA NA NA NA NA NA NA NA NA 7.6 NA
"13" "13" 1979-11-14 22.15 "MIL" "@" "SEA" "L" -19 0 23 0.502 0.5 NA NA NA NA NA NA NA NA NA NA 8.3 NA
"14" "14" 1979-11-18 22.16 "MIL" "@" "SDC" "L" -16 0 15 0.42 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1979-11-21 22.17 "MIL" "" "ATL" "W" 3 0 13 0.554 0.4 NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1979-11-22 22.17 "MIL" "@" "NJN" "W" 8 0 26 0.686 0.625 NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1979-11-23 22.17 "MIL" "@" "DET" "L" -19 0 23 0.506 0.444 NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1979-11-25 22.18 "MIL" "" "GSW" "W" 24 0 22 0.753 0.75 NA NA NA NA NA NA NA NA NA NA 9.1 NA
"19" "19" 1979-11-27 22.18 "MIL" "" "NJN" "L" -25 0 23 0.515 0.444 NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1979-11-28 22.19 "MIL" "@" "IND" "W" 8 0 19 0.394 0.375 NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1979-12-01 22.19 "MIL" "@" "GSW" "W" 10 0 11 1 1 NA NA NA NA NA NA NA NA NA NA 0.7 NA
"22" "22" 1979-12-02 22.2 "MIL" "@" "LAL" "L" -13 0 19 0.333 0.333 NA NA NA NA NA NA NA NA NA NA 3.4 NA
"23" "23" 1979-12-03 22.2 "MIL" "@" "UTA" "W" 7 0 11 0.333 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1979-12-05 22.21 "MIL" "@" "DEN" "L" -16 0 15 0.515 0.333 NA NA NA NA NA NA NA NA NA NA 5.2 NA
"25" "25" 1979-12-07 22.21 "MIL" "" "SAS" "L" -12 0 10 0.512 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1979-12-09 22.22 "MIL" "" "BOS" "L" -5 0 11 0.872 0.833 NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1979-12-11 22.22 "MIL" "" "SEA" "L" -4 0 20 0.506 0.444 NA NA NA NA NA NA NA NA NA NA 6.6 NA
"28" "28" 1979-12-12 22.22 "MIL" "@" "PHI" "L" -21 0 24 0.667 0.667 NA NA NA NA NA NA NA NA NA NA 7 NA
"29" "29" 1979-12-14 22.23 "MIL" "@" "BOS" "L" -3 0 14 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1979-12-16 22.24 "MIL" "" "UTA" "W" 25 0 18 0.694 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1979-12-20 22.25 "MIL" "" "KCK" "W" 11 0 13 0.931 1 NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1979-12-23 22.25 "MIL" "@" "PHO" "L" -3 0 19 0.674 0.571 NA NA NA NA NA NA NA NA NA NA 12.2 NA
"33" "33" 1979-12-26 22.26 "MIL" "" "CHI" "W" 9 0 26 0.354 0.333 NA NA NA NA NA NA NA NA NA NA 6.9 NA
"34" "34" 1979-12-27 22.27 "MIL" "@" "WSB" "L" -9 0 29 0.758 0.727 NA NA NA NA NA NA NA NA NA NA NA NA
"35" "35" 1979-12-29 22.27 "MIL" "@" "NYK" "L" -12 0 33 0.65 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"36" "36" 1980-01-03 22.28 "MIL" "" "IND" "W" 10 0 28 0.352 0.25 NA NA NA NA NA NA NA NA NA NA NA NA
"37" "37" 1980-01-05 22.29 "MIL" "@" "CLE" "W" 1 0 32 0.383 0.4 NA NA NA NA NA NA NA NA NA NA NA NA
"38" "38" 1980-01-06 22.29 "MIL" "" "LAL" "W" 10 0 26 0.335 0.3 NA NA NA NA NA NA NA NA NA NA 7.7 NA
"39" "39" 1980-01-08 22.3 "MIL" "@" "CHI" "L" -8 0 20 0.77 0.75 NA NA NA NA NA NA NA NA NA NA 8.7 NA
"40" "40" 1980-01-09 22.3 "MIL" "" "SDC" "L" -4 1 30 0.574 0.6 NA NA NA NA NA NA NA NA NA NA NA NA
"41" "41" 1980-01-11 22.31 "MIL" "" "NYK" "W" 2 1 40 0.559 0.444 NA NA NA NA NA NA NA NA NA NA NA NA
"42" "42" 1980-01-13 22.31 "MIL" "" "HOU" "L" -4 1 35 0.492 0.4 NA NA NA NA NA NA NA NA NA NA NA NA
"43" "43" 1980-01-16 22.32 "MIL" "" "KCK" "L" -4 1 25 0.375 0.375 NA NA NA NA NA NA NA NA NA NA NA NA
"44" "44" 1980-01-18 22.33 "MIL" "" "DEN" "L" -9 1 28 0.654 0.4 NA NA NA NA NA NA NA NA NA NA 5.4 NA
"45" "45" 1980-01-20 22.33 "MIL" "" "POR" "W" 1 1 33 0.505 0.417 NA NA NA NA NA NA NA NA NA NA 16.9 NA
"46" "46" 1980-01-22 22.34 "MIL" "@" "UTA" "L" -5 0 24 0.654 0.6 NA NA NA NA NA NA NA NA NA NA NA NA
"47" "47" 1980-01-23 22.34 "MIL" "@" "GSW" "W" 2 0 29 0.654 0.6 NA NA NA NA NA NA NA NA NA NA 21.4 NA
"48" "48" 1980-01-25 22.35 "MIL" "@" "PHO" "L" -14 1 42 0.67 0.455 NA NA NA NA NA NA NA NA NA NA 22.9 NA
"49" "49" 1980-01-27 22.35 "MIL" "@" "LAL" "L" -10 1 31 0.676 0.625 NA NA NA NA NA NA NA NA NA NA 8.7 NA
