"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1994-11-04 23.12 "BOS" "" "NYK" "L" -13 0 27 0.945 1 13.7 29.6 21.3 0 1.7 0 17.4 8.8 161 115 9.6 2.3
"2" "2" 1994-11-05 23.12 "BOS" "@" "IND" "L" -9 0 32 0.525 0.333 10 12.2 11 4.1 1.4 2.2 38.7 9.4 85 111 3.3 -6.1
"3" "3" 1994-11-11 23.13 "BOS" "" "HOU" "L" -20 0 29 0.41 0.5 6 30.8 16.9 5.3 1.7 2.6 9.3 16 79 97 6 -3
"4" "4" 1994-11-12 23.14 "BOS" "@" "MIN" "W" 13 1 26 0.551 0.5 12.3 16.8 14.5 0 0 7.3 0 17 139 102 10.4 0.4
"5" "5" 1994-11-15 23.15 "BOS" "@" "ATL" "L" -16 1 16 0.45 0.5 6.8 28.6 17.4 0 0 0 18.4 15.3 80 118 1.7 -9.4
"6" "6" 1994-11-16 23.15 "BOS" "" "SEA" "W" 27 1 24 0.798 1 5.4 27.6 18.9 0 0 2.4 21 8.4 123 90 6.6 2.3
"7" "7" 1994-11-18 23.15 "BOS" "@" "MIA" "W" 4 1 28 0.333 0.333 5.4 19.6 12.8 0 3.5 0 40 7.6 54 110 0.6 -9.3
"8" "8" 1994-11-19 23.16 "BOS" "@" "WSB" "W" 1 1 20 0.514 0.429 16 25.3 21.2 0 0 0 0 19.3 124 103 6.8 -4.6
"9" "9" 1994-11-22 23.16 "BOS" "" "MIL" "L" -22 1 10 0.51 0.4 10.7 24 16.9 0 0 0 0 25.8 116 117 3 -6.8
"10" "10" 1994-11-23 23.17 "BOS" "" "CHH" "W" 7 1 27 0.17 0.2 11.9 27.1 19.5 0 0 0 14.5 21.7 44 96 -3.2 -17.1
"11" "11" 1994-11-25 23.17 "BOS" "" "ORL" "L" -6 1 20 0.255 0.2 0 10.2 5.4 5.2 0 0 0 12.4 67 127 -0.8 -13.8
"12" "12" 1994-11-26 23.18 "BOS" "@" "PHI" "W" 9 1 31 0.773 0.778 8.4 35.2 22.9 6.7 0 0 0 16.5 160 101 17.2 7
"13" "13" 1994-11-30 23.19 "BOS" "" "DET" "W" 3 1 32 0.444 0.429 7.9 21 15.3 0 3.1 4.2 11.3 11.5 101 113 7.6 -5.8
"14" "14" 1994-12-02 23.19 "BOS" "" "PHO" "L" -5 1 15 0.717 0.75 0 7.4 4.2 0 0 8.3 29.1 21.3 90 114 3.1 -5.4
"15" "15" 1994-12-03 23.19 "BOS" "@" "CHI" "L" -16 1 30 0.597 0.5 16.8 8 12.3 0 1.6 2.3 0 20.8 136 123 15.5 3
"16" "16" 1994-12-06 23.2 "BOS" "@" "NYK" "L" -14 1 19 0.254 0.286 21.5 21.7 21.6 0 2.6 3.7 0 17.4 77 100 3.3 -3.7
"17" "17" 1994-12-07 23.21 "BOS" "" "ATL" "W" 13 1 46 0.656 0.6 5.8 31.8 20.4 0 2.3 2.9 7.6 13.3 128 81 18.6 5.6
"18" "18" 1994-12-09 23.21 "BOS" "" "CLE" "L" -7 1 46 0.388 0.333 8 17.4 12.5 3.8 2.5 2.8 13.4 16 84 111 7.2 -5.5
"19" "19" 1994-12-10 23.21 "BOS" "@" "NJN" "L" -12 1 37 0.578 0.563 16.2 11.4 14.6 0 0 3.9 10.8 19.9 120 121 16.9 0.1
"20" "20" 1994-12-12 23.22 "BOS" "" "DEN" "W" 10 1 19 0.543 0.5 19.9 9 15.3 0 0 0 13.4 17 120 119 3 -10
"21" "21" 1994-12-14 23.22 "BOS" "@" "SAS" "L" -12 1 37 0.51 0.5 12.4 12.6 12.4 3.3 1.4 0 7.8 15.1 115 136 8.2 -7.2
"22" "22" 1994-12-15 23.23 "BOS" "@" "DAL" "L" -9 1 36 0.773 0.667 14.5 24.2 18.6 0 1.4 0 27.9 12.6 125 125 10.3 -4.6
"23" "23" 1994-12-17 23.23 "BOS" "@" "HOU" "W" 3 1 48 0.678 0.667 5.4 20.8 14.1 0 0 0 22.5 13 107 121 9.9 -5.8
