"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1995-11-03 23.61 "VAN" "@" "POR" "W" 12 0 10 0.387 0.333 0 18.5 10.7 51.1 0 0 20.5 21.8 86 86 2.6 1.7
"2" "2" 1995-11-07 23.62 "VAN" "@" "DAL" "L" -11 0 10 0.5 0.5 0 0 0 0 0 0 0 18.7 98 120 1.6 -8.6
"3" "3" 1995-11-08 23.62 "VAN" "@" "SAS" "L" -49 0 14 0.347 0.25 0 0 0 18.5 0 0 14.8 20.6 72 124 -1.1 -11.4
"4" "4" 1995-11-11 23.63 "VAN" "@" "SEA" "L" -36 0 9 0.654 0.667 0 0 0 0 5.8 0 0 32.8 133 121 6.6 19.5
"5" "5" 1995-11-17 23.65 "VAN" "" "LAL" "L" -23 0 8 0.75 0.75 16.2 0 8 46.2 6.7 0 20 28.6 120 120 5.4 14.4
"6" "6" 1995-11-19 23.65 "VAN" "@" "NYK" "L" -5 0 6 0.521 0.5 0 0 0 30.8 0 0 25.8 31.2 88 124 0.9 -11.2
"7" "7" 1995-11-22 23.66 "VAN" "@" "ORL" "L" -2 0 4 0.5 0.5 30.8 0 14.3 0 0 0 0 24 121 114 0.5 -13.3
"8" "8" 1995-11-24 23.67 "VAN" "@" "CHH" "L" -12 0 9 0.825 0.786 24.2 17.8 21.6 0 5.7 0 0 37.5 172 114 12.4 37.5
"9" "9" 1995-11-25 23.67 "VAN" "@" "MIA" "L" -20 0 9 0.935 0.9 0 0 0 45.7 0 0 14.5 38.5 146 133 8.4 17.1
"10" "10" 1995-11-28 23.68 "VAN" "@" "MIN" "L" -23 0 14 0.615 0.625 0 0 0 10.7 0 0 17 17.9 108 131 2.9 -5.2
"11" "11" 1995-12-01 23.69 "VAN" "@" "LAL" "L" -13 1 25 0.727 0.727 10.1 14.8 12.5 20.2 2.1 0 15.4 22.6 132 122 14.5 9.2
"12" "12" 1995-12-03 23.69 "VAN" "" "MIL" "L" -14 1 15 0 0 0 11 4.7 17.3 0 0 0 6.3 54 132 -0.5 -15.6
"13" "13" 1995-12-13 23.72 "VAN" "" "HOU" "L" -11 0 5 0.417 0.417 34.9 0 18.1 69.6 9.9 16.3 25 63.9 79 87 3 20.9
"14" "14" 1995-12-16 23.73 "VAN" "" "GSW" "L" -31 0 21 0.606 0.591 11.1 6.2 8.8 0 2.5 3.4 7 30.7 115 124 12.3 9.1
"15" "15" 1995-12-21 23.74 "VAN" "@" "SEA" "L" -24 0 15 0.307 0.25 0 7.4 4.3 0 3.5 0 38.1 24.3 41 101 -1.9 -16
"16" "16" 1995-12-22 23.75 "VAN" "" "PHO" "L" -21 0 11 0.611 0.611 0 25.7 11.5 0 9.3 0 0 36.9 115 93 9.3 24.5
"17" "17" 1996-01-12 23.8 "VAN" "" "GSW" "L" -9 0 20 0.444 0.429 7.7 0 2.9 8.1 2.6 0 11.3 21.3 86 115 3.1 -8.3
"18" "18" 1996-01-24 23.84 "VAN" "@" "CHI" "L" -20 0 10 0.387 0.333 11.7 0 5.6 19 0 0 20.5 22.1 80 123 1.3 -7.1
"19" "19" 1996-01-27 23.84 "VAN" "@" "WSB" "L" -25 0 9 0.51 0.5 10.3 16.7 12.7 25 6.3 0 14.5 34.5 100 112 4.6 13.8
"20" "20" 1996-01-29 23.85 "VAN" "@" "PHI" "L" -11 0 5 0.5 0.5 0 0 0 36.4 0 0 0 18.3 120 124 1.7 -0.8
"21" "21" 1996-01-31 23.85 "VAN" "@" "BOS" "L" -33 0 6 0 0 14.8 0 7.8 43.2 0 0 0 32.9 33 134 -1.4 -19.2
"22" "22" 1996-02-07 23.87 "VAN" "@" "UTA" "L" -23 0 9 0.102 0 0 0 0 17.8 0 0 0 26.6 33 122 -1.9 -21.5
"23" "23" 1996-02-28 23.93 "VAN" "" "LAL" "L" -19 0 4 0.75 0.75 0 27.9 14.3 0 0 0 20 58.3 124 111 3.3 13.7
"24" "24" 1996-03-01 23.94 "VAN" "" "DAL" "L" -8 0 4 0.568 NA 0 0 0 0 0 0 53.2 19.7 53 128 -0.8 -24.2
"25" "25" 1996-03-02 23.94 "VAN" "@" "DEN" "L" -26 0 27 0.311 0.292 3.4 5.4 4.2 20.8 3.6 3 18.9 25.2 60 104 1.6 -6.1
"26" "26" 1996-03-05 23.95 "VAN" "@" "GSW" "L" -32 0 10 0.282 0.25 16.6 0 10 0 0 0 10.1 41.8 63 128 -0.6 -17.3
"27" "27" 1996-03-08 23.96 "VAN" "" "IND" "L" -14 0 4 0.868 1 64.9 0 29.3 100 0 0 0 35.8 185 121 6.8 56.5
"28" "28" 1996-03-10 23.96 "VAN" "" "HOU" "L" -6 0 17 0.542 0.542 0 0 0 33.1 0 0 14.3 38.8 90 110 5.2 -4.9
"29" "29" 1996-03-11 23.96 "VAN" "@" "SAC" "L" -4 0 6 0.5 0.5 0 0 0 36.4 0 0 0 16.3 114 112 0.9 -6.8
"30" "30" 1996-03-15 23.98 "VAN" "" "ORL" "L" -5 0 15 1.25 1.25 0 15 7.4 0 11.5 0 50 13.3 84 79 4.8 6.8
"31" "31" 1996-03-17 23.98 "VAN" "@" "MIN" "L" -5 0 13 0.634 0.5 0 0 0 0 0 5.7 26.6 27.3 94 99 3.1 -5.2
"32" "32" 1996-03-20 23.99 "VAN" "@" "ATL" "L" -5 0 20 0.425 0.3 0 0 0 15.1 5.5 4.4 0 27.8 106 113 7.9 2.2
"33" "33" 1996-03-22 23.99 "VAN" "@" "IND" "L" -17 0 8 0.63 0.667 0 22.2 8.3 0 0 0 17.4 33.1 98 126 2.4 -8.6
"34" "34" 1996-03-26 24 "VAN" "@" "DET" "L" -11 0 4 0 0 0 0 0 0 0 0 0 23 0 104 -1.8 -27.8
"35" "35" 1996-03-31 24.02 "VAN" "" "CHH" "L" -33 0 18 0.727 0.727 16.7 0 9.9 0 0 0 8.3 31.2 133 143 11.4 10
"36" "36" 1996-04-02 24.02 "VAN" "@" "POR" "L" -16 0 24 0.329 0.125 7.5 12.1 9.3 22.2 4.2 0 15.8 23.1 76 102 5.1 -2.7
"37" "37" 1996-04-05 24.03 "VAN" "@" "LAL" "L" -10 0 25 0.815 0.792 9.4 0 4.6 26.6 0 0 13.4 27.5 144 122 17.3 14.7
"38" "38" 1996-04-07 24.04 "VAN" "" "PHO" "L" -20 0 17 0.17 0.2 11.5 0 6.6 8 0 0 25.4 20.6 46 124 -2.2 -18.9
"39" "39" 1996-04-10 24.04 "VAN" "@" "SAS" "L" -23 0 32 0.535 0.4 6.1 0 3.4 13 3.4 0 7.1 20.6 114 120 11.2 0.5
"40" "40" 1996-04-14 24.05 "VAN" "" "POR" "L" -2 0 23 0.304 0.222 0 5.1 2.5 24.2 2.3 0 9.2 23.7 65 95 1.7 -11.5
"41" "41" 1996-04-16 24.06 "VAN" "" "SAS" "L" -9 0 8 0.727 0.667 28.6 20 25 75 0 0 0 21.2 172 113 7.5 24.1
"42" "42" 1996-04-18 24.07 "VAN" "" "UTA" "L" -15 0 12 0.5 0.5 9.1 0 4.6 47.1 4.6 5.3 25 30.7 85 103 4.4 5.7
"43" "43" 1996-04-19 24.07 "VAN" "@" "DEN" "W" 14 1 31 0.611 0.611 4.2 11.1 8.3 5.3 6.3 3.8 25 17.5 93 74 11.3 5.9
"44" "44" 1996-04-21 24.07 "VAN" "@" "LAC" "W" 7 0 7 0.4 0.4 29.8 0 14 27.1 7 0 0 29.9 115 98 4.4 12.6
"1" "1" 1996-11-01 24.61 "VAN" "" "POR" "L" -29 0 7.63333333333333 0 0 0 0 0 0 7.6 0 33.3 41 0 117 -4.2 -37.5
"2" "2" 1996-11-03 24.61 "VAN" "" "GSW" "L" -10 0 13.4 0.258 0.333 0 27.7 12 21.5 11.5 0 20.5 16.1 59 88 3.4 -1.3
"3" "3" 1996-11-05 24.62 "VAN" "@" "CHI" "L" -23 0 14.05 0.143 0.143 6.9 8 7.4 0 0 0 22.2 28.7 30 114 -3.5 -21.6
"4" "4" 1996-11-06 24.62 "VAN" "@" "MIL" "L" -16 0 7.31666666666667 0.875 0.875 0 0 0 41.7 7.2 0 20 30.2 127 103 5.7 22.7
"5" "5" 1996-11-08 24.62 "VAN" "@" "CLE" "L" -16 0 15.45 0.2 0.2 0 7.5 3.3 14.3 0 0 16.7 17.3 44 112 -1.5 -17
"6" "6" 1996-11-10 24.63 "VAN" "" "NYK" "L" -19 0 12.6833333333333 0.82 0.833 0 0 0 30.2 0 0 29.1 36.2 98 125 6.7 6.1
"7" "7" 1996-11-12 24.64 "VAN" "" "LAC" "L" -7 0 8.1 0 0 0 0 0 0 7.4 19.1 0 13.4 0 86 0.6 2.7
"8" "8" 1996-11-14 24.64 "VAN" "" "PHO" "W" 3 0 25.9166666666667 0.514 0.526 8 4.7 6.5 33.2 2 0 4.9 35.6 106 103 12.8 5.9
"9" "9" 1996-11-15 24.64 "VAN" "@" "UTA" "L" -8 1 35.6666666666667 0.661 0.633 5.1 0 2.9 4.7 1.5 1.9 5.9 21.2 130 118 14.9 4.8
"10" "10" 1996-11-17 24.65 "VAN" "@" "SEA" "L" -10 1 42.0166666666667 0.463 0.455 0 8 4 22.5 3.8 0 14.4 14.8 103 101 9.1 3
"11" "11" 1996-11-18 24.65 "VAN" "" "SAC" "L" -1 1 35.9166666666667 0.6 0.6 7 0 3.3 21.1 1.7 1.8 16.7 16.9 111 113 9.7 1.9
"12" "12" 1996-11-20 24.66 "VAN" "" "MIA" "L" -19 1 35.05 0.301 0.111 3.9 9.4 6.9 34.8 3.2 0 37.6 27 56 109 0.7 -12.3
"13" "13" 1996-11-24 24.67 "VAN" "" "SAS" "W" 5 1 22.1166666666667 0.592 0.563 0 9.7 5.7 29.8 0 4.2 19.2 24.9 102 110 7.7 -1.4
"14" "14" 1996-11-26 24.67 "VAN" "@" "ATL" "L" -21 1 22 0.318 0.318 0 14.9 7 16.5 0 0 8.3 25 67 111 1 -9.5
"15" "15" 1996-11-27 24.68 "VAN" "@" "DET" "L" -9 1 23.2333333333333 0.5 0.5 4.5 0 2.5 0 2.6 0 0 21.8 108 115 5.1 -1.3
"16" "16" 1996-11-29 24.68 "VAN" "@" "IND" "L" -10 1 32.3 0.687 0.667 6.7 0 3.8 11.3 1.7 0 7.9 18.4 135 119 12.9 3
"17" "17" 1996-11-30 24.68 "VAN" "@" "PHI" "L" -6 1 25.35 0.427 0.458 4.3 0 2.4 22.7 2.1 3.3 13.4 26.3 87 108 5.5 -4.4
"18" "18" 1996-12-04 24.7 "VAN" "" "IND" "L" -47 1 30.0333333333333 0.231 0.231 0 0 0 15.9 3.5 0 18.8 25 47 140 -1.6 -17.6
"19" "19" 1996-12-06 24.7 "VAN" "@" "SAS" "W" 16 0 15.8333333333333 0.902 0.833 18.8 6.4 11.4 8.3 0 4.3 0 11.6 199 110 8 9.3
"20" "20" 1996-12-07 24.7 "VAN" "@" "DAL" "L" -11 0 17.6666666666667 0.527 0.25 0 16.2 6.1 18.8 0 0 23.1 21.5 94 111 3.8 -6.1
"21" "21" 1996-12-09 24.71 "VAN" "" "CHH" "L" -16 0 6.63333333333333 NA NA 0 0 0 0 0 0 NA 0 0 129 0 -9.9
"22" "22" 1996-12-12 24.72 "VAN" "@" "POR" "L" -21 0 14.7166666666667 0.549 0.417 13.6 0 7 0 0 5.2 10.9 28.2 112 119 6.3 6.8
"23" "23" 1996-12-13 24.72 "VAN" "" "ORL" "W" 2 0 17.1333333333333 0.474 0.5 12 0 6.7 22 0 5.4 10.6 24.5 101 113 6.1 0.9
"24" "24" 1996-12-15 24.73 "VAN" "@" "PHO" "L" -19 0 21.1666666666667 0.619 0.625 5.6 0 2.9 19.4 0 0 0 19.8 132 121 8.7 3.7
"25" "25" 1996-12-17 24.73 "VAN" "" "HOU" "W" 1 0 11.2833333333333 0.625 0.625 0 0 0 0 5.4 0 0 18.4 120 113 3.6 1.1
"26" "26" 1996-12-19 24.74 "VAN" "" "DAL" "L" -7 0 5.53333333333333 0.5 0.5 0 0 0 26.7 0 0 33.3 24.8 80 139 -0.1 -24.8
"27" "27" 1996-12-20 24.74 "VAN" "@" "DEN" "L" -15 0 28.5833333333333 0.468 0.462 0 4.5 2.3 4.9 0 0 6.7 25.9 91 137 5.1 -12.7
"28" "28" 1996-12-22 24.75 "VAN" "" "WSB" "W" 4 0 6.18333333333333 0.333 0.333 19 18.6 18.8 61.5 0 0 0 23.3 117 106 2.7 5
"29" "29" 1996-12-26 24.76 "VAN" "@" "SAC" "L" -23 0 8.88333333333333 0.466 0.5 22.7 0 11.1 0 0 0 0 31.8 102 129 4 0.5
"30" "30" 1996-12-28 24.76 "VAN" "" "PHO" "L" -5 0 9.46666666666667 1.25 1.25 0 11.6 7 39 0 0 50 22.5 113 123 3.7 2.5
"31" "31" 1996-12-30 24.77 "VAN" "" "SAS" "L" -7 0 7.81666666666667 0.5 0.5 13.6 0 7.8 0 0 10.3 16.7 34.4 91 113 2.7 1.5
"32" "" 1997-01-03 24.78 "VAN" "" "SEA" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "" 1997-01-05 24.78 "VAN" "" "LAL" "L" -13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "" 1997-01-08 24.79 "VAN" "@" "GSW" "W" 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "" 1997-01-09 24.79 "VAN" "" "GSW" "L" -16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "" 1997-01-11 24.8 "VAN" "" "SAC" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "" 1997-01-14 24.81 "VAN" "@" "LAL" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "32" 1997-01-15 24.81 "VAN" "" "DET" "L" -24 0 7.33333333333333 0.4 0.4 12.9 0 7.8 0 0 0 0 30.8 99 125 1.6 -3.5
"39" "33" 1997-01-17 24.82 "VAN" "" "UTA" "L" -38 0 20.0833333333333 0.225 0.125 0 0 0 0 2.7 3.4 0 20.6 53 119 -0.3 -11.1
"40" "34" 1997-01-19 24.82 "VAN" "" "TOR" "W" 8 0 10 0 0 0 0 0 12.3 0 0 0 4.5 66 119 0 -10.1
"41" "35" 1997-01-20 24.82 "VAN" "@" "SEA" "L" -16 0 14.4333333333333 0.512 0.5 10.1 32.1 20.8 25.3 3.9 0 17 19.7 109 121 4.4 -1.9
"42" "36" 1997-01-22 24.83 "VAN" "@" "DEN" "L" -10 0 16.6 0.258 0 0 5.4 3.1 0 6.5 0 34 16.8 37 103 -0.2 -13.3
"43" "37" 1997-01-23 24.83 "VAN" "" "MIN" "L" -19 0 18.6666666666667 0.592 0.625 0 16.8 8.4 26.1 5.4 3.8 19.2 24.7 93 93 9 8.7
"44" "38" 1997-01-25 24.84 "VAN" "" "DEN" "L" -1 0 23.4666666666667 0.654 0.667 8 14.2 10.9 47 2.4 0 42.1 23.9 86 95 7.7 0
"45" "39" 1997-01-27 24.84 "VAN" "@" "GSW" "L" -25 0 17.4166666666667 0.429 0.429 0 9.4 3.9 21.3 3.1 4.6 12.5 21.7 86 131 3.9 -5.3
"46" "40" 1997-01-28 24.85 "VAN" "" "CHI" "L" -15 0 20.3333333333333 0.727 0.833 0 6.3 2.9 34.9 2.5 0 30.4 20.1 105 118 7.2 2.7
"47" "41" 1997-01-30 24.85 "VAN" "@" "LAC" "L" -6 0 18.8166666666667 0.507 0.438 11.2 6 8.7 9.6 2.9 3.7 10.1 23.8 110 115 6.9 0.7
"48" "42" 1997-01-31 24.85 "VAN" "" "ATL" "L" -11 0 8.53333333333333 0 0 0 0 0 17.2 6.7 0 33.3 17.2 17 103 -1.1 -15.7
"49" "43" 1997-02-02 24.86 "VAN" "@" "BOS" "W" 10 0 15.1333333333333 0.5 0.5 0 5 3.2 0 0 0 12.5 22.6 91 106 2.2 -9
"50" "44" 1997-02-04 24.87 "VAN" "@" "NJN" "L" -6 0 12.2666666666667 0.2 0.2 8.3 14.5 11.7 11.8 0 0 16.7 22.4 58 125 -0.9 -22.1
"51" "45" 1997-02-06 24.87 "VAN" "@" "MIN" "L" -17 0 23.9333333333333 0.402 0.421 12.2 4.9 8.9 17.4 2.2 0 0 36.1 98 117 8.3 1.4
"52" "46" 1997-02-11 24.88 "VAN" "@" "HOU" "L" -9 1 33.7166666666667 0.717 0.75 0 7.4 4.2 13.7 3.2 0 17 16.4 126 121 11.1 2.3
"53" "47" 1997-02-12 24.89 "VAN" "@" "SAS" "W" 5 1 27.1666666666667 0.375 0.375 0 4.1 2.4 5.8 0 3.1 0 14.3 90 124 3.3 -10.1
"54" "48" 1997-02-14 24.89 "VAN" "" "BOS" "W" 3 1 38.8166666666667 0.568 0.545 3.2 2.5 2.8 24.9 3.7 5.1 19.3 23.2 105 109 17.9 2.3
"55" "49" 1997-02-17 24.9 "VAN" "" "DAL" "L" -5 1 32.1833333333333 0.547 0.545 0 8.6 4.5 28.6 0 0 14.4 24 106 126 8.9 -4.8
"56" "50" 1997-02-19 24.91 "VAN" "" "MIN" "L" -11 1 29.5166666666667 0.25 0.25 0 12.7 5.8 19.3 0 0 11.1 14.7 64 103 0 -10.5
"57" "51" 1997-02-21 24.91 "VAN" "@" "LAL" "L" -8 1 39.4666666666667 0.47 0.409 0 11.2 5.3 42.5 1.5 0 7.3 18.9 111 122 11.9 -0.6
"58" "52" 1997-02-23 24.92 "VAN" "" "CLE" "L" -7 1 20.95 0.167 0.167 5.2 0 3.1 24.7 2.9 0 0 15 68 119 0.8 -9.3
