"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1992-11-13 22.76 "CHH" "@" "IND" "L" -1 1 19 0.492 0.4 5.5 10.8 8.1 0 0 3.2 14.1 30.8 91 109 4.6 -7.9
"2" "2" 1992-11-14 22.77 "CHH" "" "MIA" "L" -9 1 15 0.5 0.5 0 32.8 16.6 35.6 0 13.5 16.7 35.4 83 96 5.3 0.5
"3" "3" 1992-11-17 22.78 "CHH" "" "DAL" "W" 23 1 26 0.361 0.316 6.8 33.6 21.5 5.1 1.6 6.9 12.6 32.4 74 80 8.2 -8.6
"4" "4" 1992-11-20 22.78 "CHH" "" "GSW" "W" 7 1 39 0.734 0.706 13.1 23.5 18.3 15.3 0 4.6 4.1 25.7 153 100 33.9 17.3
"5" "5" 1992-11-21 22.79 "CHH" "@" "MIA" "W" 12 1 29 0.474 0.538 20.7 19.7 20.2 0 1.7 6.4 16.9 25.5 92 107 9.2 -9
"6" "6" 1992-11-24 22.79 "CHH" "" "PHI" "W" 8 1 20 0.522 0.444 17.6 35 27 11.1 0 5.2 18.3 31.8 101 103 10.1 -4.4
"7" "7" 1992-11-25 22.8 "CHH" "@" "DET" "W" 4 1 24 0.468 0.462 13.3 8.3 10.8 0 0 12.2 22.4 32.5 76 97 6.5 -6.9
"8" "8" 1992-11-27 22.8 "CHH" "@" "BOS" "L" -9 1 29 0.35 0.278 18 24.1 21.1 5.2 0 1.7 11.6 35.3 80 108 6.2 -9.6
"9" "9" 1992-11-28 22.81 "CHH" "" "IND" "L" -12 1 34 0.641 0.632 10.3 17.6 13.9 4.5 0 8.8 4.1 29.8 134 132 25.9 5.5
"10" "10" 1992-12-01 22.81 "CHH" "@" "PHO" "L" -19 1 23 0.57 0.429 10.4 20.9 16.2 14 0 7.8 34.5 32.1 83 108 6.1 -5.1
"11" "11" 1992-12-02 22.82 "CHH" "@" "GSW" "W" 1 1 30 0.497 0.364 4.7 13.6 9.9 9.8 0 9.5 29.9 28.1 79 104 5.9 -8.6
"12" "12" 1992-12-04 22.82 "CHH" "@" "SAC" "W" 1 1 31 0.676 0.636 7.2 14.6 11.3 0 0 5.6 15.6 26.4 117 111 16.3 -0.1
"13" "13" 1992-12-05 22.82 "CHH" "@" "LAC" "L" -10 1 31 0.475 0.3 6.6 19.4 13.5 8.5 1.5 4.7 13.7 18.3 103 107 10.2 -0.7
