"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "" 2009-10-28 20.7 "OKC" "" "SAC" "W" 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "" 2009-10-30 20.71 "OKC" "@" "DET" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "" 2009-11-01 20.71 "OKC" "" "POR" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "" 2009-11-03 20.72 "OKC" "" "LAL" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "" 2009-11-06 20.73 "OKC" "@" "HOU" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "" 2009-11-08 20.73 "OKC" "" "ORL" "W" 28 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "" 2009-11-10 20.74 "OKC" "@" "SAC" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "" 2009-11-11 20.74 "OKC" "@" "LAC" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "" 2009-11-14 20.75 "OKC" "@" "SAS" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "" 2009-11-15 20.75 "OKC" "" "LAC" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "" 2009-11-17 20.76 "OKC" "@" "MIA" "W" 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "" 2009-11-18 20.76 "OKC" "@" "ORL" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "" 2009-11-20 20.76 "OKC" "" "WAS" "W" 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "" 2009-11-22 20.77 "OKC" "@" "LAL" "L" -16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "" 2009-11-24 20.78 "OKC" "@" "UTA" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "" 2009-11-27 20.78 "OKC" "" "MIL" "W" 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "" 2009-11-29 20.79 "OKC" "" "HOU" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "" 2009-12-02 20.8 "OKC" "" "PHI" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "" 2009-12-04 20.8 "OKC" "" "BOS" "L" -18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "" 2009-12-07 20.81 "OKC" "" "GSW" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "" 2009-12-11 20.82 "OKC" "@" "MEM" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "" 2009-12-13 20.83 "OKC" "" "CLE" "L" -13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "" 2009-12-14 20.83 "OKC" "@" "DEN" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "" 2009-12-16 20.84 "OKC" "" "DAL" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "" 2009-12-18 20.84 "OKC" "" "DET" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "" 2009-12-19 20.84 "OKC" "@" "HOU" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "" 2009-12-22 20.85 "OKC" "@" "LAL" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "" 2009-12-23 20.85 "OKC" "@" "PHO" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "" 2009-12-26 20.86 "OKC" "" "CHA" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "1" 2009-12-28 20.87 "OKC" "@" "NJN" "W" 16 0 0.666666666666667 NA NA 0 0 0 0 0 0 NA 0 0 108 0 -4.9
"31" "" 2009-12-29 20.87 "OKC" "@" "WAS" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
