"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1996-12-21 22.24 "MIA" "@" "HOU" "W" 20 0 1.36666666666667 0.347 0.5 100 0 52.7 -282.4 0 0 0 100 94 96 1.6 30.1
"2" "" 1996-12-23 22.24 "MIA" "@" "SAS" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "2" 1996-12-26 22.25 "MIA" "" "ORL" "W" 20 0 2.45 1 1 0 50 30 0 0 0 0 49.9 200 78 3.7 40.8
"4" "3" 1996-12-27 22.25 "MIA" "@" "CHH" "W" 15 0 1.48333333333333 0.568 NA 0 0 0 0 0 65.8 53.2 92 53 58 0.3 -3.3
"5" "" 1996-12-29 22.26 "MIA" "@" "MIL" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "" 1997-01-02 22.27 "MIA" "" "NJN" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "" 1997-01-04 22.27 "MIA" "@" "UTA" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "" 1997-01-07 22.28 "MIA" "@" "SEA" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "" 1997-01-08 22.28 "MIA" "@" "POR" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "4" 1997-01-10 22.29 "MIA" "@" "LAL" "L" -9 0 0.783333333333333 NA NA 0 88.9 45.7 100 0 0 NA 0 209 67 1 63.4
"11" "" 1997-01-13 22.3 "MIA" "" "WSB" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "" 1997-01-16 22.31 "MIA" "@" "BOS" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "" 1997-01-17 22.31 "MIA" "@" "WSB" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "" 1997-01-19 22.32 "MIA" "" "ORL" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
