"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1988-11-04 24.72 "POR" "" "PHO" "W" 15 0 14 0.75 0.75 0 12 7.1 22.6 0 0 71.4 19.5 53 99 -1.9 -13.7
"2" "2" 1988-11-05 24.72 "POR" "" "SAC" "W" 18 0 15 0 0 0 7.6 4.1 6.5 6.1 0 16.7 16.4 11 95 -1.9 -14.8
"3" "3" 1988-11-10 24.73 "POR" "@" "DEN" "L" -20 0 8 NA NA 0 0 0 0 0 0 100 4.5 0 128 -1.4 -14.4
"4" "4" 1988-11-12 24.74 "POR" "@" "GSW" "L" -7 0 5 NA NA 0 0 0 0 8.8 0 NA 0 0 90 1 5.6
"5" "5" 1988-11-13 24.74 "POR" "" "DEN" "L" -11 0 5 0.5 0.5 0 0 0 67.9 8 0 0 13.9 139 108 3.3 13.9
"6" "6" 1988-11-15 24.75 "POR" "" "LAC" "W" 22 0 8 0 0 11.1 15.4 12.9 39.1 0 0 0 4.4 116 96 2 -1.5
"7" "7" 1988-11-17 24.75 "POR" "@" "UTA" "L" -24 0 13 0.5 0.5 0 0 0 73.1 3.5 0 25 12 113 116 3.9 3.5
"8" "8" 1988-11-20 24.76 "POR" "" "NJN" "W" 11 0 10 1 1 0 0 0 23.8 4.6 0 60 20.1 78 102 2.8 -0.3
"9" "9" 1988-11-22 24.77 "POR" "@" "SEA" "W" 21 0 8 0.5 0.5 0 12.5 6.7 15 0 0 0 9.6 137 109 1.6 -3.7
"10" "10" 1988-11-25 24.78 "POR" "" "HOU" "W" 17 0 4 0 0 0 29.3 15 0 0 0 33.3 29.6 0 86 -2.1 -31.9
"11" "11" 1988-11-27 24.78 "POR" "" "GSW" "W" 15 0 1 NA NA 0 0 0 0 0 0 NA 0 0 107 -0.4 -26
"12" "12" 1988-11-29 24.79 "POR" "@" "MIL" "L" -5 0 12 0 0 0 0 0 18.6 3.8 0 0 10 38 113 -0.9 -10.4
"13" "13" 1988-11-30 24.79 "POR" "@" "PHI" "L" -8 0 9 NA NA 0 11.9 6.1 48.5 0 0 NA 0 205 115 2.7 4.7
"14" "14" 1988-12-03 24.8 "POR" "@" "ATL" "L" -18 0 13 0.174 0 6 0 4.1 0 3.8 0 0 8 64 116 -0.3 -8.6
"15" "15" 1988-12-06 24.81 "POR" "@" "NJN" "W" 4 0 3 0 0 0 32.7 16.8 0 0 0 0 13.8 0 87 -0.4 -14.3
"16" "16" 1988-12-07 24.81 "POR" "@" "IND" "L" -9 0 2 1 1 0 0 0 0 0 0 0 18.8 200 135 1.7 12.3
"17" "17" 1988-12-13 24.82 "POR" "" "LAC" "W" 21 0 6 0.5 0.5 0 0 0 20 7.4 0 33.3 19.4 78 82 1.7 -0.6
"18" "18" 1988-12-16 24.83 "POR" "@" "PHO" "L" -7 0 7 0.5 0.5 0 0 0 34.2 0 0 0 10.6 135 125 2 -2.9
"19" "19" 1988-12-17 24.84 "POR" "" "PHO" "W" 18 0 6 0.5 0.5 0 0 0 21.6 0 0 33.3 20.2 75 107 0.7 -9
"20" "20" 1988-12-22 24.85 "POR" "@" "GSW" "W" 8 0 1 NA NA 0 0 0 0 0 0 NA 0 0 117 0 -6.8
"21" "21" 1988-12-23 24.85 "POR" "" "GSW" "W" 4 0 9 0.333 0.333 11.1 0 5.7 37.5 0 0 0 12.6 121 110 2.7 0.5
"22" "22" 1989-01-15 24.92 "MIA" "" "IND" "W" 1 0 14 0.515 0.5 0 9 4.1 24.5 3.7 0 20.5 14.9 97 103 2.4 -4.4
"23" "23" 1989-01-19 24.93 "MIA" "" "CHI" "L" -4 0 8 0.436 0.333 0 0 0 14.6 6.3 0 22.5 22.8 88 110 2 -2
"24" "24" 1989-01-23 24.94 "MIA" "@" "SAS" "L" -18 0 14 0.654 0.583 0 7.3 4.1 13.9 0 4.2 12.7 21.8 127 114 5.9 1.5
"25" "25" 1989-01-24 24.94 "MIA" "@" "HOU" "L" -25 0 4 0 0 0 0 0 31.6 0 0 33.3 30.4 16 121 -1.7 -30.1
"26" "26" 1989-01-26 24.95 "MIA" "" "DEN" "L" -21 0 17 1 1 0 6.9 3.5 66.3 0 3.2 60 11.7 110 124 7.3 3.1
"27" "27" 1989-01-29 24.95 "MIA" "@" "BOS" "L" -18 0 13 0.694 0.5 0 0 0 49.5 3.8 0 41 15.2 113 123 5.1 2.2
"28" "28" 1989-02-02 24.96 "MIA" "" "SEA" "L" -7 0 11 0.333 0.333 0 11.2 5.5 38.9 0 0 40 18.9 68 112 -0.9 -16
"29" "29" 1989-02-05 24.97 "MIA" "" "SAC" "W" 4 0 7 1 1 0 0 0 62.1 0 0 50 12.4 118 121 2.8 1.4
"30" "30" 1989-02-07 24.98 "MIA" "@" "UTA" "L" -19 0 17 0.102 0 0 8.1 3.5 26.5 6 0 29.1 17.7 34 98 -0.6 -11.5
"31" "31" 1989-02-09 24.98 "MIA" "@" "DEN" "L" -25 0 24 0.583 0.583 0 3.9 2.1 34.5 1.9 0 40 16 83 115 3.6 -4.6
"32" "32" 1989-02-14 25 "MIA" "" "CLE" "L" -11 0 6 1.333 1.333 0 0 0 50 0 0 25 26.3 146 118 6.8 35.2
"33" "33" 1989-02-16 25 "MIA" "@" "DAL" "L" -13 0 7 0.5 0.5 0 0 0 89.7 14.8 0 0 26.1 110 78 4.6 21.3
"34" "34" 1989-02-20 25.01 "MIA" "@" "NJN" "L" -8 0 10 0 0 13.3 11.2 12.2 31.3 0 0 20 20.4 48 121 -1.1 -18.4
"35" "35" 1989-02-22 25.02 "MIA" "" "PHI" "L" -31 0 14 0 0 0 0 0 29.8 3.3 0 33.3 8.5 64 135 0.2 -12.9
"36" "36" 1989-02-24 25.02 "MIA" "" "LAC" "W" 20 0 14 1.215 1.25 0 6.6 3.8 61.3 0 0 25.8 10.7 183 95 9.4 10
"37" "37" 1989-02-26 25.03 "MIA" "" "POR" "L" -22 0 12 0 0 0 0 0 51.3 0 0 25 12.6 57 126 0 -12.9
"38" "38" 1989-03-03 25.04 "MIA" "" "UTA" "L" -12 0 3 0.75 0.75 0 0 0 100 0 0 0 27.3 189 118 3 33.3
"39" "39" 1989-03-05 25.05 "MIA" "" "DET" "L" -9 0 2 0.436 0.333 61.5 0 34.3 0 0 0 0 73.5 116 123 2 15.3
"40" "40" 1989-03-08 25.05 "MIA" "" "LAL" "L" -40 0 19 0.273 0.333 4.9 7 5.7 53.7 2.6 2.9 0 16 90 130 6.6 -0.8
"41" "41" 1989-03-10 25.06 "MIA" "" "DEN" "W" 1 0 1 NA NA 0 0 0 0 0 0 NA 0 0 112 -0.4 -28
"42" "42" 1989-03-11 25.06 "MIA" "@" "ATL" "L" -33 0 15 0.417 0.417 0 0 0 14.2 3.1 0 25 21.8 65 110 0.1 -7.3
"43" "43" 1989-03-17 25.08 "MIA" "@" "UTA" "L" -22 0 9 0.5 0.5 0 0 0 67.4 0 0 33.3 13.4 101 124 2.4 -2.3
"44" "44" 1989-03-18 25.08 "MIA" "@" "DEN" "L" -6 0 7 NA NA 0 15.9 8.5 18.5 0 0 100 6 42 111 -0.4 -11.3
"45" "45" 1989-03-20 25.09 "MIA" "@" "PHO" "L" -18 0 7 0.5 0.5 0 0 0 20.1 0 0 0 11.4 119 116 1.7 -2.8
"46" "46" 1989-03-27 25.11 "MIA" "" "NJN" "W" 21 0 2 NA NA 0 0 0 0 0 0 100 21.1 0 97 -1 -34.5
"47" "47" 1989-03-31 25.12 "MIA" "@" "PHI" "L" -21 0 28 0.4 0.4 0 8.4 3.5 24.8 1.7 0 44.4 13 59 118 1.2 -13.4
"48" "48" 1989-04-04 25.13 "MIA" "@" "SAS" "L" -22 0 15 0.387 0.333 0 9.4 3.9 30.2 6.2 0 43.6 19 58 99 1.5 -7.5
"49" "49" 1989-04-10 25.15 "MIA" "@" "SAC" "L" -39 0 19 0.266 0 4.3 5.7 4.9 25.3 0 0 21 9.6 71 114 1.1 -9.9
"50" "50" 1989-04-11 25.15 "MIA" "@" "GSW" "L" -16 0 7 NA NA 0 0 0 15.9 0 0 100 5.2 33 114 -1.5 -21.2
"51" "51" 1989-04-14 25.16 "MIA" "@" "POR" "L" -11 0 5 0 0 0 0 0 0 10.4 0 33.3 25.1 0 93 -2.2 -24.7
"52" "52" 1989-04-16 25.16 "MIA" "@" "LAL" "L" -13 0 2 1 1 0 0 0 100 0 0 0 20.8 200 130 3.8 53.1
