"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1999-05-04 22.93 "MIN" "@" "HOU" "L" -17 0 12.0166666666667 0.41 0.25 0 22.9 9.8 0 0 0 0 18.3 101 115 1.8 -5.8
"2" "2" 1999-05-05 22.93 "MIN" "@" "PHO" "L" -4 0 18.1666666666667 0.25 0.25 17.4 16 16.7 7.3 0 0 11.1 20.7 70 104 0.3 -12.3
"1" "1" 1999-11-05 23.44 "MIN" "@" "SAC" "L" -5 1 24.0166666666667 0.333 0.333 10.7 15.1 12.8 0 0 5.6 0 14.6 86 97 4 -4.7
"2" "2" 1999-11-06 23.44 "MIN" "" "SAC" "W" 13 1 31.8833333333333 0.515 0.5 7 6.8 6.9 3.5 0 0 20.5 12.9 94 108 4.5 -5.9
"3" "3" 1999-11-11 23.45 "MIN" "" "NYK" "W" 3 1 20.1666666666667 0.205 0.25 12 11.4 11.7 15.7 0 0 17 14 65 107 0.4 -9.4
"4" "4" 1999-11-13 23.46 "MIN" "" "PHO" "W" 11 1 34.5 0.893 0.917 10.8 14.6 12.9 16.2 0 0 7.2 16.8 165 107 22.8 11
"5" "5" 1999-11-17 23.47 "MIN" "" "LAC" "L" -4 1 18.75 0.5 0.5 0 13 5.6 0 2.8 3.9 20 11.3 77 95 0.9 -9
"6" "6" 1999-11-19 23.47 "MIN" "" "UTA" "W" 5 0 29.7 0.34 0.3 20.5 20.5 20.5 5.5 0 4.6 29.8 25 65 96 3.1 -7.8
"7" "7" 1999-11-21 23.48 "MIN" "@" "VAN" "W" 24 0 33.25 0.721 0.714 10.9 16.5 13.9 7.9 1.6 6.8 10.7 12.5 142 87 14.6 7.8
"8" "8" 1999-11-22 23.48 "MIN" "@" "UTA" "L" -15 0 36 0.571 0.571 12.1 9.2 10.8 9 0 3.9 23.7 16.5 99 121 7.8 -1.6
"9" "9" 1999-11-24 23.49 "MIN" "" "POR" "L" -7 0 18.4 0.073 0 4.3 0 2.5 0 3.1 4 0 16.5 27 103 -2 -12.2
"10" "10" 1999-11-26 23.49 "MIN" "@" "DEN" "L" -9 0 25.9333333333333 0.528 0.4 12 25.8 18.7 0 3.6 2.5 10.5 15.1 113 104 8.7 -0.7
"11" "11" 1999-11-27 23.5 "MIN" "" "VAN" "W" 31 0 19.3 0.167 0.167 15.3 19.4 17.5 0 0 13.8 33.3 21.1 41 84 -2.1 -18.2
"12" "12" 1999-11-30 23.5 "MIN" "" "DEN" "W" 17 0 18.1 0.466 0.5 6.7 12.4 9.6 0 0 8 0 16.1 99 96 4.1 -3.1
"13" "13" 1999-12-02 23.51 "MIN" "" "ORL" "L" -10 0 19.0166666666667 0.102 0 0 36.8 17.7 0 0 0 29.1 14 17 97 -2.5 -13.6
"14" "14" 1999-12-04 23.52 "MIN" "" "DAL" "L" -19 0 21.5833333333333 0.387 0.333 11.9 11.2 11.6 0 0 12.3 0 7.3 112 114 6 0.9
"15" "15" 1999-12-08 23.53 "MIN" "@" "SEA" "L" -16 0 14.0833333333333 0.333 0.333 8.6 22.4 15.9 0 0 0 25 13.2 62 116 0.5 -11.4
"16" "16" 1999-12-09 23.53 "MIN" "@" "POR" "L" -4 1 32.35 0.414 0.4 4.4 25.9 14.3 11.1 3.5 0 8.4 18.7 85 100 5.4 -2.4
"17" "17" 1999-12-11 23.53 "MIN" "" "GSW" "L" -28 1 37.5333333333333 0.7 0.688 16.8 23.9 20 6.6 0 1.7 10.8 21.7 124 108 20.3 7.4
"18" "18" 1999-12-14 23.54 "MIN" "@" "ATL" "L" -11 1 36.5666666666667 0.51 0.5 2.4 11.5 6.6 11.6 0 0 7.8 14.7 104 115 7.6 -4.8
"19" "19" 1999-12-15 23.55 "MIN" "@" "CHH" "L" -5 1 34.95 0.63 0.556 16.3 11.1 13.9 4.3 1.4 4 8.8 13.4 137 106 12.8 3.8
"20" "20" 1999-12-17 23.55 "MIN" "" "LAL" "L" -9 1 36.0166666666667 0.607 0.667 6.3 9.8 8 17.2 1.4 0 9.2 13.9 116 106 10.4 3.6
"21" "21" 1999-12-18 23.55 "MIN" "@" "DAL" "W" 4 1 15.3166666666667 0.2 0.2 0 13.9 7.7 0 3.3 0 16.7 18.5 36 104 -2.5 -17.3
"22" "22" 1999-12-20 23.56 "MIN" "@" "CLE" "W" 6 1 16.7 0.581 0.5 12.5 20.7 16.4 12 0 0 0 17 137 101 7.2 3.1
"23" "23" 1999-12-22 23.56 "MIN" "@" "CHI" "W" 20 1 26.5833333333333 0.41 0.5 10.5 20.1 16 14.5 0 7.7 29.1 11.7 83 91 4.7 -0.8
"24" "24" 1999-12-23 23.57 "MIN" "" "SEA" "W" 7 1 20.3166666666667 0.333 0.333 5 26.1 15.3 17.3 0 0 0 6.4 119 111 3.8 -0.4
"25" "25" 1999-12-27 23.58 "MIN" "@" "ORL" "W" 2 1 11.6833333333333 0.25 0.25 0 22.2 10.7 29.3 0 5.4 20 18.2 77 111 1.2 -3.8
"26" "26" 1999-12-28 23.58 "MIN" "@" "MIA" "L" -11 1 26.4833333333333 0.286 0.286 13 8.6 11.1 0 0 0 0 12.4 82 105 1.7 -9.8
"27" "27" 1999-12-30 23.59 "MIN" "" "CHI" "W" 18 1 24.9333333333333 0.588 0.5 12.8 24.6 19.5 27.1 0 3.4 0 20.4 140 89 12 7.5
"28" "28" 2000-01-04 23.6 "MIN" "" "SAS" "W" 3 1 25.2166666666667 0.788 0.75 17.1 18.3 17.7 14.5 0 2.6 0 16.3 171 102 14.5 8.9
"29" "29" 2000-01-06 23.61 "MIN" "" "POR" "W" 2 1 20.7166666666667 0.333 0.333 6.7 21.4 13.9 14.1 2.6 4 14.3 15.4 86 105 2.3 -3.9
"30" "30" 2000-01-08 23.61 "MIN" "@" "DET" "W" 5 1 18.5833333333333 0.615 0.5 6.3 6.8 6.6 23.8 0 0 0 11.3 149 109 4.7 3
"31" "31" 2000-01-09 23.61 "MIN" "@" "PHI" "W" 11 1 18.15 1 1 8.9 0 3.5 6.9 0 6.8 28.6 18.7 126 134 7.7 2.1
"32" "32" 2000-01-11 23.62 "MIN" "" "MIA" "L" -10 1 20.2166666666667 0.436 0.333 7.1 8.9 7.9 12.6 0 0 12.7 19.3 96 136 3.2 -8.9
"33" "33" 2000-01-13 23.62 "MIN" "" "BOS" "W" 18 1 17.4333333333333 0.5 0.5 7.4 11.3 9.6 8.4 0 4.3 14.3 19.3 92 95 3.1 -6.1
"34" "34" 2000-01-15 23.63 "MIN" "" "LAL" "L" -13 1 21.1166666666667 0.125 0.125 9.5 38.1 22.9 0 0 0 0 17.9 44 110 -1.3 -18
"35" "35" 2000-01-17 23.64 "MIN" "" "IND" "W" 1 1 18.45 0.521 0.5 5.7 7.2 6.3 6.6 0 4.1 0 7.1 130 116 2.8 -4.1
"36" "36" 2000-01-19 23.64 "MIN" "@" "UTA" "W" 3 1 27.5666666666667 0.333 0.333 4 24.7 13.2 0 0 0 0 10.9 80 102 1.2 -8.8
"37" "37" 2000-01-21 23.65 "MIN" "@" "LAC" "W" 6 1 24.4666666666667 0.425 0.4 14.3 19.5 16.9 18.2 2.2 0 0 11 120 94 7.5 2.9
"38" "38" 2000-01-23 23.65 "MIN" "@" "GSW" "W" 18 1 23.55 0.686 0.625 25.6 14.5 19.1 0 0 2.6 8.9 20.8 138 89 13.6 5.3
"39" "39" 2000-01-25 23.66 "MIN" "@" "HOU" "W" 8 1 39.15 0.571 0.571 10 17.6 14 6.6 0 2.3 30 12.1 92 95 5.7 -3.7
"40" "40" 2000-01-27 23.66 "MIN" "@" "SAS" "L" -12 1 23.0166666666667 0 0 0 13.3 7 6.1 0 0 50 4 20 109 -1.7 -9.2
"41" "41" 2000-01-29 23.67 "MIN" "" "UTA" "W" 2 1 28.7166666666667 0.282 0.25 18.8 17.4 18.2 0 0 4.4 25.3 18.8 66 106 0.9 -14.1
"42" "42" 2000-01-31 23.67 "MIN" "" "SAC" "W" 15 1 27.4166666666667 0.7 0.7 5.9 20.1 15 5.3 1.8 4.6 23.1 21.6 100 85 10 0.5
"43" "43" 2000-02-02 23.68 "MIN" "@" "WAS" "L" -10 1 27.6666666666667 0.507 0.5 15.6 9.3 12.2 10.7 0 7.8 0 16.2 124 119 10.4 4.6
"44" "44" 2000-02-04 23.68 "MIN" "" "HOU" "W" 17 1 29.9 0.714 0.714 10 12.5 11.6 0 0 2.4 12.5 12.9 121 93 8.2 -3
"45" "45" 2000-02-05 23.69 "MIN" "@" "DEN" "W" 8 1 20.7666666666667 0 0 8.4 0 4.5 7.9 0 3.6 0 17.2 25 105 -3.6 -18
"46" "46" 2000-02-09 23.7 "MIN" "@" "LAL" "L" -33 1 13.4833333333333 0.512 0.5 13.9 18.5 15.9 0 0 5.4 17 19.6 94 117 2.7 -6.8
"47" "47" 2000-02-10 23.7 "MIN" "@" "PHO" "L" -16 1 23.6666666666667 0.654 0.667 7.8 10 8.8 7.4 2.2 2.8 0 12.4 142 110 9.2 4.5
"48" "48" 2000-02-15 23.72 "MIN" "" "DEN" "L" -3 0 10.3833333333333 1 1 13.6 25.9 19.9 18.7 0 6.7 33.3 14.8 131 102 4.3 6.6
