"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2004-11-04 22.1 "CHA" "" "WAS" "L" -7 1 32.0833333333333 0.709 0.556 15.8 23.1 19.5 5.1 0 2.2 0 18.1 165 111 19.1 8.7
"2" "2" 2004-11-06 22.11 "CHA" "" "ORL" "W" 11 1 36.95 0.381 0.357 9.7 25.5 18.9 0 0 3.6 11.3 19.1 82 93 6.6 -4.5
"3" "3" 2004-11-10 22.12 "CHA" "@" "MIL" "L" -2 1 41.35 0.364 0.364 12.5 24 17.7 9.9 1.3 0 26.7 16.1 78 112 5.7 -7.4
"4" "4" 2004-11-12 22.12 "CHA" "@" "BOS" "L" -17 1 32.9 0.342 0.286 13.9 25.5 19.5 10.7 0 4.3 25.5 15.9 71 97 4.6 -5.2
"5" "5" 2004-11-13 22.13 "CHA" "" "GSW" "L" -16 1 17.5666666666667 0 0 16.7 16.7 16.7 7.6 3 0 28.6 17.7 32 112 -1.5 -15.4
"6" "6" 2004-11-16 22.13 "CHA" "" "UTA" "L" -2 1 34.5333333333333 0.623 0.6 4 32 17.1 4.8 0 6.1 8.7 15.4 117 114 11 0.7
"7" "7" 2004-11-18 22.14 "CHA" "" "CLE" "L" -17 1 29.3333333333333 0.451 0.333 6.8 14.5 10 5.4 3.5 0 11.4 12.7 100 114 6.4 -5
"8" "8" 2004-11-20 22.15 "CHA" "@" "CLE" "L" -16 1 26.8833333333333 0.505 0.5 6.8 21.2 13.2 0 5.8 2.6 23.7 26.3 81 97 8 -1.2
"9" "9" 2004-11-21 22.15 "CHA" "@" "DET" "L" -1 1 40.8833333333333 0.456 0.438 9 21.1 15 4.5 1.4 7 15.4 22.6 89 107 10.3 -4.4
"10" "10" 2004-11-23 22.15 "CHA" "" "DET" "W" 2 1 33.8166666666667 0.615 0.588 14.2 45.7 28.7 0 0 2.5 5.3 26.6 128 101 17.9 4.7
"11" "11" 2004-11-26 22.16 "CHA" "@" "IND" "L" -5 1 43.0833333333333 0.598 0.6 11.8 18.6 15.3 5.6 1.3 4.8 5.9 18.5 119 93 17.5 4.6
"12" "12" 2004-11-27 22.16 "CHA" "" "ATL" "W" 15 1 36.9166666666667 0.508 0.538 0 34.1 17.5 9 2.8 4 16.9 22.6 82 92 11.1 -3.8
"13" "13" 2004-11-30 22.17 "CHA" "@" "NJN" "L" -13 1 44.0166666666667 0.591 0.591 14.2 22.9 17.5 5 0 4.7 8.3 24.3 120 119 21.8 4.1
"14" "14" 2004-12-04 22.18 "CHA" "" "NYK" "W" 6 1 37.6 0.433 0.4 5.9 50.5 27.4 4.2 0 0 4.2 27.6 93 102 12.7 -5.3
"15" "15" 2004-12-06 22.19 "CHA" "@" "LAC" "L" -6 1 51.75 0.387 0.333 12.4 29.5 19 10.3 1.1 4.8 20.5 18.5 81 100 10.1 -4.3
"16" "16" 2004-12-07 22.19 "CHA" "@" "SAC" "L" -17 1 37.9833333333333 0.282 0.313 12.5 28.4 18.8 0 1.3 2 5.3 19.7 72 111 5.6 -8.2
"17" "17" 2004-12-10 22.2 "CHA" "@" "PHO" "L" -9 1 33.0833333333333 0.368 0.368 17 15.4 16.3 0 1.5 0 5 24.8 90 116 6.9 -10.2
"18" "18" 2004-12-12 22.21 "CHA" "@" "GSW" "L" -12 1 40.85 0.517 0.526 5.4 26.8 16.7 9.6 0 0 4.7 21.8 111 103 15.2 2.3
"19" "19" 2004-12-14 22.21 "CHA" "" "NOH" "W" 1 1 38.1333333333333 0.689 0.636 8.5 32.2 19 5.1 0 2.2 12.1 20.2 131 104 16.9 2.4
"20" "20" 2004-12-18 22.22 "CHA" "" "HOU" "W" 1 1 41.9333333333333 0.414 0.385 17.3 28 22.3 13.7 2.4 3.9 6.7 30.9 93 92 17.9 0.3
"21" "21" 2004-12-21 22.23 "CHA" "" "NJN" "L" -3 1 30.4 0.375 0.333 15.2 28.2 20.3 5.6 1.7 0 13.1 21.4 85 103 6.6 -7.1
"22" "22" 2004-12-22 22.23 "CHA" "@" "HOU" "W" 3 1 38.4 0.464 0.4 9.5 21.9 16.1 4.9 0 4.2 8.1 29.4 92 92 12.8 -2.5
"23" "23" 2004-12-26 22.24 "CHA" "@" "NYK" "L" -9 1 39.7333333333333 0.596 0.5 25.1 14.5 21 0 2.8 2.1 9.4 23 131 104 24 7.8
"24" "24" 2004-12-27 22.25 "CHA" "@" "WAS" "L" -19 1 38.1 0.628 0.615 9.3 32.4 19.3 4.9 1.5 4.3 12.3 20.1 116 116 16.1 1.4
"25" "25" 2004-12-29 22.25 "CHA" "" "IND" "L" -3 1 39.7333333333333 0.426 0.412 20.8 17.6 19.4 10.6 0 0 9.6 23.6 96 93 13.2 0.9
"26" "26" 2004-12-31 22.26 "CHA" "" "SEA" "L" -6 1 38.7666666666667 0.779 0.75 12.6 21.7 16.8 4.7 0 4.4 0 20.1 172 122 26.1 10.9
"27" "27" 2005-01-01 22.26 "CHA" "@" "MIA" "L" -23 1 32.9166666666667 0.492 0.5 10.1 33.9 19.9 0 4.8 2.5 0 24.2 110 115 14.5 2
