"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2013-10-29 21.49 "ORL" "@" "IND" "L" -10 0 22.5833333333333 0.455 0.409 4.5 11.8 7.7 15.5 2.2 0 18.5 30.1 85 104 5 -2.3
"2" "2" 2013-10-30 21.49 "ORL" "@" "MIN" "L" -5 0 36.55 0.444 0.393 0 16.1 8.4 14.6 0 1.9 20.2 22.8 85 111 5.1 -7.6
"3" "3" 2013-11-01 21.5 "ORL" "" "NOP" "W" 20 0 31.3333333333333 0.46 0.45 0 16.4 10.4 28 6.5 3.8 26.9 22.8 87 84 10 1.5
"4" "4" 2013-11-03 21.5 "ORL" "" "BRK" "W" 21 0 21.4 0.644 0.615 0 25.9 14 37.3 4.7 0 32.2 42.9 92 80 11.5 3.8
"5" "5" 2013-11-06 21.51 "ORL" "" "LAC" "W" 8 0 22.65 0.799 0.833 0 7.2 4.2 13.4 4.3 0 36.8 22.1 94 89 7.2 3.8
"6" "6" 2013-11-08 21.52 "ORL" "" "BOS" "L" -2 0 23.2666666666667 0.327 0.25 4.4 10.5 7.8 23.1 2.2 0 17.9 29.9 71 95 1.5 -8.4
"7" "7" 2013-11-09 21.52 "ORL" "@" "ATL" "L" -10 0 20.1166666666667 0.282 0.313 5.8 14 9.5 14.4 2.5 3.4 25.3 26.5 55 104 0.4 -9.2
"8" "8" 2013-11-11 21.52 "ORL" "@" "BOS" "L" -15 0 26.8166666666667 0.475 0.441 0 5.8 2.5 13.5 3.8 0 5.3 29.9 102 124 9.8 -3.8
"9" "9" 2013-11-13 21.53 "ORL" "" "MIL" "W" 3 0 22.3333333333333 0.346 0.321 0 11 5.1 16.3 2.3 3.5 12.2 33.3 73 97 3.1 -8.4
"10" "10" 2013-11-16 21.54 "ORL" "" "DAL" "L" -8 0 28.0833333333333 0.512 0.438 0 17.1 9.8 32.2 1.8 0 48 32.3 65 114 1 -13.8
"11" "11" 2013-11-20 21.55 "ORL" "" "MIA" "L" -28 1 35.6 0.644 0.5 0 18 8.3 12.1 7.2 5.4 34 30.4 87 115 14.2 0.9
"12" "12" 2013-11-23 21.56 "ORL" "@" "MIA" "L" -2 1 27.0833333333333 0.711 0.563 4.5 30.4 16.8 26.3 0 0 7.7 22.6 150 112 16.1 8
"13" "13" 2013-11-24 21.56 "ORL" "" "PHO" "L" -8 1 39.5 0.233 0.25 0 13.8 7.1 17.2 2.6 1.8 23.7 20.1 50 108 0.5 -11.3
"14" "14" 2013-11-26 21.56 "ORL" "@" "ATL" "W" 17 1 28.9333333333333 0.731 0.682 4.5 8.1 6.4 27.3 0 3.3 7.5 21.3 143 101 16 7.1
"15" "15" 2013-11-27 21.57 "ORL" "" "PHI" "W" 11 1 42.3 0.705 0.682 0 7.2 4 16.2 5.8 1.8 38.5 21.8 89 90 13.2 -0.4
"16" "16" 2013-11-29 21.57 "ORL" "" "SAS" "L" -18 1 32 0.504 0.464 3.8 14.5 8.5 12 1.6 7.6 11.8 25.4 93 112 10.5 0.4
"17" "17" 2013-12-02 21.58 "ORL" "@" "WAS" "L" -18 1 26.3333333333333 0.444 0.333 0 28.8 13.3 16.1 0 0 6.4 28.1 93 109 7.2 -4.4
"18" "18" 2013-12-03 21.58 "ORL" "@" "PHI" "L" -1 1 51.5833333333333 0.558 0.444 0 24.4 12.5 29.6 3 0 11.4 23.4 115 107 24.6 1.5
"19" "19" 2013-12-06 21.59 "ORL" "@" "NYK" "L" -38 1 39.75 0.515 0.462 3.1 26.1 14.3 15.1 1.4 4.9 15.4 26 93 132 13.3 -2.1
"20" "20" 2013-12-08 21.6 "ORL" "@" "HOU" "L" -10 1 32.5166666666667 0.293 0.182 2.5 6.9 4.3 0 1.6 0 12.8 20.6 60 110 -1 -14.3
"21" "21" 2013-12-09 21.6 "ORL" "@" "MEM" "L" -9 1 39.9166666666667 0.421 0.409 2.7 14 8.3 14.3 3.9 0 25.2 19.9 71 99 6 -5.1
"22" "22" 2013-12-11 21.61 "ORL" "@" "CHA" "W" 9 1 30.9666666666667 0.5 0.5 6.7 6.6 6.7 10.2 3.4 2.3 28.6 20.1 82 90 5.9 -2.5
"23" "23" 2013-12-13 21.61 "ORL" "" "CLE" "L" -9 1 36.8 0.855 0.808 2.9 11.9 7.3 20.7 5.4 5.9 11.6 21.6 152 101 27.3 17.3
"24" "24" 2013-12-15 21.62 "ORL" "@" "OKC" "L" -3 1 33.4166666666667 0.483 0.417 0 12.2 6.4 9.6 1.5 0 24.4 27.4 78 106 4 -9.6
"25" "25" 2013-12-16 21.62 "ORL" "@" "CHI" "W" 1 1 33.5 0.311 0.25 3 2.8 2.9 25 0 0 0 18.3 84 99 4.1 -4.7
"26" "26" 2013-12-18 21.62 "ORL" "" "UTA" "L" -4 1 36.2166666666667 0.125 0.125 5.4 8.6 7 9.9 1.5 2.2 14.3 17.7 39 98 -2.4 -12.2
"27" "27" 2013-12-21 21.63 "ORL" "" "SAC" "L" -5 0 21.2833333333333 0.419 0.423 0 5.2 2.6 16.3 2.4 4 6.5 31.7 89 111 4.9 -4.1
"28" "28" 2013-12-23 21.64 "ORL" "" "NYK" "L" -5 0 16.3 0.338 0.25 0 7.2 3.2 8.6 0 0 18.4 14.9 66 117 0.2 -13.2
"29" "29" 2013-12-27 21.65 "ORL" "" "DET" "W" 17 0 36.7666666666667 0.515 0.458 3.2 9.3 6.7 37.3 1.4 0 6.1 19.9 127 99 16 3.8
"30" "30" 2013-12-29 21.65 "ORL" "" "ATL" "W" 7 0 28.5333333333333 0.713 0.643 0 19.6 11.1 39.3 3.5 4 32.2 25.7 111 101 13.7 4.1
"31" "31" 2013-12-31 21.66 "ORL" "" "GSW" "L" -13 0 17.3833333333333 0.508 0.429 0 13.8 5.9 21.5 0 0 27.6 29 77 106 2.5 -9.1
"32" "32" 2014-01-02 21.67 "ORL" "@" "CLE" "L" -6 0 25.7333333333333 0.333 0.333 4.1 10.7 7.6 8 0 5.3 25 23.3 55 93 0.8 -10.1
"33" "33" 2014-01-04 21.67 "ORL" "" "MIA" "L" -16 0 34.6833333333333 0.542 0.462 6.2 15.4 10.3 15.9 1.5 0 21.3 24.6 98 119 9.8 -1.5
"34" "34" 2014-01-06 21.68 "ORL" "@" "LAC" "L" -20 0 26.1666666666667 0.656 0.633 3.5 26.8 14.5 59.9 2 3.5 10.7 31.2 128 101 18.3 19
"35" "35" 2014-01-08 21.68 "ORL" "@" "POR" "L" -16 1 38.6166666666667 0.608 0.438 0 11.6 5.6 8.5 2.7 1.9 20.7 17.4 103 116 10.7 -2.3
"36" "36" 2014-01-10 21.69 "ORL" "@" "SAC" "L" -20 1 37.3333333333333 0.412 0.393 0 3.5 1.4 19.7 1.4 0 0 19.5 92 119 7.4 -2.7
"37" "37" 2014-01-11 21.69 "ORL" "@" "DEN" "L" -26 1 32.2833333333333 0.568 0.545 6.5 3.4 5 26.5 1.6 0 18.5 22.9 104 129 11.7 -1.7
"38" "38" 2014-01-13 21.7 "ORL" "@" "DAL" "L" -19 1 30.25 0.463 0.409 4.1 8.4 6.2 11.5 1.8 0 25.2 25.7 78 124 3 -11.3
"39" "39" 2014-01-15 21.7 "ORL" "" "CHI" "L" -3 1 57.1833333333333 0.668 0.646 0 7.1 4 24.2 2.8 1.4 23.4 29.2 107 108 24.3 3.3
"40" "40" 2014-01-17 21.71 "ORL" "" "CHA" "L" -10 1 39.25 0.359 0.321 0 17 8.3 36.9 1.3 4.1 20.7 22.5 81 113 7.7 -4.4
"41" "41" 2014-01-19 21.71 "ORL" "" "BOS" "W" 2 1 39.0166666666667 0.441 0.25 2.9 11.6 7.8 8.9 2.7 3.2 22.7 15.6 83 97 7 -2.9
"42" "42" 2014-01-21 21.72 "ORL" "@" "BRK" "L" -11 1 30.85 0.465 0.389 0 25.2 12.8 27.5 3.6 0 8.5 19.2 102 110 10.4 1.6
"43" "43" 2014-01-22 21.72 "ORL" "" "ATL" "L" -3 1 34.0333333333333 0.746 0.692 3.5 24.2 13.2 33.2 2.8 2.4 11.1 23.7 141 107 24.6 13.8
"44" "44" 2014-01-24 21.73 "ORL" "" "LAL" "W" 9 1 38.6 0.451 0.393 9.1 22.4 16.4 19 2.5 1.8 15.3 22 97 101 13.2 -2.3
"45" "45" 2014-01-26 21.73 "ORL" "@" "NOP" "L" -8 1 39.5 0.615 0.5 0 8.3 4.6 8.5 6.6 0 6.4 18.8 120 100 17.5 8.4
"46" "46" 2014-01-28 21.74 "ORL" "@" "DET" "L" -16 0 25.8 0.62 0.571 0 15.2 7.8 29.4 0 0 28.1 38.5 88 113 8.9 -4
"47" "47" 2014-01-29 21.74 "ORL" "@" "TOR" "L" -15 1 38.6166666666667 0.342 0.25 0 5.9 2.7 15.4 1.4 0 14.6 25.1 67 117 1.7 -11.6
"48" "48" 2014-01-31 21.75 "ORL" "" "MIL" "W" 11 1 32.4333333333333 0.615 0.55 0 14.8 8.5 29.1 4.4 0 29.1 23.4 99 97 12.4 -0.7
"49" "49" 2014-02-02 21.75 "ORL" "@" "BOS" "L" -7 1 37.8666666666667 0.322 0.219 0 10.6 4.6 21.7 1.4 0 13.9 26.5 73 110 4 -9.9
"50" "50" 2014-02-03 21.75 "ORL" "@" "IND" "L" -19 1 34.8166666666667 0.253 0.182 2.9 13.1 7.7 50.1 6.2 0 25.2 21.8 70 101 7.5 -0.3
"51" "51" 2014-02-05 21.76 "ORL" "" "DET" "W" 14 0 27.6 0.85 0.8 4.7 12.1 8.7 17.3 3.7 0 7.8 20.4 163 103 19.7 10.9
"52" "52" 2014-02-07 21.76 "ORL" "" "OKC" "W" 1 0 21.4833333333333 0.799 0.786 0 37.2 16 25 5 4.4 10.2 21.7 146 102 15.2 15.7
"53" "53" 2014-02-09 21.77 "ORL" "" "IND" "W" 1 0 33.3 0.546 0.472 0 13.1 6.5 25.7 3.1 0 15.9 33.6 101 96 14.4 5.3
"54" "54" 2014-02-12 21.78 "ORL" "" "MEM" "L" -5 0 26.1 0.295 0.227 0 5.3 2.4 12.1 2.2 2.8 14.4 25.4 67 104 0.7 -8.7
