"","input","t_test_GmSc_p","t_test_net_p","ks_test_GmSc_p","ks_test_net_p","ad_test_GmSc_p","ad_test_net_p"
"1","jamesle01",0.0146476069952628,0.515709213449283,0.0743155105951932,0.933082596779348,0.013039,0.76334
"2","duncati01",0.0861438914902813,0.0367025479808019,0.0640207654725869,0.30760779588673,0.067031,0.07499
"3","bryanko01",0.940437748089716,0.384544086815209,0.891382893936316,0.925580113730671,0.87775,0.72403
"4","pippesc01",0.365392688410369,0.789699413881068,0.463020993595014,0.559994033361921,0.25052,0.45139
"5","onealsh01",0.444458694182168,0.00118459655400404,0.0914959730479922,0.0211465754453067,0.33679,0.0022851
"6","malonka01",0.0024991765317111,2.65973466657808e-07,0.00936748614684115,0.000317140419210258,0.0040733,5.0868e-07
"7","parketo01",0.778683599745247,8.23317668335441e-06,0.683625417490334,2.68591517324916e-05,0.86141,2.2686e-06
"8","johnsma02",0.281034548755533,0.38708958273749,0.628967485050212,0.959118167635954,0.35297,0.84449
"9","jordami01",0.541540169894416,0.975408110393987,0.258866374407031,0.37026533294807,0.50416,0.26441
"10","johnsde01",0.00109949539738738,0.141486261379704,0.00713425363497417,0.042133545767637,0.0010711,0.12864
"11","duranke01",0.242014356107283,0.111961674532647,0.506648969532394,0.188206786170901,0.44551,0.13029
"12","birdla01",0.618033014855657,0.0136749962554509,0.930153632409915,0.0105065335508378,0.83135,0.0093874
"13","fishede01",0.811719607362731,0.438960579832542,0.973711107099199,0.14018970669656,0.98869,0.09982
"14","horryro01",0.00302655627069299,0.0999275732761861,0.0180856815649835,0.269874683422019,0.0022523,0.1442
"15","wadedw01",0.711412466415607,0.956623053414063,0.124343150068352,0.905512597961262,0.18962,0.84947
"16","stockjo01",0.0238227114725691,0.000554678946775921,0.257862689452921,0.00412880928994592,0.050219,0.001512
"17","horfoal01",0.45159278943444,0.39330376783751,0.545506493750457,0.375910664511897,0.66534,0.23517
"18","piercpa01",0.0523396996124431,0.0665683553103989,0.0803592946022692,0.130580099299276,0.035268,0.077373
"19","parisro01",0.918640530130622,0.511624201185063,0.802829201535983,0.546141040878576,0.58731,0.25446
"20","grantho01",0.0129265740525712,0.272576986747646,0.0261003182518405,0.0679479041958714,0.0093904,0.14307
"21","kiddja01",0.553902651458543,0.0782621452423991,0.976710014701032,0.185985060330853,0.74788,0.096285
"22","allenra02",0.00487682000370697,0.580820512562923,0.00032310722418479,0.0832137799817751,0.00022575,0.017784
"23","hardeja01",0.0142197262973755,0.0370601088968763,0.0846767538128296,0.022569509882967,0.032394,0.031475
"24","nowitdi01",9.02585159712553e-06,0.657212848333627,0.0015535833384405,0.520365161795085,4.1502e-06,0.45365
"25","wallara01",0.00596233169283013,0.293498897118092,0.0894306896370718,0.848750671222975,0.013888,0.34298
"26","thompkl01",0.348253926421975,0.348166023401922,0.795967996202832,0.568220574287274,0.77153,0.43585
"27","olajuha01",0.00115186467869845,0.759502367126817,0.000123857892200194,0.23674192880316,0.00027572,0.2298
"28","mchalke01",0.0201092489611902,0.971019638626462,0.0741683625441319,0.815169034335244,0.02143,0.83411
"29","drexlcl01",0.245660911140636,0.0241311552999496,0.264921623000622,0.0284106190414587,0.1745,0.01653
"30","curryst01",0.178946867349558,0.566773283681926,0.267873764129386,0.591018417099273,0.098634,0.40981
"31","paytoga01",2.02805778751166e-06,0.00909275918769707,5.32304918206192e-06,0.00665919892525026,4.2804e-07,0.0011147
"32","greendr01",3.23014662993485e-05,0.0102379389178309,0.0022794448000927,0.0779965611445486,4.2159e-05,0.028643
"33","paulch01",0.927006907965513,0.00511541608331539,0.373479202479217,0.0166034606259648,0.19081,0.0049279
"34","billuch01",0.0523107495984176,0.459246113591505,0.0477500611250177,0.403828662587381,0.047325,0.56964
"35","millere01",0.370996492462865,0.311249437011345,0.536501742463331,0.197742042210513,0.16978,0.24789
"36","worthja01",0.0023851599813777,0.593873372980076,0.00404979755405584,0.991112100704627,0.0020083,0.73673
"37","garneke01",0.161150504410272,0.0361632091532477,0.0853920182887197,0.0753272097602469,0.074155,0.049517
"38","iguodan01",6.87794580649388e-05,0.648696987740131,0.00926633299495348,0.539283777004555,0.00057325,0.22267
"39","ewingpa01",0.359012269165642,0.292481797161373,0.515326208736419,0.738557335539768,0.37859,0.40209
"40","oaklech01",0.304983314806104,0.667096479099765,0.302732456669996,0.60323484491114,0.42426,0.49855
"41","aingeda01",0.510584330736335,0.290221661327653,0.972603509396761,0.284751572589787,0.94617,0.3088
"42","princta01",0.352699203219088,0.735577625103187,0.0766947182970235,0.753802145816169,0.16495,0.72149
"43","leonaka01",0.0364833600592671,0.997452156820469,0.0647463326463853,0.288869290909009,0.0051614,0.068908
"44","barklch01",0.353074871571103,0.104554849266135,0.578541356464448,0.0937086947638666,0.25593,0.05656
"45","cheekma01",0.0217680210704996,0.0853426364072734,0.0187585073596566,0.206964703320725,0.0071569,0.14555
"46","rodmade01",1.37383083814467e-09,0.000326525882809934,1.59980325023853e-07,0.000220911171435839,5.2664e-11,2.1432e-05
"47","perkisa01",0.0105615094591611,0.0134427146679738,0.0242210255023167,0.0196064086289417,0.01215,0.0089037
"48","hornaje01",0.122680744276563,0.594304172788571,0.229566702812202,0.870065315028114,0.12906,0.84226
"49","rondora01",0.00575640366581404,0.317687308720477,0.0273643228194396,0.429925299377578,0.010259,0.30437
"50","butleji01",0.0948182669678249,0.0354451375355346,0.739970182533636,0.0951058087540357,0.19843,0.05967
"51","westbru01",0.483727121260066,0.0574237509278874,0.822704788312755,0.0606655949354309,0.65254,0.043689
"52","lowryky01",0.112898220767483,0.0100227467034977,0.289248124009157,0.213988148744034,0.12679,0.027094
"53","georgpa01",0.552226605308135,0.0880889605977773,0.839719352118744,0.0398929403628534,0.83825,0.051444
"54","tatumja01",0.033003489455172,0.320054145166471,0.0386359471826247,0.131114345464387,0.031566,0.16483
"55","hillge01",0.399285967059483,0.251543783656348,0.823577160211077,0.354893644062111,0.62636,0.22502
"56","nashst01",0.0881427550989447,0.00950400725516286,0.35370911459845,0.014072128198949,0.1571,0.0042949
"57","greenda01",0.0146837090550879,0.0441873478123211,0.0255410128941842,0.238683297283405,0.011362,0.028851
"58","majerda01",0.989683020670751,0.367300098037231,0.970680062115758,0.660526950256304,0.9438,0.54471
"59","robinda01",2.70540887780354e-07,0.0415019024186694,0.000187412811356082,0.0519352476565043,7.8469e-07,0.019547
"60","thomais01",0.597786164399536,0.0917621496838241,0.959128098112117,0.115878153815484,0.85637,0.044463
"61","brownja02",0.105636975503065,0.868480141728403,0.110276760728694,0.741509665192484,0.09147,0.69891
"62","greenac01",0.129215730003844,0.353029721266478,0.170072475520035,0.784556338204086,0.14478,0.5917
"63","ibakase01",0.0070792259439602,0.585106702886152,0.0123480099984544,0.211575441984185,0.0042221,0.087646
"64","dumarjo01",0.782489258059406,0.660786878425828,0.668015759570749,0.98397297105642,0.44622,0.74987
"65","howardw01",0.278742190938128,0.870301034649452,0.0447025662022985,0.694099209905958,0.047733,0.38754
