"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1992-11-15 23.28 "WSB" "@" "NJN" "L" -7 0 4 0 0 30 0 13.8 0 0 0 33.3 32 24 118 -2.5 -40.7
"2" "2" 1992-11-17 23.29 "WSB" "" "BOS" "W" 4 0 20 0.799 0.917 5 12 8.2 9.2 0 0 12.7 17.7 127 110 8.6 1.7
"3" "3" 1992-11-20 23.3 "WSB" "@" "MIN" "W" 8 1 24 0.364 0.364 0 4.8 2.3 27.8 1.9 2.8 8.3 19.8 87 97 5.2 -3.7
"4" "4" 1992-11-21 23.3 "WSB" "" "UTA" "W" 17 1 39 0.547 0.529 0 3.1 1.4 37 3.5 1.6 9.4 20.9 123 102 21.1 6.5
"5" "5" 1992-11-24 23.31 "WSB" "@" "NYK" "L" -10 1 39 0.468 0.455 2.7 11.2 6.9 26.5 0 0 6.3 17.8 105 105 11.4 1.1
"6" "6" 1992-11-25 23.31 "WSB" "@" "BOS" "L" -38 1 30 0.392 0.273 3 4.2 3.5 8.6 0 1.7 7.3 17.3 97 145 4.4 -11.1
"7" "7" 1992-11-27 23.32 "WSB" "" "MIN" "L" -19 1 30 0.6 0.6 5 5.5 5.2 5.9 0 0 37.5 12.9 79 114 2 -8.3
"8" "8" 1992-11-28 23.32 "WSB" "@" "MIL" "L" -2 1 43 0.463 0.455 6.6 14.6 11.2 24.9 2.2 0 33.6 17.4 79 97 8.2 -3.2
"9" "9" 1992-12-01 23.33 "WSB" "" "SAS" "W" 13 1 40 0.6 0.6 2.9 7.8 5.5 58.1 2.3 1.4 16.7 18.5 129 104 25 10.8
"10" "10" 1992-12-03 23.33 "WSB" "" "MIL" "W" 18 1 30 0.51 0.5 0 7 4.2 43.2 5.9 0 25.4 21 101 85 12.2 4.2
"11" "11" 1992-12-05 23.34 "WSB" "" "IND" "L" -2 1 43 0.543 0.462 2.6 5.3 3.9 13 1.1 0 6 16 119 118 12.8 -1.6
