"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2015-10-27 24.21 "ATL" "" "DET" "L" -12 0 18.3 1.33 1.5 0 4.7 2.6 15.3 0 0 0 4.8 258 121 4.8 2.1
"2" "2" 2015-10-29 24.21 "ATL" "@" "NYK" "W" 11 0 21 0.765 0.8 5.9 4.8 5.3 0 0 0 14.5 14.4 124 109 4.7 -2.9
"3" "3" 2015-10-30 24.22 "ATL" "" "CHO" "W" 3 0 21.1833333333333 0.399 0 4.6 4.5 4.6 18.9 4.6 0 21 10 98 95 4.9 2.7
"4" "4" 2015-11-01 24.22 "ATL" "@" "CHO" "W" 2 0 9.1 0 0 0 11 5.7 28.5 0 0 25 20.1 26 108 -1.4 -16.2
"5" "5" 2015-11-03 24.23 "ATL" "@" "MIA" "W" 6 0 8.01666666666667 NA NA 0 0 0 0 0 0 NA 0 0 105 0 -6.2
"6" "6" 2015-11-04 24.23 "ATL" "" "BRK" "W" 14 0 1.61666666666667 0 0 0 0 0 0 0 0 0 29.8 0 110 -0.7 -38.5
"7" "7" 2015-11-06 24.24 "ATL" "@" "NOP" "W" 6 0 10.0166666666667 0 0 0 11.7 6.6 23.4 0 0 0 4.5 92 123 0.6 -5.7
"8" "" 2015-11-07 24.24 "ATL" "" "WAS" "W" 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "" 2015-11-09 24.24 "ATL" "" "MIN" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "" 2015-11-11 24.25 "ATL" "" "NOP" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "" 2015-11-13 24.25 "ATL" "@" "BOS" "L" -13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "" 2015-11-15 24.26 "ATL" "" "UTA" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "" 2015-11-17 24.27 "ATL" "@" "BRK" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "8" 2015-11-18 24.27 "ATL" "" "SAC" "W" 6 0 25.0666666666667 0.541 0.5 3.8 16.7 9.9 11.9 2 0 10.7 16.1 109 99 7 -1.3
"15" "9" 2015-11-21 24.28 "ATL" "@" "CLE" "L" -12 0 21.6333333333333 0 0 0 24 10 20.8 0 0 33.3 6.1 46 120 0.1 -9.8
"16" "10" 2015-11-24 24.28 "ATL" "" "BOS" "W" 24 0 22.9 0.85 0.9 0 26.8 16.5 16.2 2.1 0 14.5 13.1 142 95 9.6 8.1
"17" "11" 2015-11-25 24.29 "ATL" "@" "MIN" "L" -4 0 16.4333333333333 0.307 0.25 0 19.5 8.9 10.4 3.1 0 17 15.4 63 102 0.2 -10.9
"18" "12" 2015-11-27 24.29 "ATL" "@" "MEM" "W" 15 0 26.1833333333333 0.4 0.286 0 4.7 2.4 11.7 0 3.7 10.2 17.7 85 109 3.1 -7.6
"19" "13" 2015-11-28 24.3 "ATL" "@" "SAS" "L" -20 0 16.2166666666667 0.375 0.375 0 13.8 6.4 26.1 0 0 42.9 18.7 57 118 -0.5 -10.9
"20" "14" 2015-11-30 24.3 "ATL" "" "OKC" "W" 6 0 1.66666666666667 NA NA 0 0 0 73.8 0 0 NA 0 226 116 0.7 15.7
"21" "15" 2015-12-02 24.31 "ATL" "" "TOR" "L" -10 0 6.38333333333333 0 0 0 0 0 0 0 0 0 6.9 0 113 -1.1 -16.5
"22" "16" 2015-12-04 24.31 "ATL" "" "LAL" "W" 13 0 6.38333333333333 NA NA 0 0 0 0 0 0 100 7.5 0 112 -1.8 -21.8
"23" "17" 2015-12-09 24.33 "ATL" "@" "DAL" "W" 3 0 12.3666666666667 0 0 0 6.4 4 10 0 0 50 15.1 14 110 -3.2 -20.6
"24" "18" 2015-12-10 24.33 "ATL" "@" "OKC" "L" -13 0 3.81666666666667 NA NA 0 0 0 0 0 0 NA 0 0 126 0 -8.3
"25" "19" 2015-12-12 24.33 "ATL" "" "SAS" "L" -25 0 16.9333333333333 0.417 0.417 5.7 17.7 10.4 11.7 2.9 0 14.3 19.1 77 107 3.6 -0.6
"26" "20" 2015-12-14 24.34 "ATL" "" "MIA" "L" -12 0 7.83333333333333 0.5 0.5 0 13.6 6.7 22.8 0 0 0 11.7 111 111 2 0.5
"27" "21" 2015-12-16 24.35 "ATL" "" "PHI" "W" 21 0 12.5833333333333 0.5 0.5 0 25.4 13.4 28.3 0 0 0 15.2 124 115 4.3 -3.2
"28" "22" 2015-12-18 24.35 "ATL" "@" "BOS" "W" 8 0 5.2 NA NA 0 23.7 10.9 0 0 0 100 16.4 0 104 -1.7 -20.9
"29" "23" 2015-12-20 24.36 "ATL" "@" "ORL" "W" 3 0 12.9166666666667 NA NA 0 36.3 19.3 28.6 0 5.4 100 3.5 102 101 3 6.4
"30" "24" 2015-12-21 24.36 "ATL" "" "POR" "W" 9 0 11.5666666666667 0.333 0.333 0 0 0 12.6 0 0 0 12.5 78 111 0.6 -8.2
"31" "25" 2015-12-23 24.36 "ATL" "" "DET" "W" 7 0 9.98333333333333 0 0 0 42.7 21.9 0 0 0 0 4.3 0 93 -0.7 -12.2
"32" "26" 2015-12-26 24.37 "ATL" "" "NYK" "W" 19 0 15.7666666666667 0.875 0.875 0 23.4 11.6 16.1 0 0 0 11.6 176 107 7.3 5
"33" "27" 2015-12-28 24.38 "ATL" "@" "IND" "L" -6 0 10.6666666666667 0.833 0.833 0 9.6 5.4 0 4.7 0 40 21.4 82 94 2.2 0.5
