"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1979-10-23 22.1 "SAS" "" "BOS" "W" 9 0 1 NA NA NA NA NA NA NA NA NA NA NA NA -0.4 NA
"2" "2" 1979-10-30 22.12 "SAS" "@" "PHO" "L" -33 0 11 0.4 0.4 NA NA NA NA NA NA NA NA NA NA 2 NA
"3" "3" 1979-11-06 22.14 "SAS" "" "NJN" "W" 13 0 3 0 0 NA NA NA NA NA NA NA NA NA NA 0.2 NA
"4" "4" 1979-11-15 22.17 "SAS" "" "NYK" "W" 4 0 1 0 0 NA NA NA NA NA NA NA NA NA NA -1.4 NA
"5" "5" 1979-11-23 22.19 "SAS" "" "WSB" "W" 20 0 5 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1979-11-27 22.2 "SAS" "" "ATL" "L" -23 0 3 NA NA NA NA NA NA NA NA NA NA NA NA 0 NA
"7" "7" 1979-12-01 22.21 "SAS" "@" "DET" "L" -10 0 10 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1979-12-05 22.22 "SAS" "@" "PHI" "L" -12 0 28 0.666 0.625 NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1979-12-07 22.23 "SAS" "@" "MIL" "W" 12 0 3 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1979-12-08 22.23 "SAS" "" "HOU" "W" 9 0 13 0.667 0.667 NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1979-12-11 22.24 "SAS" "@" "DEN" "L" -6 0 9 NA NA NA NA NA NA NA NA NA NA NA NA -2.2 NA
"12" "12" 1979-12-13 22.24 "SAS" "@" "UTA" "L" -30 0 6 0.6 0.6 NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1979-12-19 22.26 "SAS" "" "IND" "W" 4 0 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1979-12-21 22.27 "SAS" "@" "BOS" "L" -19 0 11 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1979-12-22 22.27 "SAS" "" "DET" "W" 29 0 7 0.75 0.75 NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1979-12-26 22.28 "SAS" "@" "HOU" "L" -33 0 7 0.288 0 NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1980-01-01 22.3 "SAS" "@" "NYK" "L" -8 0 17 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
