"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1989-11-03 25.03 "POR" "" "SAC" "W" 18 0 10 0.5 0.5 12 42.7 28.2 13.1 0 0 36.4 41.2 71 92 1.1 -12
"2" "2" 1989-11-05 25.04 "POR" "" "MIN" "W" 10 0 6 0 0 0 0 0 26.7 8.9 0 0 15.9 26 86 0.3 -0.7
"3" "3" 1989-11-07 25.04 "POR" "@" "HOU" "L" -23 0 12 0.608 0.5 0 0 0 32 3.8 0 14.8 21.8 114 105 6 8.9
"4" "4" 1989-11-08 25.05 "POR" "@" "SAS" "W" 4 0 6 0.5 0.5 0 0 0 22.9 0 0 0 13.5 128 114 1.3 -0.8
"5" "5" 1989-11-14 25.06 "POR" "" "NYK" "W" 1 0 11 0.727 0.667 0 0 0 11.4 4.2 0 0 12.4 158 113 4.6 3.8
"6" "6" 1989-11-15 25.07 "POR" "@" "PHO" "L" -2 0 20 0.661 0.714 5.7 0 2.8 14.8 6.9 0 19.4 20.8 110 99 9.2 9.5
"7" "7" 1989-11-17 25.07 "POR" "" "PHO" "W" 1 0 17 0.5 0.5 0 20.7 9.7 19 0 0 20 21.6 91 104 3.1 -3.7
"8" "8" 1989-11-19 25.08 "POR" "" "SEA" "W" 10 0 3 0.647 0.5 0 0 0 0 0 0 0 58.8 144 107 3.8 15.5
"9" "9" 1989-11-21 25.08 "POR" "" "CHI" "W" 11 0 2 1 1 0 0 0 0 0 0 0 20.8 200 120 1.7 14.5
"10" "10" 1989-11-24 25.09 "POR" "" "NJN" "W" 26 0 6 1.064 1 0 22.2 11.8 57.1 0 0 34.7 20.8 151 105 3.9 5.5
"11" "11" 1989-11-26 25.1 "POR" "" "DET" "W" 20 0 2 0 0 0 0 0 0 0 0 50 39.6 0 98 -1.7 -46
"12" "12" 1989-11-28 25.1 "POR" "" "LAC" "W" 22 0 5 0.868 1 0 0 0 34.5 0 0 0 21.1 173 97 4.7 21.6
