"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1987-11-07 22.12 "CHI" "" "PHI" "W" 10 0 23 0.571 0.571 5.6 0 2.7 25.6 4.4 0 31.3 23.6 91 101 6.6 -0.1
"2" "2" 1987-11-10 22.13 "CHI" "@" "ATL" "W" 10 0 24 0.557 0.556 14 19.2 16.8 25.8 0 0 0 17.8 142 103 11.9 7.6
"3" "3" 1987-11-11 22.13 "CHI" "@" "NJN" "W" 9 0 23 0.571 0.571 0 13.6 8.2 32 6.3 2.4 22.2 16.9 108 87 9.6 10.7
"4" "4" 1987-11-13 22.13 "CHI" "" "NJN" "W" 18 0 29 0.593 0.5 0 12.1 5.8 10.8 5 0 13.7 21.6 110 86 12.1 1.4
"5" "5" 1987-11-14 22.14 "CHI" "" "IND" "L" -1 0 26 0.671 0.5 4.4 0 2.5 19.7 0 0 10.9 15.8 142 126 8.9 -0.3
"6" "6" 1987-11-17 22.15 "CHI" "" "WSB" "W" 4 0 21 0.385 0.385 12.4 0 6.4 7 7.3 3 13.3 30.6 83 96 5.5 -3.3
"7" "7" 1987-11-18 22.15 "CHI" "@" "WSB" "W" 2 0 22 0.287 0.3 9.3 16.5 13.1 0 7.1 0 27.7 27.6 49 77 0.6 -7.6
"8" "8" 1987-11-20 22.15 "CHI" "" "ATL" "W" 2 0 9 0 0 0 10.5 5.9 0 0 0 33.3 15.7 0 106 -2.5 -21.7
"9" "9" 1987-11-21 22.16 "CHI" "" "DET" "L" -12 0 17 0.75 0.75 7.4 9.2 8.2 7.3 7.8 0 33.3 14.3 99 110 5.1 0.9
"10" "10" 1987-11-23 22.16 "CHI" "@" "BOS" "W" 5 0 38 0.484 0.444 7.9 15.3 10.9 4.1 7.8 1.9 0 23.3 115 94 19.3 7.9
"11" "11" 1987-11-25 22.17 "CHI" "@" "MIL" "W" 2 0 25 0.602 0.636 8.5 14.4 11.3 13.4 0 4.9 6.3 26.2 121 104 14.4 9.9
"12" "12" 1987-11-27 22.17 "CHI" "@" "DAL" "L" -1 0 21 0.507 0.563 10.9 6 8.6 8.5 0 3 18.4 24.1 88 108 3.3 -4.5
"13" "13" 1987-11-28 22.18 "CHI" "@" "HOU" "W" 12 0 32 0.373 0.308 3.3 17.3 10.7 14.5 0 1.8 16.9 22.1 80 92 5 -4.2
"14" "14" 1987-12-01 22.18 "CHI" "@" "GSW" "W" 1 0 30 0.595 0.615 11.2 13.1 12.2 17 3.3 1.8 6.9 21.8 119 96 16.4 8.9
"15" "15" 1987-12-02 22.19 "CHI" "@" "UTA" "W" 4 0 25 0.463 0.455 8.5 19.2 13.6 23.7 1.9 0 20.2 25.2 88 103 7.1 -2.6
"16" "16" 1987-12-08 22.2 "CHI" "" "PHI" "L" -13 0 26 0.313 0.273 5 5.4 5.2 26 2 0 19 27.6 74 119 1.2 -11.8
"17" "17" 1987-12-10 22.21 "CHI" "" "MIL" "W" 6 0 24 0.518 0.4 10.5 8.9 9.6 31.6 4.3 2.6 12.9 15.2 124 108 10.2 5.4
"18" "18" 1987-12-12 22.21 "CHI" "" "HOU" "W" 9 0 23 0.615 0.625 0 4.9 2.6 12.8 4.2 0 29.1 26.2 84 105 6.1 -5.8
"19" "19" 1987-12-15 22.22 "CHI" "@" "DET" "L" -4 0 23 0.388 0.333 13.8 0 7.1 16.8 2.2 0 16.2 22.4 90 124 3.7 -6.5
