"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1983-02-08 24.88 "PHO" "" "DAL" "L" -12 0 3 NA NA NA NA NA NA NA NA NA NA NA NA -1 NA
"2" "2" 1983-02-16 24.9 "PHO" "@" "KCK" "W" 9 0 5 1 1 NA NA NA NA NA NA NA NA NA NA 0 NA
"3" "3" 1983-02-19 24.91 "PHO" "@" "DET" "L" -11 0 1 NA NA NA NA NA NA NA NA NA NA NA NA 0.6 NA
"4" "4" 1983-02-20 24.92 "PHO" "@" "CLE" "W" 22 0 4 0 0 NA NA NA NA NA NA NA NA NA NA -0.7 NA
"5" "5" 1983-02-22 24.92 "PHO" "" "MIL" "W" 7 0 2 1 1 NA NA 0 0 NA 31.6 0 NA NA NA 1.2 NA
"6" "6" 1983-02-24 24.93 "PHO" "@" "UTA" "W" 7 0 13 0.515 0.333 NA NA 0 8.9 NA 0 NA NA NA NA 1.4 NA
"7" "7" 1983-02-25 24.93 "PHO" "@" "SEA" "W" 5 0 10 0.521 0.5 NA NA NA NA NA NA NA NA NA NA 2.2 NA
"8" "8" 1983-02-26 24.93 "PHO" "" "BOS" "L" -2 0 2 0.532 0 NA NA NA NA NA NA NA NA NA NA 1.5 NA
"9" "9" 1983-03-02 24.94 "PHO" "" "SAS" "W" 4 0 3 0.532 0 NA NA NA NA NA NA NA NA NA NA 1.8 NA
"10" "10" 1983-03-04 24.95 "PHO" "" "GSW" "W" 7 0 5 NA NA NA NA 0 0 NA 0 NA NA NA NA -0.4 NA
"11" "11" 1983-03-08 24.96 "PHO" "@" "DAL" "L" -21 0 10 0.868 1 NA NA NA NA NA NA NA NA NA NA 9.9 NA
"12" "12" 1983-03-09 24.96 "PHO" "@" "SAS" "L" -3 0 8 1 1 NA NA NA NA NA NA NA NA NA NA 2.6 NA
"13" "13" 1983-03-12 24.97 "PHO" "@" "HOU" "W" 11 0 13 0.5 0.5 NA NA NA NA NA NA NA NA NA NA -1.5 NA
"14" "14" 1983-03-15 24.98 "PHO" "" "CHI" "W" 8 0 3 NA NA NA NA 0 0 NA 0 NA NA NA NA -2.4 NA
"15" "15" 1983-03-16 24.98 "PHO" "@" "LAL" "L" -9 0 9 0.5 0.5 NA NA 6.4 0 NA NA NA NA NA NA -1.7 NA
"16" "16" 1983-03-17 24.98 "PHO" "" "HOU" "W" 26 0 8 0.773 0.667 NA NA NA NA NA NA NA NA NA NA 4.9 NA
"17" "17" 1983-03-19 24.99 "PHO" "" "DAL" "W" 3 0 7 0.21 0.333 NA NA NA NA NA NA NA NA NA NA 1.4 NA
"18" "18" 1983-03-22 25 "PHO" "@" "DEN" "L" -13 0 6 1 1 NA NA NA NA NA NA NA NA NA NA 1.8 NA
"19" "19" 1983-03-24 25 "PHO" "" "KCK" "W" 17 0 13 0.129 0 NA NA NA NA NA NA NA NA NA NA -3.3 NA
"20" "20" 1983-03-26 25.01 "PHO" "" "DEN" "W" 14 0 14 1.099 1 NA NA NA NA NA NA NA NA NA NA 6.3 NA
"21" "21" 1983-03-29 25.02 "PHO" "" "UTA" "W" 8 0 3 0 0 NA NA 0 0 NA 0 NA NA NA NA -1.5 NA
"22" "22" 1983-03-31 25.02 "PHO" "" "POR" "W" 17 0 2 0.333 0.333 NA NA 22.6 0 NA 0 0 NA NA NA 1 NA
"23" "23" 1983-04-05 25.04 "PHO" "" "GSW" "W" 20 0 8 0.521 0.5 NA NA NA NA NA NA NA NA NA NA 1.5 NA
"24" "24" 1983-04-07 25.04 "PHO" "" "LAL" "L" -9 0 3 NA NA NA NA 0 0 NA NA NA NA NA NA -0.4 NA
"25" "25" 1983-04-08 25.04 "PHO" "@" "POR" "W" 1 0 4 0.532 0 NA NA 0 0 NA 0 51.5 NA NA NA -1.5 NA
"26" "26" 1983-04-10 25.05 "PHO" "@" "LAL" "W" 6 0 1 NA NA NA NA 0 0 NA NA NA NA NA NA 0 NA
"27" "27" 1983-04-15 25.06 "PHO" "@" "SDC" "W" 12 0 4 0.862 1 NA NA NA NA NA NA NA NA NA NA 3.2 NA
"28" "28" 1983-04-17 25.07 "PHO" "" "SDC" "W" 9 0 6 0 NA NA NA NA NA NA NA NA NA NA NA -1.2 NA
"1" "1" 1983-11-18 25.66 "PHO" "" "MIL" "L" -15 0 10 0.773 0.667 9.8 14.5 11.7 17.5 0 0 0 16.5 180 128 6 NA
"2" "2" 1983-11-19 25.66 "PHO" "@" "DAL" "L" -9 0 7 0.5 0.5 15.9 13.7 14.7 0 0 0 0 12.2 122 120 1.6 NA
"3" "3" 1983-11-22 25.67 "PHO" "@" "HOU" "L" -22 0 7 0 0 10.9 15.6 12.8 17.6 6.4 0 0 5.5 77 102 1.6 NA
"4" "4" 1983-11-23 25.67 "PHO" "" "NJN" "L" -2 0 15 0.266 0 16.8 17.3 17.1 0 0 0 0 5.1 106 108 1.1 NA
"5" "5" 1983-11-25 25.68 "PHO" "" "CHI" "W" 26 0 18 0.463 0.5 13.3 0 6.9 0 2.7 0 18.8 24.7 87 101 2.6 NA
"6" "6" 1983-11-30 25.69 "PHO" "" "KCK" "L" -2 0 5 NA NA 0 0 0 19.6 0 0 NA 0 200 122 0.7 NA
"7" "7" 1983-12-02 25.7 "PHO" "" "UTA" "L" -3 0 15 0.955 1 13.6 7.8 10.9 0 0 0 25.8 19.6 128 116 8.3 NA
"8" "8" 1983-12-04 25.7 "PHO" "@" "SAS" "W" 16 0 11 1 1 10.6 18.6 14.9 0 0 0 50 7.7 95 113 2 NA
"9" "9" 1983-12-06 25.71 "PHO" "@" "ATL" "L" -7 0 6 0.521 0.5 14.8 0 9 0 9 0 0 21.7 121 96 3.3 NA
"10" "10" 1983-12-08 25.71 "PHO" "" "NYK" "W" 23 0 15 0.735 0.667 0 32.8 17.3 24.2 0 0 38.7 23.2 98 104 4.4 NA
"11" "11" 1983-12-10 25.72 "PHO" "" "SDC" "W" 16 0 16 0.872 1 0 24.3 11.8 15.4 3.1 3.8 36.8 14.8 101 89 6.3 NA
"12" "12" 1983-12-13 25.73 "PHO" "@" "HOU" "L" -19 0 22 0.512 0.5 0 7.3 2.8 0 0 0 29.1 13.2 74 131 0.1 NA
"13" "13" 1983-12-15 25.73 "PHO" "" "LAL" "W" 10 0 9 0 0 14.4 0 6.9 0 0 6.8 50 17.6 18 108 -2.8 NA
"14" "14" 1983-12-17 25.74 "PHO" "" "KCK" "W" 20 0 17 0.521 0.333 26.9 18.8 22.7 7.8 0 3.4 18.8 23.3 107 89 7.5 NA
"15" "15" 1983-12-20 25.75 "PHO" "@" "GSW" "W" 4 0 11 1.025 1 0 34.2 16.8 11.7 0 0 0 9.1 210 98 5.5 NA
"16" "16" 1983-12-21 25.75 "PHO" "" "POR" "L" -4 0 26 0.934 1 5.3 17.3 11 23.8 0 0 9.4 18.2 171 122 16.9 NA
"17" "17" 1983-12-23 25.75 "PHO" "@" "SDC" "W" 6 0 15 1.031 1 0 17.3 10.5 9 0 4.3 56.3 27.4 76 125 2.5 NA
"18" "18" 1983-12-26 25.76 "PHO" "" "DEN" "W" 7 0 8 0.833 1 14.4 12.5 13.4 0 0 0 32.3 27.3 108 106 4.6 NA
"19" "19" 1983-12-28 25.77 "PHO" "" "GSW" "W" 23 0 21 0.962 1 5.7 34.3 20 11 0 0 22.8 16 142 95 12.2 NA
"20" "20" 1983-12-30 25.77 "PHO" "" "HOU" "W" 11 0 11 0.333 0.333 0 9.9 5.3 0 0 0 0 11.2 81 114 0.2 NA
"21" "21" 1984-01-03 25.78 "PHO" "@" "CHI" "L" -5 0 8 0.5 0.5 0 25.5 14.5 0 0 0 50 21.5 43 103 -0.8 NA
"22" "22" 1984-01-04 25.79 "PHO" "@" "DET" "L" -14 1 32 0.667 0.667 14.4 15 14.7 12.9 1.5 3.3 20 18.1 118 122 16.6 NA
"23" "23" 1984-01-06 25.79 "PHO" "@" "IND" "L" -16 1 30 0.507 0.5 10 29.1 19.1 0 0 1.8 0 13.2 110 100 9 NA
"24" "24" 1984-01-07 25.79 "PHO" "@" "KCK" "L" -2 1 18 NA NA 6.2 16.7 11.7 13.3 0 0 NA 0 199 104 0.6 NA
"25" "25" 1984-01-10 25.8 "PHO" "@" "UTA" "L" -9 0 8 0.41 0.5 10.7 12.2 11.4 18.2 0 0 0 11.6 109 107 1.9 NA
"26" "26" 1984-01-11 25.81 "PHO" "" "SDC" "W" 25 0 22 0.577 0.333 0 14.2 8.4 4.4 2.1 0 0 10.1 133 101 6.5 NA
"27" "27" 1984-01-13 25.81 "PHO" "@" "SEA" "L" -4 0 11 0 0 0 12.1 6.3 9.9 0 0 50 8.1 25 114 -0.7 NA
"28" "28" 1984-01-19 25.83 "PHO" "" "LAL" "W" 15 0 10 0.6 0.6 49.2 31 41.1 0 4.4 0 16.7 22.9 125 108 7.1 NA
"29" "29" 1984-01-21 25.83 "PHO" "" "SEA" "W" 29 0 18 0.658 0.5 0 11.6 6.9 5.4 0 0 15.8 14.5 121 105 4.5 NA
"30" "30" 1984-01-24 25.84 "PHO" "@" "LAL" "L" -6 0 13 0.5 0.5 6.8 9 7.8 0 0 0 33.3 8.9 77 122 0.6 NA
"31" "31" 1984-01-26 25.85 "PHO" "@" "SDC" "L" -18 0 2 0 0 0 0 0 0 0 0 0 21 0 123 -0.7 NA
"32" "32" 1984-02-01 25.86 "PHO" "" "POR" "W" 3 0 21 0.387 0.333 0 26.9 15.2 16.8 2.2 0 0 7.4 113 97 5 NA
"33" "33" 1984-02-02 25.87 "PHO" "@" "UTA" "L" -21 0 18 1 1 5.6 19.5 12 7.5 0 0 60 10.8 70 107 1.1 NA
"34" "34" 1984-02-04 25.87 "PHO" "@" "GSW" "L" -3 0 7 1.136 NA 14 15.9 14.9 0 0 0 0 5 239 106 3 NA
"35" "35" 1984-02-05 25.87 "PHO" "@" "POR" "L" -15 0 21 0.387 0.333 6.5 12.4 9.5 8 0 0 50.8 16.7 47 102 -3.1 NA
