"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "" 2015-10-28 25.99 "UTA" "@" "DET" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "1" 2015-10-30 25.99 "UTA" "@" "PHI" "W" 28 0 2.18333333333333 1 1 0 47.8 24.4 0 0 0 0 20.7 200 71 1.2 3.8
"3" "" 2015-10-31 25.99 "UTA" "@" "IND" "W" 21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "" 2015-11-04 26.01 "UTA" "" "POR" "L" -16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "2" 2015-11-05 26.01 "UTA" "@" "DEN" "W" 12 0 1.2 NA NA 0 0 0 0 0 0 NA 0 0 107 0 -5.7
"6" "" 2015-11-07 26.01 "UTA" "" "MEM" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "" 2015-11-10 26.02 "UTA" "@" "CLE" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "3" 2015-11-12 26.03 "UTA" "@" "MIA" "L" -1 0 0.266666666666667 NA NA 0 0 0 0 0 0 NA 0 0 108 0 -6
"9" "4" 2015-11-13 26.03 "UTA" "@" "ORL" "L" -9 0 9.5 0.333 0.333 0 0 0 0 0 10.3 25 17.7 49 112 -0.8 -15.2
"10" "" 2015-11-15 26.04 "UTA" "@" "ATL" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "" 2015-11-18 26.04 "UTA" "" "TOR" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "" 2015-11-20 26.05 "UTA" "@" "DAL" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "" 2015-11-23 26.06 "UTA" "" "OKC" "L" -22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "" 2015-11-25 26.06 "UTA" "@" "LAC" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "" 2015-11-28 26.07 "UTA" "" "NOP" "W" 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "" 2015-11-30 26.08 "UTA" "" "GSW" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "" 2015-12-03 26.08 "UTA" "" "ORL" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "" 2015-12-05 26.09 "UTA" "" "IND" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "" 2015-12-08 26.1 "UTA" "@" "SAC" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "" 2015-12-09 26.1 "UTA" "" "NYK" "W" 21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "" 2015-12-11 26.11 "UTA" "" "OKC" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "" 2015-12-13 26.11 "UTA" "@" "OKC" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "" 2015-12-14 26.12 "UTA" "@" "SAS" "L" -37 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "" 2015-12-16 26.12 "UTA" "" "NOP" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "" 2015-12-18 26.13 "UTA" "" "DEN" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "" 2015-12-21 26.13 "UTA" "" "PHO" "W" 21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "" 2015-12-23 26.14 "UTA" "@" "GSW" "L" -18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "" 2015-12-26 26.15 "UTA" "" "LAC" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "" 2015-12-28 26.15 "UTA" "" "PHI" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "" 2015-12-30 26.16 "UTA" "@" "MIN" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "5" 2015-12-31 26.16 "UTA" "" "POR" "W" 13 0 2.05 0 0 0 0 0 0 0 0 50 48.9 0 124 -2.1 -71.8
"32" "6" 2016-01-02 26.17 "UTA" "" "MEM" "W" 5 0 17.1333333333333 0.75 0.75 7.5 32.9 21.1 14.2 0 0 33.3 18 100 91 3.3 -2.4
"33" "7" 2016-01-04 26.17 "UTA" "" "HOU" "L" -2 0 12.6 0.25 0.25 26.6 21.8 24.4 0 0 0 20 18.9 73 115 0.5 -15.6
"34" "8" 2016-01-06 26.18 "UTA" "@" "SAS" "L" -25 0 24.0833333333333 0.508 0.429 10 0 5.5 6.4 2.1 0 0 15 123 132 5.8 -4.6
