"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1952-11-01 23.02 "NYK" "" "BLB" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1952-11-08 23.04 "NYK" "@" "BLB" "W" 30 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1952-11-11 23.04 "NYK" "@" "ROC" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1952-12-11 23.13 "PHW" "" "ROC" "W" 12 NA NA 0.962 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1952-12-13 23.13 "PHW" "@" "BOS" "L" -4 NA 9 0.667 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1952-12-14 23.13 "PHW" "@" "SYR" "L" -19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1952-12-16 23.14 "PHW" "" "FTW" "L" -31 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1952-12-18 23.15 "PHW" "" "FTW" "L" -7 NA NA 0.595 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1952-12-21 23.15 "PHW" "@" "FTW" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1952-12-25 23.16 "PHW" "" "ROC" "L" -15 NA NA 0.436 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1952-12-28 23.17 "PHW" "@" "NYK" "L" -18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1953-01-03 23.19 "PHW" "@" "BLB" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1953-01-04 23.19 "PHW" "@" "FTW" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1953-01-06 23.2 "PHW" "@" "INO" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1953-01-07 23.2 "PHW" "" "BOS" "L" -2 NA NA 0.539 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1953-01-10 23.21 "PHW" "" "SYR" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1953-01-11 23.21 "PHW" "@" "SYR" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1953-01-17 23.23 "PHW" "@" "NYK" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1953-01-18 23.23 "PHW" "" "INO" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
