"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1971-10-26 23.15 "CHI" "@" "POR" "W" 12 0 8 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1971-10-29 23.16 "CHI" "" "GSW" "L" -16 0 7 0.2 0.2 NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1971-11-02 23.17 "CHI" "" "PHO" "W" 7 0 14 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1971-11-03 23.18 "CHI" "@" "ATL" "W" 13 0 19 0.707 0.571 NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1971-11-05 23.18 "CHI" "" "MIL" "L" -2 0 7 0.102 0 NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1971-11-06 23.18 "CHI" "@" "BUF" "L" -31 0 15 0.387 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1971-11-09 23.19 "CHI" "" "LAL" "L" -13 0 18 0.524 0.545 NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1971-11-10 23.19 "CHI" "@" "BAL" "W" 19 0 9 0.258 0 NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1971-11-13 23.2 "CHI" "" "HOU" "W" 9 0 11 0.45 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1971-11-16 23.21 "CHI" "" "SEA" "W" 8 0 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1971-11-19 23.22 "CHI" "@" "PHI" "W" 44 0 18 0.626 0.6 NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1971-11-20 23.22 "CHI" "" "BOS" "W" 17 0 2 1 1 NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1971-11-23 23.23 "CHI" "" "POR" "W" 36 0 25 0.455 0.455 NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1971-11-26 23.24 "CHI" "" "GSW" "W" 32 0 12 0.571 0.571 NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1971-11-27 23.24 "CHI" "@" "NYK" "L" -1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1971-11-30 23.25 "CHI" "" "ATL" "W" 1 0 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1971-12-03 23.26 "CHI" "" "NYK" "W" 26 0 9 0.129 0 NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1971-12-07 23.27 "CHI" "" "CLE" "W" 16 0 2 1.136 NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1971-12-09 23.27 "CHI" "@" "DET" "L" -3 0 7 0.4 0.4 NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1971-12-11 23.28 "CHI" "@" "BOS" "W" 16 0 6 0.258 0 NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1971-12-14 23.29 "CHI" "" "BOS" "L" -8 0 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1971-12-17 23.3 "CHI" "" "HOU" "L" -11 0 4 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1971-12-19 23.3 "CHI" "@" "CLE" "W" 18 0 4 0.205 0 NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1971-12-21 23.31 "CHI" "" "DET" "W" 35 0 15 0.788 0.75 NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1971-12-23 23.31 "CHI" "@" "PHO" "W" 9 0 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1971-12-25 23.32 "CHI" "@" "POR" "W" 21 0 13 0.727 0.667 NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1971-12-26 23.32 "CHI" "@" "SEA" "W" 1 0 5 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1971-12-30 23.33 "CHI" "" "POR" "W" 25 0 23 0.356 0.294 NA NA NA NA NA NA NA NA NA NA NA NA
