"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2019-10-23 19.47 "CLE" "@" "ORL" "L" -9 0 17.1666666666667 0 0 0 5.5 2.8 16.9 2.8 0 0 15.2 19 95 -2.3 -13.1
"2" "2" 2019-10-26 19.48 "CLE" "" "IND" "W" 11 0 20.4166666666667 0.5 0.5 0 0 0 14.3 0 8 33.3 19.1 75 102 1.2 -8.3
"3" "3" 2019-10-28 19.48 "CLE" "@" "MIL" "L" -17 0 16.4333333333333 0.254 0.143 11.2 12.7 11.9 0 0 5.4 0 19.8 73 121 1.4 -10.1
"4" "4" 2019-10-30 19.49 "CLE" "" "CHI" "W" 6 0 20.2833333333333 0.781 0.625 7.2 15.4 12 13.1 0 4.6 14.8 14.7 152 118 8.9 4.1
"5" "5" 2019-11-01 19.5 "CLE" "@" "IND" "L" -7 0 13.9166666666667 0.868 0.75 0 25.1 13.4 0 0 0 51 17.8 76 97 1 -9.6
"6" "6" 2019-11-03 19.5 "CLE" "" "DAL" "L" -20 0 19.65 0.474 0.438 0 6.1 2.7 15.4 0 0 10.6 20.1 96 139 3.1 -11
"7" "" 2019-11-05 19.51 "CLE" "" "BOS" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "7" 2019-11-08 19.52 "CLE" "@" "WAS" "W" 13 0 21.1 0.528 0.455 0 14.2 7.2 0 2.4 0 7.5 26.4 110 104 7.8 -3.4
"9" "8" 2019-11-10 19.52 "CLE" "@" "NYK" "W" 21 0 22.9666666666667 0.375 0.375 4.8 11.8 8.6 0 2.1 0 0 15.2 85 90 3.8 -5.8
"10" "9" 2019-11-12 19.53 "CLE" "@" "PHI" "L" -1 0 16.3333333333333 0.694 0.5 0 12.5 6.5 8.4 0 0 0 7.9 156 107 3.9 -0.7
"11" "10" 2019-11-14 19.53 "CLE" "" "MIA" "L" -11 0 23.7666666666667 0.643 0.643 0 17.8 7.4 28.9 6.2 0 30 18 98 103 7.8 3.6
"12" "11" 2019-11-17 19.54 "CLE" "" "PHI" "L" -19 0 16.2666666666667 0.167 0.167 5.8 25.3 13.7 19 3 0 0 15.5 60 113 0.6 -10
"13" "12" 2019-11-18 19.54 "CLE" "@" "NYK" "L" -18 1 31.3666666666667 0.62 0.682 0 12.2 7 11.4 1.6 0 17.1 24.8 106 125 9.7 -2.9
"14" "13" 2019-11-20 19.55 "CLE" "@" "MIA" "L" -24 0 22.9666666666667 0.583 0.583 0 5.8 2.7 20.4 4.2 0 25 14.8 99 122 4.8 -2.9
"15" "14" 2019-11-22 19.55 "CLE" "@" "DAL" "L" -42 0 21.8833333333333 0.477 0.444 0 18.3 7.9 15.5 2.3 0 0 20 104 147 6.8 -6.1
"16" "15" 2019-11-23 19.56 "CLE" "" "POR" "W" 6 0 22.5833333333333 0.333 0.333 0 17.4 9.4 6.1 0 0 40 9.3 49 110 -0.6 -12.8
"17" "16" 2019-11-25 19.56 "CLE" "" "BRK" "L" -2 0 29.0166666666667 0.425 0.4 3.4 14.7 8.9 31.6 3.5 0 14.5 10.1 116 110 8.5 0.4
"18" "17" 2019-11-27 19.57 "CLE" "" "ORL" "L" -12 0 18.7333333333333 0.375 0.375 0 23.8 12.3 35 2.5 0 20 22.1 84 109 3.4 -5.7
"19" "18" 2019-11-29 19.57 "CLE" "" "MIL" "L" -9 0 12.9 0 0 0 25.4 12.7 0 0 0 50 14 0 122 -3.3 -24.2
"20" "19" 2019-12-03 19.58 "CLE" "" "DET" "L" -33 0 21.5666666666667 0.545 0.545 9.3 29.3 18.1 8.3 0 0 8.3 24.5 111 135 8.9 -0.8
"21" "20" 2019-12-06 19.59 "CLE" "" "ORL" "L" -6 0 20.3 0.75 0.75 0 21 10.7 10.2 2.5 0 20 22.9 108 98 8.5 3.9
"22" "21" 2019-12-07 19.59 "CLE" "@" "PHI" "L" -47 0 27.0666666666667 0.595 0.5 0 20.9 8.2 21.9 1.7 0 46 16 74 137 3.1 -8.8
"23" "22" 2019-12-09 19.6 "CLE" "@" "BOS" "L" -22 0 23.7 0.483 0.5 0 12.7 4.8 14.5 6.4 4 24.4 21.3 80 102 6.1 1.5
"24" "23" 2019-12-11 19.61 "CLE" "" "HOU" "L" -6 0 28.95 0.8 0.8 0 8.7 4.6 16 5.3 0 11.8 26.2 136 119 20.4 15
"25" "24" 2019-12-12 19.61 "CLE" "@" "SAS" "W" 8 0 15.5333333333333 0.417 0.417 0 16.6 7.9 18.4 3.2 0 14.3 19.4 88 99 3.2 -0.9
"26" "25" 2019-12-14 19.61 "CLE" "@" "MIL" "L" -17 0 25 0.599 0.5 0 0 0 11.5 1.9 0 7.4 22.7 123 129 9.3 -3.1
"27" "26" 2019-12-16 19.62 "CLE" "@" "TOR" "L" -20 0 23.35 0.571 0.5 0 5.7 2.6 21.7 0 0 11.3 17 118 142 5.8 -7.1
"28" "27" 2019-12-18 19.62 "CLE" "" "CHO" "W" 2 0 15.8166666666667 0.583 0.583 20.2 0 7.3 9.8 0 0 14.3 20.3 117 118 3.9 -4.6
"29" "28" 2019-12-20 19.63 "CLE" "" "MEM" "W" 7 0 22.8833333333333 0.5 0.5 0 19.4 9.9 0 2.1 0 22.2 16.3 75 107 2.6 -10.7
"30" "29" 2019-12-23 19.64 "CLE" "" "ATL" "W" 3 0 23.2666666666667 0.75 0.75 0 45.3 23.2 5.8 3.6 0 33.3 24.9 95 98 10 -0.7
"31" "30" 2019-12-27 19.65 "CLE" "@" "BOS" "L" -12 0 25.2 0.714 0.611 0 13 7.1 22.1 0 0 15.2 23.1 131 133 12.2 0
