"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "" 2019-10-23 21.32 "DEN" "@" "POR" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "" 2019-10-25 21.32 "DEN" "" "PHO" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "" 2019-10-28 21.33 "DEN" "@" "SAC" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "" 2019-10-29 21.33 "DEN" "" "DAL" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "1" 2019-10-31 21.34 "DEN" "@" "NOP" "L" -15 0 20.8666666666667 0.705 0.688 5.8 21.6 12.8 7.3 0 0 8.6 24.3 130 122 11.1 3.6
"6" "2" 2019-11-02 21.35 "DEN" "@" "ORL" "W" 4 0 7.43333333333333 0.521 0.5 14.7 44 29.4 0 0 0 25.8 24.3 87 90 2.2 -4.2
"7" "3" 2019-11-05 21.35 "DEN" "" "MIA" "W" 20 0 3.21666666666667 1 1 37.3 0 16.4 0 0 0 0 26.6 204 101 3.7 18
"8" "4" 2019-11-08 21.36 "DEN" "" "PHI" "W" 3 0 8.01666666666667 0.5 0.5 0 0 0 0 0 0 0 11.5 94 113 1 -9.5
"9" "5" 2019-11-10 21.37 "DEN" "@" "MIN" "W" 2 0 9.05 0.5 0.5 33.8 10.1 21.3 0 0 0 16.7 27.3 96 97 3.3 -0.4
"10" "6" 2019-11-12 21.37 "DEN" "" "ATL" "L" -4 0 6.66666666666667 0.5 0.5 0 20.6 8.5 0 0 0 0 12.3 104 130 0.9 -12.7
"11" "7" 2019-11-14 21.38 "DEN" "" "BRK" "W" 8 0 3.66666666666667 0 0 22.6 0 11.6 0 0 0 0 23.3 35 101 -0.7 -22.9
"12" "8" 2019-11-17 21.39 "DEN" "@" "MEM" "W" 17 0 13.2333333333333 0 0 0 25.9 13 14.8 0 15.1 33.3 19.6 25 108 -2.7 -21.7
"13" "" 2019-11-20 21.39 "DEN" "" "HOU" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "9" 2019-11-22 21.4 "DEN" "" "BOS" "W" 4 0 10.0666666666667 0.4 0.4 10.4 45.4 27.1 0 0 8.8 16.7 25.8 74 88 1.7 -8.9
"15" "10" 2019-11-24 21.41 "DEN" "" "PHO" "W" 12 0 7.85 0.5 0.5 0 0 0 16.6 0 0 0 11 134 120 1.3 -3.4
"16" "" 2019-11-26 21.41 "DEN" "" "WAS" "W" 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "" 2019-11-30 21.42 "DEN" "@" "SAC" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "" 2019-12-03 21.43 "DEN" "" "LAL" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "11" 2019-12-05 21.44 "DEN" "@" "NYK" "W" 37 0 5.26666666666667 0.75 0.75 0 62.1 33.8 29.6 0 0 33.3 50.7 88 91 3.2 3
"20" "12" 2019-12-06 21.44 "DEN" "@" "BOS" "L" -13 0 7.95 0.643 0.643 26.8 18.3 23.2 0 0 0 0 37.5 132 117 7.4 19.4
"21" "" 2019-12-08 21.44 "DEN" "@" "BRK" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "13" 2019-12-10 21.45 "DEN" "@" "PHI" "L" -5 0 13.7 0.381 0.286 16.7 31.1 24.2 0 0 0 0 26.7 90 103 3.7 -10.6
"23" "14" 2019-12-12 21.45 "DEN" "" "POR" "W" 15 0 9.98333333333333 0.75 0.75 0 12 5.8 0 0 0 42.9 31.6 71 116 1.3 -9.2
"24" "15" 2019-12-14 21.46 "DEN" "" "OKC" "W" 8 0 4.38333333333333 0 0 0 0 0 0 0 18.9 0 19.9 0 95 -1.1 -19.7
"25" "16" 2019-12-15 21.46 "DEN" "" "NYK" "W" 6 0 10.9333333333333 0.533 0.5 35.1 39 37 33.2 0 7.1 10.6 37.2 123 104 10.1 11.7
"26" "17" 2019-12-18 21.47 "DEN" "" "ORL" "W" 9 0 8.81666666666667 0.667 0.667 0 35.5 18.8 0 5.6 9.4 0 14.6 133 87 4.9 8.5
"27" "18" 2019-12-20 21.48 "DEN" "" "MIN" "W" 9 0 10.4 0.167 0.167 11.5 36.9 25.6 11.7 0 0 0 25.3 60 99 0.4 -16.4
"28" "19" 2019-12-22 21.48 "DEN" "@" "LAL" "W" 24 0 5.1 0.5 0.5 0 20.9 10.6 0 0 17.4 0 16.6 110 106 1.2 -7.8
