"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1986-11-05 22.72 "CLE" "@" "UTA" "L" -16 0 15 0.667 0.667 7 22.9 15.7 52.5 0 0 14.3 17.5 128 101 7.5 7.3
"2" "2" 1986-11-07 22.73 "CLE" "@" "GSW" "W" 1 0 22 0.475 0.45 0 10.4 4.9 45.9 2.1 0 7.3 24.8 110 113 10.1 2.5
"3" "3" 1986-11-08 22.73 "CLE" "@" "LAC" "W" 7 0 15 0.667 0.667 0 17.5 10.7 29.8 0 0 0 17.7 144 94 7.2 4.1
"4" "4" 1986-11-11 22.74 "CLE" "@" "SAC" "L" -5 0 22 0.276 0.2 0 0 0 35.6 0 0 26.9 13.8 74 124 1.7 -10.3
"5" "5" 1986-11-13 22.74 "CLE" "@" "SAS" "L" -13 0 12 0 0 9.8 7.7 8.6 21.6 0 0 25 13.4 39 114 -1.5 -13.5
"6" "6" 1986-11-15 22.75 "CLE" "@" "DAL" "L" -15 0 18 1.127 1.125 0 0 0 36.4 0 0 17 12.5 179 112 10.8 9.5
"7" "7" 1986-11-16 22.75 "CLE" "@" "HOU" "L" -28 0 18 0.25 0.25 6.1 5.6 5.8 19.4 2.3 0 50 16.3 46 118 -1.1 -13.7
"8" "8" 1986-11-19 22.76 "CLE" "" "GSW" "L" -8 0 18 0.125 0.125 0 0 0 33.9 0 0 33.3 24 40 120 -4.5 -22.2
"9" "9" 1986-11-20 22.76 "CLE" "@" "ATL" "L" -19 0 23 0.336 0.286 3.9 0 2 6 0 0 11.8 14.9 76 115 0.9 -8.3
"10" "10" 1986-11-22 22.77 "CLE" "@" "DET" "L" -9 0 9 0 0 0 0 0 13.7 0 0 33.3 13.9 15 108 -2.1 -21.6
"11" "11" 1986-11-26 22.78 "CLE" "" "POR" "W" 4 0 14 0.625 0.625 25.1 0 12.7 32.5 3.3 0 0 11.5 161 112 8.1 11.3
"12" "12" 1986-11-29 22.79 "CLE" "@" "NYK" "W" 2 0 18 0.571 0.571 9.9 5.7 7.9 43.8 2.8 0 22.2 21.1 105 97 7.8 4.6
"13" "13" 1986-12-02 22.79 "CLE" "" "SAS" "W" 10 0 21 0.619 0.563 5.7 4.5 5 19.1 2.2 0 18.4 19.5 118 104 7.9 -1
"14" "14" 1986-12-04 22.8 "CLE" "" "DET" "W" 8 0 8 0.41 0.25 0 12.5 6.2 16.7 0 0 29.1 32.2 70 104 0.6 -12.9
