"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1954-01-30 23.01 "BLB" "" "PHW" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1954-02-03 23.02 "BLB" "" "MLH" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1954-02-04 23.02 "BLB" "" "MNL" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1954-02-06 23.03 "BLB" "@" "NYK" "L" -15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1954-02-07 23.03 "BLB" "" "ROC" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1954-02-10 23.04 "BLB" "" "PHW" "L" -18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1954-02-11 23.04 "BLB" "@" "MNL" "L" -28 NA NA 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1954-02-12 23.04 "BLB" "" "PHW" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1954-02-13 23.05 "BLB" "" "BOS" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1954-02-14 23.05 "BLB" "@" "SYR" "L" -20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1954-02-17 23.06 "BLB" "" "NYK" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1954-02-21 23.07 "BLB" "" "NYK" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1954-02-24 23.08 "BLB" "" "ROC" "L" -15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1954-02-25 23.08 "BLB" "" "ROC" "L" -16 NA NA 0.266 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1954-02-27 23.08 "BLB" "" "MNL" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1954-03-04 23.1 "BLB" "" "MLH" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1954-03-06 23.1 "BLB" "" "FTW" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1954-03-10 23.12 "BLB" "" "SYR" "L" -8 NA 7 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1954-03-13 23.12 "BLB" "@" "BOS" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1954-03-14 23.13 "BLB" "@" "FTW" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
