"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1978-10-15 23.5 "KCK" "@" "SEA" "L" -10 0 25 0.583 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1978-10-17 23.51 "KCK" "@" "POR" "L" -3 0 14 0.514 NA NA NA NA NA NA NA NA NA NA NA 5.4 NA
"3" "3" 1978-10-19 23.51 "KCK" "" "HOU" "W" 5 0 22 0.4 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1978-10-21 23.52 "KCK" "" "MIL" "L" -4 0 21 0.497 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1978-10-24 23.53 "KCK" "@" "CHI" "W" 6 0 13 0.429 NA NA NA NA NA NA NA NA NA NA NA 2.9 NA
"6" "6" 1978-10-25 23.53 "KCK" "" "NOJ" "W" 5 0 17 0.36 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1978-10-27 23.53 "KCK" "@" "DET" "L" -5 0 15 0.631 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1978-10-28 23.54 "KCK" "" "PHO" "W" 10 0 17 0.4 NA NA NA NA NA NA NA NA NA NA NA 1.6 NA
"9" "9" 1978-10-31 23.55 "KCK" "@" "MIL" "L" -2 0 17 0.276 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1978-11-01 23.55 "KCK" "" "CLE" "W" 15 0 9 0.333 NA NA NA NA NA NA NA NA NA NA NA 4 NA
"11" "11" 1978-11-03 23.55 "KCK" "@" "IND" "L" -7 0 18 0.375 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1978-11-04 23.56 "KCK" "" "DEN" "W" 2 0 13 0.333 NA NA NA NA NA NA NA NA NA NA NA 3 NA
"13" "13" 1978-11-08 23.57 "KCK" "@" "GSW" "W" 8 0 18 0.432 NA NA NA NA NA NA NA NA NA NA NA 9.6 NA
"14" "14" 1978-11-10 23.57 "KCK" "@" "LAL" "L" -9 0 13 0.654 NA NA NA NA NA NA NA NA NA NA NA 7.6 NA
"15" "15" 1978-11-11 23.58 "KCK" "@" "DEN" "W" 4 1 17 0.509 NA NA NA NA NA NA NA NA NA NA NA 4.5 NA
"16" "16" 1978-11-15 23.59 "KCK" "" "ATL" "W" 9 0 12 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1978-11-18 23.59 "KCK" "" "NJN" "W" 14 0 20 0.558 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1978-11-22 23.61 "KCK" "" "POR" "W" 19 0 4 0 NA NA NA NA NA NA NA NA NA NA NA -1.8 NA
"19" "19" 1978-11-25 23.61 "KCK" "" "SDC" "L" -1 0 13 0.6 NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1978-11-30 23.63 "KCK" "" "BOS" "W" 14 0 25 0.692 NA NA NA NA NA NA NA NA NA NA NA 15.1 NA
"21" "21" 1978-12-02 23.63 "KCK" "@" "WSB" "W" 1 0 8 0.381 NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1978-12-05 23.64 "KCK" "@" "NYK" "W" 13 0 11 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1978-12-06 23.64 "KCK" "" "PHI" "L" -8 0 17 0.571 NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1978-12-09 23.65 "KCK" "" "DET" "W" 24 0 9 0.532 NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1978-12-13 23.66 "KCK" "@" "PHI" "L" -20 0 19 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1978-12-15 23.67 "KCK" "@" "BOS" "W" 4 0 9 0.5 NA NA NA NA NA NA NA NA NA NA NA 2.1 NA
"27" "27" 1978-12-16 23.67 "KCK" "" "NOJ" "W" 28 0 17 0.4 NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1978-12-20 23.68 "KCK" "" "SEA" "W" 19 0 24 0.51 NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1978-12-22 23.69 "KCK" "@" "PHO" "L" -20 0 20 0.461 NA NA NA NA NA NA NA NA NA NA NA 8.5 NA
"30" "30" 1978-12-23 23.69 "KCK" "@" "MIL" "W" 5 0 12 0.635 NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1978-12-26 23.7 "KCK" "" "HOU" "L" -7 0 8 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1978-12-27 23.7 "KCK" "" "BOS" "L" -9 0 10 0 NA NA NA NA NA NA NA NA NA NA NA -2.1 NA
"33" "33" 1978-12-29 23.71 "KCK" "@" "NJN" "W" 11 0 10 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "34" 1978-12-30 23.71 "KCK" "@" "NYK" "L" -4 0 14 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "35" 1979-01-02 23.72 "KCK" "" "DEN" "L" -2 0 15 0.51 NA NA NA NA NA NA NA NA NA NA NA 4.6 NA
"36" "36" 1979-01-03 23.72 "KCK" "@" "DEN" "W" 7 0 20 0.615 NA NA NA NA NA NA NA NA NA NA NA -2 NA
"37" "37" 1979-01-04 23.72 "KCK" "" "SDC" "W" 9 0 27 0.472 NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "38" 1979-01-06 23.73 "KCK" "" "IND" "W" 21 0 25 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "39" 1979-01-09 23.74 "KCK" "@" "HOU" "L" -16 0 16 0.417 NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "40" 1979-01-11 23.74 "KCK" "" "GSW" "W" 5 0 9 0.25 NA NA NA NA NA NA NA NA NA NA NA -2.1 NA
"41" "41" 1979-01-14 23.75 "KCK" "" "NYK" "W" 20 0 18 0.375 NA NA NA NA NA NA NA NA NA NA NA NA NA
