"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2004-11-23 22.85 "BOS" "@" "IND" "L" -10 0 1 0 0 0 0 0 0 0 0 0 47.3 0 130 -0.7 -50.2
"2" "" 2004-11-23 22.85 "BOS" "@" "IND" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "2" 2004-11-24 22.86 "BOS" "@" "PHI" "L" -13 0 0.466666666666667 NA NA 0 0 0 0 0 0 NA 0 0 125 0 -7.8
"4" "" 2004-12-15 22.92 "BOS" "" "DEN" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "3" 2004-12-17 22.92 "BOS" "" "UTA" "W" 8 0 1.03333333333333 1.136 NA 0 0 0 0 0 0 0 39.8 250 119 2 37.2
"6" "" 2004-12-18 22.92 "BOS" "@" "CLE" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "4" 2004-12-21 22.93 "BOS" "@" "MIA" "L" -8 0 0.5 NA NA 0 0 0 0 0 0 NA 0 0 126 0 -6.5
"8" "" 2004-12-22 22.93 "BOS" "" "NYK" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "5" 2004-12-26 22.95 "BOS" "@" "SAS" "L" -17 0 2.05 NA NA 0 0 0 0 0 0 NA 0 0 129 0 -7.9
"10" "6" 2004-12-28 22.95 "BOS" "@" "DAL" "L" -19 0 6.85 0.725 1 0 20.2 8.7 47.1 0 0 26.6 22.4 118 113 3.6 8.9
"11" "7" 2004-12-29 22.95 "BOS" "@" "MEM" "L" -8 0 0.0833333333333333 NA NA 0 0 0 0 0 0 NA 0 0 136 0 -6.5
"12" "" 2005-01-28 23.03 "BOS" "" "PHO" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "8" 2005-01-28 23.03 "BOS" "" "PHO" "L" -9 0 3 NA NA 0 47.1 22.9 0 0 0 NA 0 0 125 0.3 -6.5
"14" "" 2005-01-29 23.04 "BOS" "@" "CHI" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "9" 2005-02-08 23.06 "BOS" "@" "MIL" "L" -24 0 15 0.793 0.667 0 9.1 4.4 38.1 3.4 0 10.9 27.9 151 126 11.6 12
"16" "" 2005-02-08 23.06 "BOS" "@" "MIL" "L" -24 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "" 2005-02-09 23.07 "BOS" "" "LAC" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "10" 2005-02-11 23.07 "BOS" "" "NYK" "W" 17 0 1.75 NA NA 70.6 0 31.2 0 0 0 NA 0 219 111 0.7 6.6
"19" "" 2005-02-13 23.08 "BOS" "" "SAC" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "" 2005-02-22 23.1 "BOS" "@" "LAL" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "11" 2005-03-02 23.12 "BOS" "" "LAL" "W" 3 0 9.83333333333333 0.667 0.667 10 11.4 10.7 0 0 7.5 0 13 140 108 4 3.6
"22" "12" 2005-03-04 23.13 "BOS" "" "CHA" "W" 20 0 15.8666666666667 0.286 0.286 6.4 12.8 9.6 9.1 0 0 12.5 20.9 70 94 0.5 -11.3
"23" "13" 2005-03-06 23.13 "BOS" "" "MIN" "L" -2 0 4.86666666666667 1 1 28.2 0 14.3 28.7 0 0 0 10.1 204 124 2.7 11
"24" "14" 2005-03-09 23.14 "BOS" "" "ATL" "W" 4 0 0.0666666666666667 NA NA 0 0 0 0 0 0 NA 0 0 110 0 -8.1
"25" "" 2005-03-11 23.15 "BOS" "" "DET" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "" 2005-03-13 23.15 "BOS" "" "WAS" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "15" 2005-03-14 23.16 "BOS" "@" "CHA" "W" 9 0 1.3 NA NA 0 0 0 0 0 0 NA 0 0 126 0 -5.7
"28" "" 2005-03-16 23.16 "BOS" "" "TOR" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "" 2005-03-18 23.17 "BOS" "@" "HOU" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "16" 2005-03-19 23.17 "BOS" "@" "NOH" "W" 13 0 2.3 NA NA 0 0 0 0 0 0 NA 0 0 116 0 -6.1
"31" "17" 2005-03-23 23.18 "BOS" "@" "NYK" "L" -25 0 5.73333333333333 0.266 0 16.7 23.5 19.5 0 0 0 34.7 20.9 51 124 -0.1 -16.4
"32" "18" 2005-03-25 23.19 "BOS" "" "CHI" "L" -8 0 0.383333333333333 NA NA 0 0 0 0 0 0 NA 0 0 112 0 -7
"33" "" 2005-03-26 23.19 "BOS" "@" "DET" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "" 2005-03-30 23.2 "BOS" "" "DAL" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "19" 2005-04-01 23.21 "BOS" "@" "ATL" "W" 16 0 6.25 1 1 25 0 10.1 0 0 0 0 7.9 203 121 2 -1.4
"36" "" 2005-04-03 23.21 "BOS" "" "PHI" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "" 2005-04-05 23.22 "BOS" "@" "WAS" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "" 2005-04-06 23.22 "BOS" "" "MIL" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "20" 2005-04-09 23.23 "BOS" "@" "NJN" "L" -13 0 5.28333333333333 1 1 0 0 0 0 0 0 0 9.1 200 112 1.7 2.7
"40" "" 2005-04-12 23.24 "BOS" "@" "PHI" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "21" 2005-04-13 23.24 "BOS" "@" "MIL" "W" 3 0 0.416666666666667 NA NA 0 0 0 0 0 0 NA 0 0 135 0 -6.7
"42" "" 2005-04-15 23.24 "BOS" "" "MIA" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"43" "" 2005-04-17 23.25 "BOS" "@" "TOR" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "22" 2005-04-19 23.25 "BOS" "@" "CLE" "L" -14 0 10.6666666666667 0 0 10.6 11.8 11.2 13.2 5 0 0 4.3 83 108 1.2 -2.3
"45" "23" 2005-04-20 23.26 "BOS" "" "NJN" "L" -9 0 21.25 0.509 0.5 5.9 0 2.7 16.2 2.6 0 12.7 17.7 105 120 4.5 -3.2
"1" "1" 2005-11-02 23.79 "BOS" "" "NYK" "W" 14 0 8.78333333333333 0 0 0 0 0 0 0 0 0 9.6 0 104 -1.8 -19.4
"2" "2" 2005-11-04 23.8 "BOS" "" "DET" "L" -1 0 15.8333333333333 0.42 0 13.5 0 7.1 0 3.5 0 0 13.8 119 98 3.9 1.2
"3" "3" 2005-11-05 23.8 "BOS" "@" "CHA" "L" -2 0 12.8166666666667 0.735 0.667 9.8 0 5.1 0 0 0 29.6 22.7 106 112 2.8 -5.7
"4" "4" 2005-11-09 23.81 "BOS" "" "MEM" "W" 1 0 7.26666666666667 0.266 0 0 0 0 18.3 7.6 0 34.7 21 57 106 0.2 -8.8
"5" "5" 2005-11-11 23.82 "BOS" "" "SAS" "L" -21 0 7.08333333333333 0.5 0.5 0 24.2 9.2 0 7.5 0 0 13.5 98 101 2.3 5.2
"6" "6" 2005-11-13 23.82 "BOS" "" "HOU" "W" 20 0 5.46666666666667 NA NA 0 19.5 10.1 0 0 0 NA 0 0 93 -0.1 -6.2
"7" "7" 2005-11-15 23.83 "BOS" "@" "DET" "L" -15 0 4.15 1.136 NA 0 0 0 26.9 0 0 0 10.2 240 126 2.3 12.8
"8" "8" 2005-11-16 23.83 "BOS" "" "SEA" "L" -13 0 18 0.694 0.5 21.1 0 9.9 15.4 0 0 0 15.1 169 134 7.9 2.5
"9" "9" 2005-11-18 23.84 "BOS" "" "TOR" "W" 7 0 3.85 0 0 0 0 0 0 0 19.8 0 12.4 0 93 -2 -27
"10" "10" 2005-11-22 23.85 "BOS" "@" "CLE" "L" -22 0 19.8 0.444 0.4 11 0 5.6 8 0 3.6 0 14.1 110 122 3.3 -4.1
"11" "11" 2005-11-23 23.85 "BOS" "@" "ATL" "L" -3 0 15.7166666666667 0.5 0.5 0 0 0 0 0 0 0 11.9 99 137 1.2 -10.3
"12" "12" 2005-11-25 23.86 "BOS" "" "CHA" "W" 1 0 21.05 0.333 0.333 0 0 0 0 0 0 25 8.7 50 103 -2.3 -11.8
"13" "13" 2005-11-28 23.87 "BOS" "" "ORL" "L" -4 0 14.6833333333333 0.333 0.333 0 7.6 3.8 0 0 0 25 12.7 51 104 -0.8 -9.6
"14" "14" 2005-11-30 23.87 "BOS" "" "PHI" "W" 7 0 0.3 NA NA 0 0 0 0 0 0 NA 0 0 108 0 -5
"15" "15" 2005-12-02 23.88 "BOS" "" "CHI" "L" -4 0 23.4833333333333 0.286 0.286 5.5 0 2.5 0 2.1 3.2 12.5 15.6 59 114 -0.3 -10
"16" "16" 2005-12-04 23.88 "BOS" "@" "NYK" "W" 3 0 11.6833333333333 0.333 0.333 9.1 10.5 9.8 12.9 0 6.4 25 15 74 107 1.3 -3.6
"17" "17" 2005-12-06 23.89 "BOS" "@" "HOU" "L" -18 0 12.6 0.355 0.333 8.7 0 4.8 0 4.6 0 15.1 25.6 70 108 0.2 -7.6
"18" "18" 2005-12-07 23.89 "BOS" "@" "NOK" "W" 14 0 1.13333333333333 NA NA 0 0 0 0 0 0 NA 0 0 106 0 -1.5
"19" "19" 2005-12-09 23.9 "BOS" "@" "SAS" "L" -12 0 1.23333333333333 0 0 0 0 0 0 0 0 0 39.8 0 123 -0.7 -40.7
"20" "20" 2005-12-10 23.9 "BOS" "@" "DAL" "L" -9 0 0.316666666666667 NA NA 0 0 0 0 0 0 NA 0 0 129 0 -1.8
"21" "" 2005-12-14 23.91 "BOS" "" "IND" "W" 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "" 2005-12-16 23.92 "BOS" "" "MIL" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "" 2005-12-17 23.92 "BOS" "@" "CHI" "L" -32 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "" 2005-12-19 23.92 "BOS" "" "GSW" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "" 2005-12-21 23.93 "BOS" "" "UTA" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "21" 2005-12-26 23.94 "BOS" "@" "SEA" "L" -7 0 0.2 NA NA 0 0 0 0 0 0 NA 0 0 133 0 -5.4
"27" "22" 2005-12-28 23.95 "BOS" "@" "GSW" "L" -2 0 0.516666666666667 NA NA 0 0 0 0 0 0 NA 0 0 123 0 -3.7
"28" "" 2005-12-30 23.95 "BOS" "@" "SAC" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "23" 2005-12-31 23.96 "BOS" "@" "LAC" "W" 19 0 17 0.5 0.5 0 7.6 3.9 0 0 0 33.3 16.3 63 107 -0.1 -11.4
"30" "24" 2006-01-02 23.96 "BOS" "@" "DEN" "L" -10 0 15.0833333333333 0.517 0.375 0 9.4 4.8 0 0 0 0 30.8 110 123 5.7 -7.4
"31" "25" 2006-01-04 23.97 "BOS" "" "CHA" "W" 3 0 19.2333333333333 0.436 0.5 9.2 21.9 17.8 0 0 0 22.5 20.8 69 105 0.8 -13
