"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "" 2020-12-23 21.53 "PHI" "" "WAS" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "" 2020-12-26 21.53 "PHI" "@" "NYK" "W" 20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "" 2020-12-27 21.54 "PHI" "@" "CLE" "L" -24 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "" 2020-12-29 21.54 "PHI" "" "TOR" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "" 2020-12-31 21.55 "PHI" "@" "ORL" "W" 24 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "" 2021-01-02 21.55 "PHI" "" "CHO" "W" 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "1" 2021-01-04 21.56 "PHI" "" "CHO" "W" 17 0 1.4 1 1 0 0 0 0 0 0 0 29.8 200 106 1.3 10
"8" "" 2021-01-06 21.56 "PHI" "" "WAS" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "" 2021-01-07 21.57 "PHI" "@" "BRK" "L" -13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "2" 2021-01-09 21.57 "PHI" "" "DEN" "L" -12 0 26.1833333333333 0.333 0.333 22 4.3 13.8 9.8 1.9 3.2 30.8 19.3 74 121 4.1 -10.1
"11" "3" 2021-01-11 21.58 "PHI" "@" "ATL" "L" -18 0 20.6833333333333 0.429 0.429 4.4 8.4 6.4 7.7 0 12.7 0 15.2 97 113 6 -1.5
"12" "" 2021-01-12 21.58 "PHI" "" "MIA" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "4" 2021-01-14 21.59 "PHI" "" "MIA" "W" 17 0 2.36666666666667 0.5 0.5 0 0 0 0 0 0 33.3 55 56 114 -0.4 -39.6
