"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1955-11-05 24.93 "ROC" "" "NYK" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1955-11-06 24.93 "ROC" "" "SYR" "W" 3 NA NA 0.375 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1955-11-10 24.95 "ROC" "" "PHW" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1955-11-12 24.95 "ROC" "" "FTW" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1955-11-13 24.95 "ROC" "" "NYK" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1955-11-19 24.97 "ROC" "" "MNL" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1955-11-20 24.97 "ROC" "@" "MNL" "W" 8 NA NA 0.4 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1955-11-23 24.98 "ROC" "@" "STL" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1955-11-24 24.98 "ROC" "@" "FTW" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1955-11-26 24.99 "ROC" "" "BOS" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1955-11-30 25 "ROC" "" "FTW" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1955-12-03 25.01 "ROC" "" "STL" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1955-12-04 25.01 "ROC" "" "PHW" "W" 23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1955-12-06 25.02 "ROC" "@" "NYK" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1955-12-07 25.02 "ROC" "" "MNL" "W" 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1955-12-09 25.02 "ROC" "" "BOS" "W" 1 NA NA 0.35 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1955-12-10 25.03 "ROC" "" "FTW" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1955-12-11 25.03 "ROC" "" "STL" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1955-12-14 25.04 "ROC" "" "STL" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1955-12-16 25.04 "ROC" "" "STL" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1955-12-17 25.05 "ROC" "@" "MNL" "L" -2 NA NA 0.252 NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1955-12-18 25.05 "ROC" "@" "STL" "L" -1 NA NA 0.371 NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1955-12-21 25.06 "ROC" "" "PHW" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1955-12-25 25.07 "ROC" "@" "SYR" "L" -15 NA 21 0.273 NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1955-12-26 25.07 "ROC" "" "SYR" "W" 2 NA 20 0.388 NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1955-12-27 25.07 "ROC" "" "SYR" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1955-12-28 25.08 "ROC" "" "NYK" "L" -22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1955-12-29 25.08 "ROC" "@" "FTW" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1955-12-31 25.08 "ROC" "" "BOS" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
