"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1989-11-03 21.59 "CHH" "" "WSB" "L" -20 1 26 0.372 0.222 4 21.3 13.2 17.1 1.8 2 21.8 22.5 72 106 4.6 -4.9
"2" "2" 1989-11-07 21.61 "CHH" "@" "SEA" "L" -40 1 10 0 0 0 12.3 5.5 0 0 0 0 16.1 0 131 -2.9 -22.2
"3" "3" 1989-11-08 21.61 "CHH" "@" "UTA" "L" -16 1 22 0.508 0.571 11.2 14.2 12.8 0 0 0 38.8 25.5 60 105 0 -13.6
"4" "4" 1989-11-10 21.61 "CHH" "@" "LAL" "L" -6 1 38 0.412 0.357 10.5 30.6 18.7 8 1.3 3.8 11.3 19.2 91 105 10.2 -4.5
"5" "5" 1989-11-11 21.62 "CHH" "@" "GSW" "L" -11 1 32 0.523 0.429 3.9 18.8 10.7 9 1.5 1.9 0 14.1 121 112 9.5 -2.1
"6" "6" 1989-11-14 21.62 "CHH" "" "ORL" "W" 14 1 37 0.587 0.5 25.4 34 29.5 3.1 1.2 0 0 21.7 146 109 26.3 3.1
"7" "7" 1989-11-15 21.63 "CHH" "@" "PHI" "L" -13 1 34 0.472 0.417 2.8 18.6 9.6 4.7 1.4 0 12.7 20 88 110 6.5 -5.5
"8" "8" 1989-11-17 21.63 "CHH" "" "GSW" "W" 1 1 41 0.525 0.467 10.2 14.6 12.3 0 1.3 1.8 14.2 21.9 101 107 11.9 -5
"9" "9" 1989-11-21 21.64 "CHH" "" "MIA" "L" -11 1 40 0.41 0.375 7.3 29.3 17.3 3.9 1.2 0 17 12.6 83 99 5.6 -6.8
"10" "10" 1989-11-24 21.65 "CHH" "" "HOU" "L" -4 1 39 0.595 0.6 5.9 9.2 7.5 13.4 2.9 0 25.4 19.8 94 100 10.6 2
"11" "11" 1989-11-25 21.65 "CHH" "" "MIN" "W" 8 1 42 0.552 0.533 13 35.4 23.9 10.5 1.3 1.6 14.9 23.2 104 81 17.6 5
