"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "" 2013-10-30 22.83 "WAS" "@" "DET" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "" 2013-11-01 22.83 "WAS" "" "PHI" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "" 2013-11-03 22.84 "WAS" "@" "MIA" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "" 2013-11-06 22.85 "WAS" "@" "PHI" "W" 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "" 2013-11-08 22.85 "WAS" "" "BRK" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "" 2013-11-10 22.86 "WAS" "@" "OKC" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "1" 2013-11-12 22.86 "WAS" "@" "DAL" "L" -10 0 1.31666666666667 1.5 1.5 0 82.9 42.4 0 0 0 50 68.3 143 100 2 44.5
"8" "2" 2013-11-13 22.87 "WAS" "@" "SAS" "L" -13 0 12.85 0.25 0.25 0 30.3 12.3 12.8 4.1 0 20 17.8 49 97 1.2 -5.6
"9" "3" 2013-11-16 22.87 "WAS" "" "CLE" "L" -7 0 15.5166666666667 0.085 0 6.6 25 14.7 27.7 3.3 0 25.4 22.3 39 97 -0.2 -9.6
"10" "4" 2013-11-19 22.88 "WAS" "" "MIN" "W" 4 0 4.03333333333333 NA NA 0 0 0 29 0 0 NA 0 217 117 0.3 -2
"11" "" 2013-11-20 22.88 "WAS" "@" "CLE" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "5" 2013-11-22 22.89 "WAS" "@" "TOR" "L" -8 0 0.433333333333333 NA NA 0 0 0 0 0 0 NA 0 0 115 0 -5.8
"13" "" 2013-11-23 22.89 "WAS" "" "NYK" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "" 2013-11-26 22.9 "WAS" "" "LAL" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "" 2013-11-27 22.9 "WAS" "@" "MIL" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "6" 2013-11-29 22.91 "WAS" "@" "IND" "L" -20 0 3.9 0 0 0 0 0 0 0 19.5 0 12.9 0 102 0 -2
"17" "" 2013-11-30 22.91 "WAS" "" "ATL" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "7" 2013-12-02 22.92 "WAS" "" "ORL" "W" 18 0 4.56666666666667 0.644 0.5 0 23.9 12.8 0 0 0 20.5 49.9 100 89 2.6 2.5
"19" "8" 2013-12-06 22.93 "WAS" "" "MIL" "L" -4 0 0.333333333333333 0 0 0 0 0 0 0 0 0 100 0 110 -1.1 -191
"20" "9" 2013-12-09 22.94 "WAS" "" "DEN" "L" -1 1 28.8833333333333 0.389 0.389 3.2 7.9 5.3 6.2 5.8 0 18.2 17.1 73 83 4.1 -1.4
"21" "10" 2013-12-13 22.95 "WAS" "@" "ATL" "L" -2 0 19.2 0.429 0.375 5.2 20.8 13 7.6 0 0 17.7 25 84 99 2.6 -4.2
"22" "11" 2013-12-14 22.95 "WAS" "" "LAC" "L" -16 0 17.5833333333333 0.6 0.6 7.2 18.8 12.2 0 3.1 0 0 13.3 128 125 5.6 2.4
"23" "" 2013-12-16 22.96 "WAS" "@" "NYK" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "" 2013-12-18 22.96 "WAS" "@" "BRK" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "" 2013-12-21 22.97 "WAS" "@" "BOS" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "" 2013-12-27 22.99 "WAS" "@" "MIN" "L" -22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "" 2013-12-28 22.99 "WAS" "" "DET" "W" 24 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "" 2013-12-30 22.99 "WAS" "@" "DET" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "" 2014-01-01 23 "WAS" "" "DAL" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "" 2014-01-03 23.01 "WAS" "" "TOR" "L" -13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "" 2014-01-05 23.01 "WAS" "" "GSW" "L" -16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "" 2014-01-07 23.02 "WAS" "@" "CHA" "W" 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "" 2014-01-08 23.02 "WAS" "@" "NOP" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "" 2014-01-10 23.02 "WAS" "@" "IND" "L" -27 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
