"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1960-10-19 21.9 "CIN" "" "LAL" "W" 17 NA 43 0.473 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1960-10-20 21.91 "CIN" "@" "NYK" "W" 8 NA 41 0.501 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1960-10-22 21.91 "CIN" "" "NYK" "W" 2 NA 42 0.614 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1960-10-23 21.92 "CIN" "" "STL" "W" 11 NA 46 0.624 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1960-10-26 21.92 "CIN" "@" "DET" "L" -14 NA 40 0.407 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1960-10-27 21.93 "CIN" "" "SYR" "W" 3 NA 53 0.659 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1960-10-29 21.93 "CIN" "@" "STL" "L" -16 NA 33 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1960-11-01 21.94 "CIN" "" "PHW" "L" -18 NA 38 0.38 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1960-11-05 21.95 "CIN" "@" "BOS" "W" 9 NA 46 0.6 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1960-11-08 21.96 "CIN" "" "BOS" "L" -16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1960-11-11 21.97 "CIN" "" "BOS" "L" -18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1960-11-12 21.97 "CIN" "@" "DET" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1960-11-13 21.97 "CIN" "" "DET" "L" -12 NA 45 0.605 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1960-11-15 21.98 "CIN" "" "PHW" "W" 9 NA 48 0.56 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1960-11-16 21.98 "CIN" "@" "SYR" "L" -37 NA 30 0.687 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1960-11-18 21.99 "CIN" "" "STL" "W" 1 NA 50 0.586 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1960-11-19 21.99 "CIN" "@" "STL" "L" -1 NA 36 0.625 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1960-11-20 21.99 "CIN" "" "BOS" "L" -17 NA 31 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1960-11-22 22 "CIN" "" "LAL" "L" -15 NA NA 0.401 NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1960-11-23 22 "CIN" "" "LAL" "W" 4 NA NA 0.46 NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1960-11-24 22 "CIN" "" "LAL" "L" -8 NA 42 0.566 NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1960-11-26 22.01 "CIN" "@" "PHW" "L" -30 NA 31 0.547 NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1960-11-27 22.01 "CIN" "" "NYK" "L" -4 NA 49 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1960-12-01 22.02 "CIN" "" "SYR" "L" -11 NA 47 0.581 NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1960-12-04 22.03 "CIN" "" "DET" "L" -1 NA 47 0.608 NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1960-12-06 22.03 "CIN" "@" "NYK" "W" 5 NA NA 0.472 NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1960-12-07 22.04 "CIN" "" "LAL" "W" 2 NA NA 0.623 NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1960-12-08 22.04 "CIN" "" "BOS" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1960-12-13 22.05 "CIN" "" "SYR" "L" -2 NA NA 0.538 NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1960-12-14 22.05 "CIN" "" "NYK" "W" 7 NA 34 0.703 NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1960-12-16 22.06 "CIN" "" "LAL" "W" 14 NA NA 0.663 NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1960-12-18 22.07 "CIN" "" "PHW" "L" -16 NA 38 0.508 NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "33" 1960-12-20 22.07 "CIN" "" "BOS" "L" -3 NA 48 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "34" 1960-12-25 22.08 "CIN" "" "DET" "W" 7 NA 43 0.501 NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "35" 1960-12-26 22.09 "CIN" "@" "DET" "L" -5 NA 48 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "36" 1960-12-27 22.09 "CIN" "" "SYR" "W" 5 NA 48 0.644 NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "37" 1960-12-28 22.09 "CIN" "" "NYK" "W" 10 NA 48 0.614 NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "38" 1960-12-29 22.1 "CIN" "@" "PHW" "L" -4 NA NA 0.41 NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "39" 1960-12-30 22.1 "CIN" "" "PHW" "W" 6 NA NA 0.739 NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "40" 1961-01-01 22.1 "CIN" "" "STL" "W" 2 NA NA 0.538 NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "41" 1961-01-02 22.11 "CIN" "" "SYR" "W" 1 NA NA 0.599 NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "42" 1961-01-04 22.11 "CIN" "@" "SYR" "W" 8 NA 48 0.653 NA NA NA NA NA NA NA NA NA NA NA NA NA
"43" "43" 1961-01-05 22.12 "CIN" "" "BOS" "L" -18 NA 43 0.542 NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "44" 1961-01-10 22.13 "CIN" "@" "STL" "L" -9 NA 46 0.505 NA NA NA NA NA NA NA NA NA NA NA NA NA
"45" "45" 1961-01-11 22.13 "CIN" "@" "DET" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" "46" 1961-01-12 22.13 "CIN" "" "DET" "L" -12 NA NA 0.412 NA NA NA NA NA NA NA NA NA NA NA NA NA
"47" "47" 1961-01-14 22.14 "CIN" "@" "LAL" "L" -9 NA 47 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" "48" 1961-01-15 22.14 "CIN" "@" "LAL" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"49" "49" 1961-01-18 22.15 "CIN" "" "DET" "L" -16 NA 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" "50" 1961-01-24 22.17 "CIN" "" "DET" "L" -2 NA 11 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"51" "51" 1961-01-30 22.18 "CIN" "" "BOS" "W" 28 NA 43 0.559 NA NA NA NA NA NA NA NA NA NA NA NA NA
"52" "52" 1961-02-02 22.19 "CIN" "@" "PHW" "L" -15 NA NA 0.429 NA NA NA NA NA NA NA NA NA NA NA NA NA
"53" "53" 1961-02-03 22.19 "CIN" "" "PHW" "L" -1 NA NA 0.525 NA NA NA NA NA NA NA NA NA NA NA NA NA
"54" "54" 1961-02-05 22.2 "CIN" "@" "SYR" "L" -14 NA 44 0.639 NA NA NA NA NA NA NA NA NA NA NA NA NA
"55" "55" 1961-02-06 22.2 "CIN" "" "LAL" "L" -9 NA 44 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"56" "56" 1961-02-09 22.21 "CIN" "" "NYK" "W" 4 NA 46 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"57" "57" 1961-02-11 22.22 "CIN" "@" "STL" "L" -1 NA 48 0.568 NA NA NA NA NA NA NA NA NA NA NA NA NA
"58" "58" 1961-02-12 22.22 "CIN" "@" "NYK" "W" 1 NA 45 0.531 NA NA NA NA NA NA NA NA NA NA NA NA NA
"59" "59" 1961-02-13 22.22 "CIN" "" "LAL" "W" 4 NA 48 0.567 NA NA NA NA NA NA NA NA NA NA NA NA NA
"60" "60" 1961-02-16 22.23 "CIN" "" "STL" "W" 26 NA 40 0.682 NA NA NA NA NA NA NA NA NA NA NA NA NA
"61" "61" 1961-02-19 22.24 "CIN" "" "LAL" "W" 6 NA NA 0.587 NA NA NA NA NA NA NA NA NA NA NA NA NA
