"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1994-11-05 21.82 "MIL" "" "LAL" "W" 1 0 13 0.592 0.6 11.2 30.8 21.4 0 0 0 42.5 39.4 64 105 0.3 -19.5
"2" "2" 1994-11-10 21.83 "MIL" "@" "CLE" "L" -20 0 29 0.305 0.231 0 18.4 8.6 5.7 0 2.2 11.9 25.2 62 113 0.5 -13.7
"3" "3" 1994-11-11 21.84 "MIL" "" "CHH" "L" -8 0 21 0.375 0.375 9 18.5 13 7.5 0 0 11.1 33.7 83 126 3.4 -13.3
"4" "4" 1994-11-15 21.85 "MIL" "" "IND" "W" 1 0 23 0.455 0.417 13.9 15.3 14.6 0 0 0 13.2 44.7 91 100 7 0.4
"5" "5" 1994-11-18 21.85 "MIL" "@" "ATL" "W" 4 1 40 0.547 0.545 5.5 8.5 7 5.7 0 0 20.2 36.2 93 106 10 -4.1
"6" "6" 1994-11-19 21.86 "MIL" "" "SEA" "L" -24 1 32 0.507 0.5 4.4 0 2.1 12.8 3.2 0 32.3 33.2 74 129 3.4 -10.5
"7" "7" 1994-11-22 21.87 "MIL" "@" "BOS" "W" 22 1 33 0.576 0.5 7.3 16.2 12 15 4.5 2.3 16.9 22.4 117 93 15.5 7
"8" "8" 1994-11-23 21.87 "MIL" "@" "DET" "L" -5 1 37 0.251 0.143 3.1 21.1 12.2 11 2.6 0 25 27.7 52 111 -1.5 -18.4
"9" "9" 1994-11-25 21.87 "MIL" "@" "IND" "L" -5 1 35 0.484 0.462 4.4 6 5.1 11.8 1.5 0 27.1 24.4 81 127 5.4 -9
"10" "10" 1994-11-26 21.88 "MIL" "" "ORL" "L" -8 1 36 0.507 0.432 8.5 3 5.9 28.6 2.7 0 14 32.1 105 115 17 4.6
"11" "11" 1994-11-29 21.88 "MIL" "" "PHO" "L" -17 1 36 0.412 0.357 3.1 17.2 9 15.1 1.3 0 27.6 24.3 74 122 2.9 -11.8
"12" "12" 1994-12-01 21.89 "MIL" "" "CLE" "L" -6 1 39 0.382 0.333 16.8 3.2 10.5 19.3 2.7 0 12.7 34.7 87 107 9.2 -3.4
"13" "13" 1994-12-03 21.9 "MIL" "@" "SEA" "L" -3 1 41 0.604 0.579 19.5 9.5 14.8 8.6 2.4 0 13.1 21.9 127 116 19.7 4.3
"14" "14" 1994-12-04 21.9 "MIL" "@" "POR" "L" -3 1 40 0.6 0.469 5.2 15.7 10.4 4.9 0 2 12.6 25.9 114 108 15.8 1.5
"15" "15" 1994-12-06 21.9 "MIL" "@" "SAC" "L" -13 1 39 0.543 0.5 8.2 19.4 13.3 0 2.5 0 14.9 35.5 100 108 16.4 1.1
"16" "16" 1994-12-07 21.91 "MIL" "@" "LAC" "L" -2 1 38 0.508 0.474 3.3 17 10.1 17.5 3.9 0 12.2 29 95 86 14.6 5.1
"17" "17" 1994-12-10 21.92 "MIL" "" "CHI" "W" 3 1 36 0.475 0.433 6.8 13.9 10.7 4.4 0 0 20.9 30.4 87 117 5.3 -12.3
"18" "18" 1994-12-13 21.92 "MIL" "@" "CHH" "L" -6 1 32 0.585 0.471 7.7 38.9 20.5 12 1.7 2.3 8.9 32.1 123 117 18.3 4.7
"19" "19" 1994-12-14 21.93 "MIL" "" "PHI" "W" 3 1 40 0.603 0.522 0 13 7.1 11.7 4 3.3 13.1 36.3 108 101 22.8 3.5
"20" "20" 1994-12-18 21.94 "MIL" "" "UTA" "L" -3 1 38 0.411 0.381 8.1 14.4 11.5 9.8 0 0 24.2 32.1 73 114 2.7 -13.9
"21" "21" 1994-12-20 21.94 "MIL" "@" "ATL" "L" -18 1 37 0.483 0.452 16.2 7.2 12.4 4.7 4.3 0 4.2 28.7 117 124 16.4 2.5
"22" "22" 1994-12-21 21.95 "MIL" "@" "MIA" "L" -10 1 36 0.428 0.357 3.2 10.7 6.7 11.6 3 0 7.5 35.4 90 115 10.5 -4.1
"23" "23" 1994-12-23 21.95 "MIL" "@" "ORL" "L" -32 1 34 0.667 0.667 3.9 17.6 10.4 16.4 4.4 0 16.7 24.7 107 123 17.1 2.8
"24" "24" 1994-12-26 21.96 "MIL" "" "NJN" "W" 4 1 35 0.563 0.531 6.7 13.1 9.9 19.6 1.5 0 10.1 25.9 114 108 15.2 1.4
"25" "25" 1994-12-27 21.96 "MIL" "@" "DET" "W" 10 1 33 0.665 0.5 5.4 16.2 11.5 17 4.9 0 21 22.4 117 97 13.6 2.4
"26" "26" 1994-12-30 21.97 "MIL" "" "CHH" "L" -7 1 35 0.45 0.438 5.4 16.1 9.7 10.4 1.6 0 14.5 25.5 88 118 8 -6.2
"27" "27" 1995-01-03 21.98 "MIL" "@" "UTA" "L" -32 1 36 0.564 0.438 0 0 0 11.3 5.6 0 29.7 36.5 87 125 10 -5.3
"28" "28" 1995-01-05 21.99 "MIL" "@" "GSW" "W" 8 1 38 0.414 0.316 3 18 9.8 12.1 6.4 0 8 28 93 97 13.8 -1
"29" "29" 1995-01-06 21.99 "MIL" "@" "LAL" "L" -8 1 39 0.573 0.588 5.6 25.9 15 16.3 2.7 0 23.8 29.2 91 113 13.2 -2.9
"30" "30" 1995-01-08 21.99 "MIL" "@" "DEN" "L" -6 1 41 0.428 0.381 4.9 16.2 9.7 5.2 1.3 0 7.5 28.2 93 104 9.3 -1.2
"31" "31" 1995-01-09 22 "MIL" "@" "PHO" "L" -17 1 39 0.423 0.409 6.7 9.2 7.8 8.5 1.3 0 8.2 24.5 95 126 10.2 -3.8
"32" "32" 1995-01-11 22 "MIL" "" "SAC" "W" 9 1 34 0.421 0.364 3.9 8.6 6.6 14 1.5 0 7.8 17.3 98 103 6.4 -6.2
"33" "33" 1995-01-13 22.01 "MIL" "" "NYK" "L" -3 1 38 0.575 0.55 10 13 11.5 6.2 1.4 0 12.6 30.7 110 104 14.8 4.2
"34" "34" 1995-01-14 22.01 "MIL" "@" "IND" "W" 2 1 35 0.64 0.458 0 19.1 10.2 10.9 3 0 32.8 31.6 90 101 9.4 -5.2
"35" "35" 1995-01-18 22.02 "MIL" "@" "CHI" "W" 4 1 31 0.569 0.5 14.7 21.6 18.2 13.4 1.7 0 15.9 36.7 108 100 15.6 1.3
"36" "36" 1995-01-19 22.02 "MIL" "" "WSB" "W" 5 1 39 0.636 0.529 7.5 9 8.3 20.6 3.9 1.9 17.5 31.9 120 117 23.1 1.5
"37" "37" 1995-01-21 22.03 "MIL" "" "DET" "W" 20 1 36 0.407 0.375 10.3 22.2 16 11.5 0 0 8.7 27.8 104 117 8.6 -11.9
"38" "38" 1995-01-24 22.04 "MIL" "" "HOU" "L" -16 1 41 0.503 0.5 8.6 4.3 6.9 3.7 0 2.2 13.1 25.5 95 131 9.9 -7.1
"39" "39" 1995-01-25 22.04 "MIL" "@" "PHI" "W" 1 1 39 0.68 0.7 5.2 17.6 10.5 9.8 4 0 15.8 28.2 115 101 21.1 6.1
"40" "40" 1995-01-27 22.05 "MIL" "" "MIA" "L" -9 1 38 0.495 0.406 9.2 8.1 8.6 5.4 0 1.6 21.6 28 89 114 8.2 -5.1
"41" "41" 1995-01-28 22.05 "MIL" "@" "ORL" "L" -4 1 24 0.463 0.417 6.7 19.5 14.1 16.2 2.3 0 10.4 19.9 106 119 5.4 -5.1
"42" "42" 1995-01-31 22.06 "MIL" "" "DAL" "W" 2 1 45 0.668 0.661 2.4 9.9 6.1 4.3 3.6 0 9.5 31.8 123 116 26.2 6.4
"43" "43" 1995-02-01 22.06 "MIL" "@" "NJN" "L" -18 1 37 0.432 0.435 7.2 22.7 13.8 13.4 3.1 0 14.1 36.5 84 107 10.5 -1.1
"44" "44" 1995-02-03 22.07 "MIL" "@" "CHH" "L" -19 1 41 0.512 0.5 10.4 18.5 14.1 17.4 1.2 2 20.4 33.2 94 119 16.3 1.5
"45" "45" 1995-02-04 22.07 "MIL" "" "PHI" "L" -6 1 33 0.541 0.5 9.4 13.2 11.6 12.2 0 0 19.7 35.5 96 119 10.1 -6.1
"46" "46" 1995-02-07 22.08 "MIL" "@" "NYK" "W" 8 1 44 0.442 0.375 7 21.1 12.6 8 2.5 0 20.9 30.6 82 101 8.5 -7.6
