"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1993-11-05 23.18 "POR" "@" "LAC" "L" -2 0 8 1.25 1.25 10.2 0 6.5 0 5.5 0 0 8.8 241 88 5.3 15.4
"2" "2" 1993-11-07 23.19 "POR" "" "HOU" "L" -14 0 11 0.167 0.167 8.6 12.1 10 0 4.7 0 0 21.9 55 110 -0.2 -11.2
"3" "3" 1993-11-12 23.2 "POR" "" "ATL" "W" 10 0 4 0 0 25.5 0 12.9 31.6 0 0 50 20.2 40 97 -1.1 -19
"4" "4" 1993-11-18 23.22 "POR" "" "CHI" "W" 22 0 16 0.4 0.4 0 0 0 7.1 0 0 9.1 24.9 100 107 1.1 -9.8
"5" "5" 1993-11-21 23.22 "POR" "" "DAL" "W" 13 0 9 0.563 0.5 0 0 0 0 0 6.9 31.1 29.5 77 99 1.3 -6.7
"6" "6" 1993-11-26 23.24 "POR" "@" "DEN" "L" -11 0 1 1.136 NA 0 0 0 0 0 0 0 34.4 250 119 2 45.9
"7" "7" 1993-12-01 23.25 "POR" "@" "ORL" "L" -8 0 12 0.438 0.438 0 0 0 32 4.1 11.8 0 26.9 115 110 6.4 14.3
"8" "8" 1993-12-03 23.26 "POR" "@" "BOS" "L" -6 0 10 0.694 0.5 9.6 12 10.7 12.9 4.5 0 0 10.9 166 103 4.9 8
"9" "9" 1993-12-04 23.26 "POR" "@" "WSB" "W" 13 0 3 0.5 0.5 0 0 0 0 0 0 0 27.8 107 116 1 -7.7
"10" "10" 1993-12-10 23.28 "POR" "" "LAL" "W" 18 0 1 0.568 NA 0 0 0 100 0 0 0 35.3 142 107 1.3 35.3
"11" "11" 1993-12-12 23.28 "POR" "" "ORL" "L" -15 0 6 0.521 0.5 0 35.6 18.2 28.6 0 11.6 25.8 27.3 88 101 2.2 4.1
"12" "12" 1993-12-15 23.29 "POR" "@" "SAS" "L" -20 0 18 0.304 0.278 8.5 0 5.7 32.7 0 0 0 21.8 95 124 3.5 -0.3
"13" "13" 1993-12-18 23.3 "POR" "" "MIN" "W" 10 0 10 0.129 0 0 13.3 6.2 13 10.3 0 43.6 29.9 23 85 -3.5 -24.4
"14" "14" 1993-12-19 23.3 "POR" "" "MIL" "W" 12 0 12 0.2 0.2 0 0 0 11.8 0 0 0 18.5 64 97 -0.8 -12.6
"15" "15" 1993-12-21 23.31 "POR" "@" "GSW" "W" 2 0 19 0.666 0.6 0 27.3 12 24.1 5.4 0 12.9 16.6 132 95 9.4 10
"16" "16" 1993-12-23 23.31 "POR" "" "IND" "W" 12 0 29 0.563 0.531 4.4 0 2.1 27.1 3.5 0 5.6 26.2 119 104 14.3 7.4
"17" "17" 1993-12-26 23.32 "POR" "" "GSW" "L" -2 0 25 0.464 0.464 8.7 15.5 11.8 13.6 4 0 17.6 28.8 85 99 7.5 -0.3
"18" "18" 1993-12-29 23.33 "POR" "" "LAC" "W" 16 0 19 0.506 0.5 5.6 12.6 8.9 15.4 2.4 0 23.3 26.1 91 97 4.4 -3.9
"19" "19" 1994-01-02 23.34 "POR" "" "UTA" "L" -2 0 17 0.111 0.111 0 7.6 3.6 16.5 3 0 18.2 28.7 30 96 -3.6 -16.1
"20" "20" 1994-01-04 23.35 "POR" "@" "HOU" "L" -11 0 25 0.509 0.458 9.4 4.9 7.7 14 3.9 3 12.7 25.2 104 106 11.3 6.8
"21" "21" 1994-01-06 23.35 "POR" "@" "CHH" "W" 6 1 28 0.466 0.5 10.3 3.3 6.7 0 0 2.3 31.8 12.9 76 109 1.5 -8
"22" "22" 1994-01-07 23.35 "POR" "@" "ATL" "L" -15 0 19 0.273 0.273 0 18.9 9 8.9 0 0 8.3 26.1 58 106 -0.7 -13
"23" "23" 1994-01-09 23.36 "POR" "@" "NYK" "L" -14 1 38 0.468 0.5 2.3 0 1.6 5 1.4 0 17.8 19 81 110 3.7 -4
"24" "24" 1994-01-11 23.36 "POR" "" "SEA" "W" 9 1 35 0.601 0.536 6.2 3.4 4.9 13.8 0 3.8 19.4 24.1 110 114 12.2 2.5
"25" "25" 1994-01-14 23.37 "POR" "" "MIA" "W" 5 0 12 0.25 0.25 0 11.1 5.1 0 0 0 14.3 25.1 47 118 -2.7 -21.5
"26" "26" 1994-01-16 23.38 "POR" "" "CHH" "W" 5 0 18 0.333 0.333 0 5.2 2.7 0 0 3.1 0 19.7 76 101 1.5 -6.6
"27" "27" 1994-01-18 23.38 "POR" "@" "DEN" "W" 1 0 5 0 0 0 0 0 25.9 0 0 66.7 26.1 15 106 -2 -24.4
"28" "28" 1994-01-21 23.39 "POR" "" "LAL" "W" 18 0 3 NA NA 0 0 0 0 0 0 NA 0 0 100 0 -4
"29" "29" 1994-01-25 23.4 "POR" "" "NJN" "W" 5 0 9 0.25 0.25 13 14.4 13.7 22.4 5.4 0 0 17.1 97 112 2.6 0
"30" "30" 1994-01-28 23.41 "POR" "" "MIN" "W" 11 0 9 0.2 0.2 0 31.4 12.9 0 5.6 0 0 23.1 50 92 0.5 -8.3
"31" "31" 1994-02-01 23.42 "POR" "@" "SAC" "L" -5 0 13 0.75 0.75 0 9 4.4 35.3 7.3 9.8 0 12.6 157 86 8.7 21.4
