"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1976-10-26 23.16 "GSW" "@" "POR" "L" -14 0 6 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1976-11-16 23.22 "GSW" "" "SEA" "W" 8 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1976-11-18 23.23 "GSW" "" "PHO" "W" 20 0 6 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1976-11-19 23.23 "GSW" "@" "LAL" "L" -22 0 7 0.532 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1976-11-20 23.23 "GSW" "" "BUF" "W" 37 0 10 0.455 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1976-11-23 23.24 "GSW" "@" "NOJ" "L" -23 0 5 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1976-11-28 23.25 "GSW" "@" "ATL" "W" 34 0 7 0.68 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1977-01-11 23.38 "GSW" "" "DET" "L" -8 0 10 0.444 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1977-01-16 23.39 "GSW" "" "NYK" "L" -14 0 6 0.2 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1977-01-22 23.41 "GSW" "@" "NOJ" "L" -18 0 9 0.286 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1977-01-28 23.42 "GSW" "@" "NYN" "W" 22 0 5 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1977-02-05 23.44 "GSW" "" "MIL" "W" 22 0 9 0.375 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1977-02-08 23.45 "GSW" "" "WSB" "W" 24 0 7 0.51 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1977-02-10 23.46 "GSW" "" "DEN" "W" 13 0 6 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1977-02-22 23.49 "GSW" "@" "CHI" "L" -16 0 8 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1977-02-25 23.5 "GSW" "@" "BUF" "W" 7 0 6 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1977-02-27 23.5 "GSW" "@" "NYN" "W" 8 0 6 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1977-03-08 23.53 "GSW" "" "CLE" "W" 10 0 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1977-03-17 23.55 "GSW" "" "POR" "L" -9 0 4 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1977-03-18 23.56 "GSW" "@" "LAL" "L" -13 0 12 0.75 NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1977-03-19 23.56 "GSW" "" "IND" "W" 59 0 12 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1977-03-25 23.58 "GSW" "@" "DET" "L" -13 0 8 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1977-03-29 23.59 "GSW" "" "HOU" "W" 17 0 4 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1977-04-01 23.59 "GSW" "@" "POR" "L" -11 0 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1977-04-05 23.61 "GSW" "" "LAL" "W" 29 0 3 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1977-04-07 23.61 "GSW" "" "NYN" "W" 38 0 12 0.451 NA NA NA NA NA NA NA NA NA NA NA NA NA
