"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1994-11-12 22.03 "GSW" "" "LAL" "W" 22 0 6 0.664 1 36.4 25.8 30.2 0 0 9.3 0 30.8 147 84 6 9
"2" "2" 1994-11-22 22.06 "GSW" "@" "CHH" "L" -4 0 10 0.5 0.5 33.5 27.7 30.3 0 0 12 14.3 28.7 103 92 5.6 4.8
"3" "3" 1994-11-26 22.07 "GSW" "@" "CLE" "L" -14 0 11 0.525 0.333 20.3 0 10.8 0 4.8 0 29.6 27.3 87 112 3.3 -8
"4" "4" 1994-11-27 22.07 "GSW" "@" "DET" "L" -15 0 6 0 0 17.4 0 8 0 7.6 0 0 6.9 53 97 0.6 -7.2
"5" "5" 1994-11-29 22.08 "GSW" "" "LAC" "W" 3 0 7 0.181 0 14.8 37.2 27 0 0 0 26.6 21.6 46 97 -0.7 -19.2
"6" "6" 1994-12-06 22.1 "GSW" "@" "LAL" "L" -12 0 7 0.5 0.5 0 12.2 6.7 0 6.9 0 0 12.1 96 95 1.1 -5.2
"7" "7" 1994-12-09 22.11 "GSW" "@" "POR" "L" -9 1 31 0.421 0.455 30.2 9.9 19.4 4.7 0 1.9 20.2 20.2 93 119 6.4 -9.1
"8" "8" 1994-12-10 22.11 "GSW" "@" "SAC" "L" -12 1 39 0.428 0.385 10.5 23.9 16.3 4.8 2.6 2.1 6.2 18.9 97 109 10.8 -3
"9" "9" 1994-12-12 22.12 "GSW" "@" "PHO" "L" -6 1 40 0.601 0.667 21 18.8 20 4.9 1.5 0 18.4 19.3 107 110 12.7 -1.4
"10" "10" 1994-12-13 22.12 "GSW" "" "SAC" "L" -5 1 30 0.625 0.556 8 8 8 10.3 0 2.4 0 17.6 145 126 11.8 1
"11" "11" 1994-12-15 22.12 "GSW" "@" "LAC" "L" -7 1 22 0.437 0.455 40.1 24.2 32.5 0 0 0 14.9 25 96 93 9.7 0.2
"12" "12" 1994-12-16 22.13 "GSW" "" "ORL" "L" -3 1 25 0.231 0.167 20.4 12.1 17.1 0 0 0 10.4 15.2 75 121 -0.7 -16.1
"13" "13" 1994-12-20 22.14 "GSW" "" "DAL" "L" -3 1 12 0.4 0.4 10 23.1 17.4 0 0 4.4 16.7 21.6 76 106 1.4 -12.4
"14" "14" 1994-12-22 22.14 "GSW" "" "WSB" "W" 20 1 15 0.427 0.5 29.1 6.5 17.2 0 0 0 0 22.9 104 94 3.9 -9.8
"15" "15" 1994-12-27 22.16 "GSW" "" "LAL" "W" 24 1 14 0.317 0.286 14.6 12.2 13.3 7.9 3 3.6 0 20.6 93 87 3.7 -5.5
"16" "16" 1994-12-29 22.16 "GSW" "@" "HOU" "L" -2 1 17 0.694 0.667 26.3 22.9 24.7 7.2 2.8 0 41 16.9 104 119 5.9 -1.3
"17" "17" 1994-12-30 22.16 "GSW" "@" "DAL" "L" -16 1 33 0.593 0.7 14.5 11 12.7 0 1.4 3.3 19.2 18.9 99 108 10.9 -1.7
"18" "18" 1995-01-03 22.18 "GSW" "" "SAS" "L" -5 1 14 0.127 0.143 13.7 41.8 26.4 23.2 0 0 20.2 29.4 40 93 -2.6 -16.7
"19" "19" 1995-01-05 22.18 "GSW" "" "MIL" "L" -8 0 2 NA NA 0 0 0 0 0 0 100 22 0 120 -1.4 -37.7
"20" "20" 1995-01-11 22.2 "GSW" "@" "POR" "L" -12 0 17 0.712 0.6 12.5 16.6 14.7 11.1 2.9 6.9 0 15.4 160 98 10.9 15.3
"21" "21" 1995-01-13 22.2 "GSW" "@" "LAL" "L" -11 0 20 0.387 0.333 0 6 2.8 0 0 0 20.5 10.4 64 120 -1 -12.9
"22" "22" 1995-01-14 22.21 "GSW" "" "CLE" "L" -6 1 40 0.5 0.5 17.3 11.5 14.4 4.4 0 0 7.7 15.9 114 116 9.1 -4.6
"23" "23" 1995-01-16 22.21 "GSW" "" "DEN" "W" 4 0 18 0 0 5.4 35.1 18.4 0 0 9.9 0 7.9 20 80 0.2 -7.6
"24" "24" 1995-01-19 22.22 "GSW" "@" "SAC" "L" -9 0 19 0.667 0.667 20.5 7.7 14.4 7.9 0 0 40 13.2 108 137 1.8 -11.2
"25" "25" 1995-01-24 22.23 "GSW" "" "NJN" "L" -13 0 22 0.398 0.4 21 15.9 18.4 7.7 0 3.1 15 26.2 88 113 5.7 -7.9
"26" "26" 1995-01-26 22.24 "GSW" "@" "WSB" "W" 3 1 12 0.521 0.5 11 49.1 29.1 0 0 0 0 10.2 126 113 3.1 -2.2
"27" "27" 1995-01-27 22.24 "GSW" "@" "BOS" "L" -26 0 10 0.694 0.667 0 14.5 7.2 0 0 7 18.8 25.1 107 121 3.1 -4.4
"28" "28" 1995-01-29 22.25 "GSW" "@" "CHI" "L" -22 0 19 0.436 0.5 5.1 20.5 11.6 0 2.6 0 0 15 98 117 3.6 -4.9
"29" "29" 1995-02-03 22.26 "GSW" "" "LAC" "W" 17 0 9 0.362 0 28.8 26.7 27.5 0 0 0 52.1 26 51 85 -0.6 -20
"30" "30" 1995-02-05 22.27 "GSW" "" "CHI" "L" -4 0 8 0 0 0 14.3 6.1 16.7 0 0 0 10.7 27 106 -1.2 -12.7
"31" "31" 1995-02-14 22.29 "GSW" "@" "SEA" "L" -10 0 13 0.872 1 9 49.2 30.1 0 0 5.4 22.5 15.1 119 106 4.9 0.6
"32" "32" 1995-02-15 22.29 "GSW" "" "BOS" "L" -1 0 7 NA NA 0 0 0 0 6.8 0 NA 0 0 110 0.6 -2.7
"33" "33" 1995-02-18 22.3 "GSW" "" "SEA" "L" -12 0 6 NA NA 21.1 0 9.8 0 8.3 0 NA 0 209 124 0.9 -2
"34" "34" 1995-02-20 22.31 "GSW" "" "PHI" "W" 13 0 6 NA NA 0 0 0 0 0 0 NA 0 0 97 -0.4 -7.1
"35" "35" 1995-02-22 22.31 "GSW" "" "POR" "L" -18 0 29 0.333 0.333 9.7 23.6 16.6 5.8 1.7 8.2 25 6 87 102 6.4 -1.7
"36" "36" 1995-02-25 22.32 "GSW" "@" "HOU" "L" -7 0 23 0.75 0.75 8.7 5.5 7.3 12 0 2.9 20 9.3 134 113 5.6 -1.6
"37" "37" 1995-02-26 22.32 "GSW" "@" "SAS" "L" -30 0 31 0.595 0.615 9.9 15.5 12.5 5.4 1.6 1.8 13 22.3 108 129 11.4 -3.9
"38" "38" 1995-03-01 22.33 "GSW" "" "UTA" "L" -13 1 31 0.872 1 12.6 26.5 18.4 4.9 3.3 4.3 36.8 7.8 112 98 10.6 3
"39" "39" 1995-03-03 22.34 "GSW" "" "CHH" "L" -30 0 24 0.25 0.25 14.3 37.8 23.7 6.1 2 0 33.3 9.9 63 113 3 -7.4
"40" "40" 1995-03-05 22.34 "GSW" "" "PHO" "L" -10 1 40 0.776 0.833 15.7 25.1 20.2 6.3 3.6 0 13.4 7.9 153 117 16.1 2.6
"41" "41" 1995-03-06 22.35 "GSW" "@" "SEA" "W" 3 0 24 0.333 0.333 20.4 23.8 22 6.5 2.1 6 25 13.2 84 100 5.1 -3.4
"42" "42" 1995-03-08 22.35 "GSW" "" "LAC" "W" 13 0 14 0.333 0.333 8 31.9 19.9 0 0 4.8 25 11.7 68 106 1.1 -10.2
"43" "43" 1995-03-10 22.36 "GSW" "@" "LAC" "L" -19 0 7 0 0 50.8 0 31.9 0 0 0 33.3 16.8 60 126 -0.8 -27.2
"44" "44" 1995-03-12 22.36 "GSW" "@" "PHO" "W" 7 0 19 0.362 0 0 26.8 14.5 0 0 4.3 0 6.7 79 105 1.5 -4.9
"45" "45" 1995-03-13 22.36 "GSW" "" "DAL" "L" -5 1 32 0.667 0.667 10.2 17.6 14.2 3.2 0 3.8 25 4.9 127 122 6.9 -1.9
"46" "46" 1995-03-15 22.37 "GSW" "" "LAL" "W" 11 1 36 0.402 0.444 19.9 36.4 27.8 0 0 5.6 8.2 13.6 103 104 10.3 -4.8
"47" "47" 1995-03-17 22.38 "GSW" "@" "SAC" "L" -18 1 27 0.571 0.571 25.4 35.6 30 5.4 0 0 0 13 142 126 11.3 -1.3
"48" "48" 1995-03-19 22.38 "GSW" "" "DET" "W" 2 1 22 0.592 0.6 22.3 13.9 18.2 6.5 0 0 12.9 13.9 128 121 7.8 -2.4
"49" "49" 1995-03-21 22.39 "GSW" "@" "MIL" "L" -6 0 7 0.694 1 0 20.2 9.5 0 0 0 0 8.7 122 121 0.4 -8.8
"50" "50" 1995-03-22 22.39 "GSW" "@" "PHI" "L" -17 0 23 0.637 0.667 22.7 13.9 18.3 0 2.1 0 18.8 18.8 116 118 9.4 -3.6
"51" "51" 1995-03-24 22.39 "GSW" "@" "MIA" "L" -4 0 25 0.667 0.667 9.4 28.6 19.6 0 0 0 0 10 144 111 7.7 -0.3
"52" "52" 1995-03-26 22.4 "GSW" "@" "ORL" "L" -34 0 14 0 0 20.6 26.4 23.1 0 3.3 0 0 5.3 64 122 2.1 -7.2
"53" "53" 1995-03-28 22.41 "GSW" "@" "NJN" "W" 14 1 29 0.46 0.5 22.4 36 29.9 0 1.7 0 8.4 17.7 111 109 9.5 -6.3
"54" "54" 1995-03-30 22.41 "GSW" "" "ATL" "L" -28 1 34 0.375 0.375 5.5 8.3 6.9 0 0 0 27.3 13.7 60 114 -0.3 -11.2
"55" "55" 1995-04-01 22.42 "GSW" "" "MIN" "L" -22 1 15 0.25 0.25 13.1 17.8 15.1 0 0 0 0 10 86 127 0.8 -11.5
"56" "56" 1995-04-04 22.42 "GSW" "" "PHO" "W" 8 1 38 0.333 0.333 9.5 17.2 13.5 6.4 2.4 0 33.3 9.3 72 108 3.3 -6.8
"57" "57" 1995-04-06 22.43 "GSW" "" "HOU" "L" -8 1 42 0.571 0.571 13.9 45.7 29.6 8.9 1.2 3.7 12.5 8 130 108 15.3 2.8
"58" "58" 1995-04-08 22.44 "GSW" "" "SAS" "L" -13 1 44 0.658 0.639 13.9 24.2 17 0 3.4 1.6 13.2 19.3 125 111 24.3 5.3
"59" "59" 1995-04-10 22.44 "GSW" "@" "DAL" "W" 11 1 44 0.635 0.643 2.4 24.5 13.8 9.6 1.1 1.5 16 17.9 114 106 17.4 0.8
"60" "60" 1995-04-12 22.45 "GSW" "@" "MIN" "W" 14 1 34 0.46 0.4 11.1 22.5 17.2 3.4 0 0 21.6 17.3 96 116 5.3 -10.7
"61" "61" 1995-04-13 22.45 "GSW" "@" "UTA" "L" -19 1 24 0.667 0.667 0 4.3 2.3 0 2 2.4 40 9.3 67 126 1.5 -9.9
"62" "62" 1995-04-15 22.45 "GSW" "" "SEA" "L" -16 1 32 0.658 0.625 6.7 27.3 18 5.1 1.5 0 8.6 15.4 131 108 13.9 3.1
"63" "63" 1995-04-18 22.46 "GSW" "" "POR" "W" 1 1 43 0.379 0.364 11.2 20 15.5 20.6 0 0 21.6 19.1 87 107 6.8 -6.4
"64" "64" 1995-04-20 22.47 "GSW" "" "SAC" "L" -14 1 33 0.398 0.286 37.8 21.8 30.7 5.8 1.5 0 24.2 30.2 86 113 10.2 -10.8
"65" "65" 1995-04-22 22.47 "GSW" "" "DEN" "L" -1 1 49 0.412 0.357 7.1 35.1 21.6 6.1 0 0 11.3 15.1 94 108 8.7 -6.2
"66" "66" 1995-04-23 22.48 "GSW" "@" "POR" "L" -33 1 38 0.539 0.536 2.5 26.6 12.8 0 0 0 20.2 21.7 85 116 7.5 -4.3
"1" "1" 1995-11-03 23.01 "GSW" "@" "HOU" "L" -18 0 4 1 1 0 0 0 0 0 19 0 21.7 200 114 4.1 28.2
"2" "2" 1995-11-04 23.01 "GSW" "@" "DAL" "L" -15 0 14 0.436 0.333 14.6 14.3 14.4 0 0 0 46.6 21.6 60 112 -1.3 -20.2
"3" "3" 1995-11-11 23.03 "GSW" "" "LAL" "W" 18 0 2 1 1 0 0 0 0 0 0 50 44.3 64 121 0.3 -21.4
"4" "4" 1995-11-12 23.03 "GSW" "@" "PHO" "L" -3 0 4 0 0 0 28.6 13.8 0 0 0 0 10.7 0 110 -1.2 -20.4
"5" "5" 1995-11-14 23.04 "GSW" "" "LAC" "L" -12 0 2 0.667 0.667 51.1 0 30 0 0 0 0 62 156 131 3.4 24.5
"6" "6" 1995-11-16 23.04 "GSW" "" "NYK" "L" -23 0 13 1 1 20 9 14.2 15 0 5.1 0 7 207 128 4.5 3.7
"7" "7" 1995-11-18 23.05 "GSW" "" "DAL" "W" 13 0 15 0.694 1 12.8 44.7 32.9 0 0 0 0 8.8 135 105 4.3 -2.1
"8" "8" 1995-11-20 23.05 "GSW" "@" "ORL" "L" -6 0 3 0 0 0 0 0 0 0 0 66.7 42.6 0 115 -2.7 -50.9
"9" "9" 1995-11-22 23.06 "GSW" "@" "MIA" "L" -10 0 6 0 0 0 0 0 0 0 0 0 6.9 0 119 -1.9 -21.3
"10" "10" 1995-11-25 23.07 "GSW" "@" "PHI" "W" 18 0 6 NA NA 0 0 0 0 0 0 NA 0 0 108 0 -9.2
"11" "11" 1995-11-27 23.07 "GSW" "@" "TOR" "L" -3 0 15 0.676 0.75 26.1 11 20.5 13.1 0 5.9 0 11.9 154 113 8.1 8.1
"12" "12" 1995-11-29 23.08 "GSW" "" "POR" "L" -14 0 18 0.333 0.333 25.4 6.8 16.5 9.4 2.8 4.4 0 7.4 126 116 5 -0.2
"13" "13" 1995-12-02 23.09 "GSW" "" "IND" "W" 3 0 13 1 1 10.5 29.1 20.2 12.6 0 0 0 3.7 207 111 2.8 0.3
"14" "14" 1995-12-06 23.1 "GSW" "" "ORL" "L" -2 0 10 1 1 0 14.1 6.2 0 0 0 50 8 76 120 0.6 -5.1
"15" "15" 1995-12-08 23.1 "GSW" "" "DET" "L" -7 0 16 0.4 0.4 26.9 6.9 15.6 0 0 5 0 15 121 132 3.2 -7.7
