"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2016-10-26 20.48 "OKC" "@" "PHI" "W" 6 1 16.35 0.5 0.5 0 26.1 12.2 0 0 0 0 12.7 105 99 2.7 -3.6
"2" "2" 2016-10-28 20.49 "OKC" "" "PHO" "W" 3 1 17.4833333333333 0.667 0.667 0 24.3 12 0 0 0 14.3 15.8 114 99 4.4 -1.8
"3" "3" 2016-10-30 20.49 "OKC" "" "LAL" "W" 17 1 6.8 0 0 0 0 0 0 6.7 12.8 0 5.8 0 81 -0.6 -8.2
"4" "4" 2016-11-02 20.5 "OKC" "@" "LAC" "W" 2 1 16.8333333333333 1 1 0 11.4 6.1 10.1 2.8 0 0 7.5 201 80 5 9.9
"5" "5" 2016-11-03 20.5 "OKC" "@" "GSW" "L" -26 1 26.9 0.542 0.542 4.1 20.7 12.3 22 1.8 3 14.3 21.7 104 122 10.2 2.8
"6" "6" 2016-11-05 20.51 "OKC" "" "MIN" "W" 20 1 24.1833333333333 0.333 0.333 5.7 16.9 12.1 25.4 0 3.1 0 16.5 107 101 5.8 -1.5
"7" "7" 2016-11-07 20.52 "OKC" "" "MIA" "W" 12 1 30.2833333333333 0.54 0.538 0 32.3 18 5.5 0 0 6.7 21.7 104 90 8.6 0.6
"8" "8" 2016-11-09 20.52 "OKC" "" "TOR" "L" -10 1 27.5333333333333 0.583 0.583 0 5 2.4 27.1 1.9 0 0 9.8 144 122 7.3 4.1
"9" "9" 2016-11-11 20.53 "OKC" "" "LAC" "L" -2 1 27.7833333333333 1.2 1.2 0 3.7 1.9 11.1 0 0 37.5 12.3 127 116 8 6.8
"10" "10" 2016-11-13 20.53 "OKC" "" "ORL" "L" -2 1 18.0666666666667 0.25 0.25 0 14 6.6 6 0 0 25 18.7 48 128 -2.7 -18.3
"11" "11" 2016-11-14 20.53 "OKC" "@" "DET" "L" -16 1 23.1666666666667 0.3 0.3 0 4.9 2.1 0 0 0 28.6 12.9 44 108 -3.8 -14.7
"12" "12" 2016-11-16 20.54 "OKC" "" "HOU" "W" 2 1 28.0666666666667 0.8 0.8 4.3 6.7 5.6 15.5 0 0 28.6 11.3 122 111 7.1 -0.4
"13" "13" 2016-11-18 20.55 "OKC" "" "BRK" "W" 19 1 25.8 0.333 0.333 0 13 7.3 0 1.8 6.9 18.2 17.7 60 100 1 -10
"14" "14" 2016-11-20 20.55 "OKC" "" "IND" "L" -4 1 20.3 0.35 0.35 15.4 16 15.7 0 4.8 0 16.7 24.3 73 100 3.4 -7.4
"15" "15" 2016-11-22 20.56 "OKC" "@" "LAL" "L" -2 1 21.7833333333333 0.5 0.5 0 25.2 11.8 15.4 2.2 0 25 7.9 103 114 4.6 -1.8
"16" "16" 2016-11-23 20.56 "OKC" "@" "SAC" "L" -15 1 14.55 0.667 0.667 0 0 0 39 3.4 0 25 13 115 122 4 1.7
"17" "17" 2016-11-25 20.56 "OKC" "@" "DEN" "W" 3 1 28.3333333333333 0.929 0.929 4.1 20.3 12.2 4.8 1.7 0 22.2 13.9 131 116 11.2 2.7
"18" "18" 2016-11-26 20.57 "OKC" "" "DET" "W" 18 1 23.95 0.375 0.375 5.6 10.3 8 5 2.2 0 0 7.7 107 97 1.6 -3.8
