"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "" 2007-11-01 23.03 "DET" "@" "MIA" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "" 2007-11-02 23.03 "DET" "@" "ORL" "W" 24 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "" 2007-11-04 23.04 "DET" "" "ATL" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "" 2007-11-08 23.05 "DET" "@" "CHI" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "" 2007-11-09 23.05 "DET" "" "LAC" "W" 24 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "" 2007-11-11 23.05 "DET" "@" "SEA" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "" 2007-11-13 23.06 "DET" "@" "POR" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "" 2007-11-14 23.06 "DET" "@" "GSW" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "1" 2007-11-16 23.07 "DET" "@" "LAL" "L" -12 0 14.7 1 1 9.1 17.2 14 0 3.7 9.7 0 3.1 202 105 4.9 6.7
"10" "2" 2007-11-18 23.07 "DET" "@" "SAC" "L" -10 0 5.98333333333333 0.568 NA 0 0 0 0 0 0 0 7.1 123 123 -0.6 -13.1
"11" "" 2007-11-21 23.08 "DET" "" "NYK" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "" 2007-11-23 23.09 "DET" "" "PHI" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "" 2007-11-25 23.09 "DET" "" "UTA" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "" 2007-11-28 23.1 "DET" "" "CLE" "W" 35 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "" 2007-12-01 23.11 "DET" "@" "MIL" "W" 26 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "" 2007-12-02 23.11 "DET" "" "NJN" "W" 23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "" 2007-12-04 23.12 "DET" "@" "ATL" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "" 2007-12-07 23.13 "DET" "" "CHI" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "" 2007-12-09 23.13 "DET" "" "CHA" "W" 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "" 2007-12-11 23.14 "DET" "@" "MEM" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "" 2007-12-12 23.14 "DET" "@" "HOU" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "" 2007-12-14 23.15 "DET" "" "ATL" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "" 2007-12-16 23.15 "DET" "" "GSW" "W" 22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "" 2007-12-19 23.16 "DET" "@" "BOS" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "" 2007-12-21 23.16 "DET" "" "MEM" "W" 27 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "" 2007-12-23 23.17 "DET" "" "HOU" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "" 2007-12-26 23.18 "DET" "@" "NJN" "W" 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "" 2007-12-28 23.18 "DET" "" "IND" "W" 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "" 2007-12-29 23.19 "DET" "@" "IND" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "" 2007-12-31 23.19 "DET" "" "MIL" "W" 45 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "" 2008-01-02 23.2 "DET" "@" "WAS" "W" 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "" 2008-01-04 23.2 "DET" "@" "TOR" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "" 2008-01-05 23.21 "DET" "" "BOS" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "" 2008-01-09 23.22 "DET" "@" "DAL" "L" -16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "" 2008-01-10 23.22 "DET" "@" "SAS" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "" 2008-01-12 23.22 "DET" "@" "CHA" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "" 2008-01-13 23.23 "DET" "@" "NYK" "L" -24 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "" 2008-01-15 23.23 "DET" "" "TOR" "W" 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "" 2008-01-18 23.24 "DET" "" "SAC" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "" 2008-01-19 23.24 "DET" "@" "CHI" "L" -16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "" 2008-01-21 23.25 "DET" "@" "ORL" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "" 2008-01-23 23.25 "DET" "@" "PHI" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"43" "" 2008-01-25 23.26 "DET" "" "ORL" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "" 2008-01-29 23.27 "DET" "@" "IND" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"45" "" 2008-01-31 23.28 "DET" "" "LAL" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" "" 2008-02-03 23.28 "DET" "" "DAL" "W" 23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"47" "" 2008-02-06 23.29 "DET" "" "MIA" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" "" 2008-02-08 23.3 "DET" "" "POR" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"49" "" 2008-02-10 23.3 "DET" "" "CHA" "W" 26 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" "" 2008-02-12 23.31 "DET" "@" "ATL" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"51" "" 2008-02-13 23.31 "DET" "" "IND" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"52" "" 2008-02-19 23.33 "DET" "" "ORL" "L" -18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"53" "" 2008-02-20 23.33 "DET" "@" "MIL" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"54" "" 2008-02-22 23.34 "DET" "" "MIL" "W" 27 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"55" "" 2008-02-24 23.34 "DET" "@" "PHO" "W" 30 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"56" "" 2008-02-25 23.35 "DET" "@" "DEN" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"57" "" 2008-02-27 23.35 "DET" "@" "UTA" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"58" "" 2008-03-01 23.36 "DET" "@" "LAC" "W" 30 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"59" "" 2008-03-04 23.37 "DET" "" "SEA" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"60" "" 2008-03-05 23.37 "DET" "@" "BOS" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"61" "" 2008-03-07 23.38 "DET" "@" "NYK" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"62" "" 2008-03-09 23.38 "DET" "" "CHI" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"63" "" 2008-03-12 23.39 "DET" "" "PHI" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"64" "" 2008-03-14 23.39 "DET" "" "SAS" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"65" "" 2008-03-16 23.4 "DET" "" "NOH" "W" 21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"66" "" 2008-03-18 23.41 "DET" "" "DEN" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"67" "" 2008-03-19 23.41 "DET" "@" "CLE" "L" -16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"68" "" 2008-03-23 23.42 "DET" "@" "WAS" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"69" "" 2008-03-24 23.42 "DET" "" "PHO" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"70" "" 2008-03-26 23.43 "DET" "@" "TOR" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"71" "" 2008-03-27 23.43 "DET" "" "MIA" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"72" "" 2008-03-29 23.44 "DET" "" "CLE" "W" 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"73" "3" 2008-04-01 23.44 "DET" "@" "MIN" "W" 4 0 5.5 1 1 34.9 22.4 29.4 0 0 0 0 17 204 104 4.7 14.4
"74" "" 2008-04-04 23.45 "DET" "" "NJN" "W" 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"75" "4" 2008-04-06 23.46 "DET" "@" "MIA" "W" 16 0 5.15 0 0 0 0 0 0 0 0 50 20.4 0 101 -2.5 -33.3
"76" "" 2008-04-08 23.46 "DET" "" "NYK" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"77" "" 2008-04-09 23.47 "DET" "@" "PHI" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"78" "" 2008-04-11 23.47 "DET" "" "WAS" "W" 28 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"79" "" 2008-04-13 23.48 "DET" "" "TOR" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"80" "" 2008-04-15 23.48 "DET" "" "MIN" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"81" "" 2008-04-16 23.48 "DET" "@" "CLE" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"1" "" 2008-10-29 24.02 "DET" "" "IND" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "" 2008-11-01 24.03 "DET" "" "WAS" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "" 2008-11-05 24.04 "DEN" "@" "GSW" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "" 2008-11-07 24.04 "DEN" "" "DAL" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "1" 2008-11-09 24.05 "DEN" "" "MEM" "W" 10 0 1.28333333333333 0 0 0 0 0 0 0 0 0 62.4 0 95 -1.4 -59
"6" "2" 2008-11-11 24.05 "DEN" "@" "CHA" "W" 8 0 4.4 0 0 57.4 0 30.7 0 0 0 0 33 45 101 -0.7 -29
