"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1985-10-25 22.89 "UTA" "" "HOU" "L" -4 0 8 0 0 0 14.6 7.4 14.3 0 6.7 0 15.7 20 111 -0.4 -9.2
"2" "2" 1985-10-29 22.9 "UTA" "@" "SAS" "L" -12 0 9 0.377 0.25 0 21.8 11.3 42.5 0 6.1 0 28.2 99 111 3.2 1.2
"3" "3" 1985-10-30 22.9 "UTA" "" "SAS" "W" 2 0 3 NA NA 0 42.1 18.8 0 0 0 NA 0 0 98 0.3 -4.2
"4" "4" 1985-11-01 22.91 "UTA" "" "PHO" "W" 11 0 9 0.333 0.333 32.7 13 23.7 14.7 9.1 0 25 32 74 83 2.5 -5.6
"5" "5" 1985-11-02 22.91 "UTA" "@" "POR" "L" -20 0 16 0.333 0.333 22 10.3 15.2 0 7.8 0 60 34.6 35 97 -4.3 -20.9
"6" "6" 1985-11-05 22.92 "UTA" "" "GSW" "W" 19 0 5 1.042 1 0 0 0 32.2 9.5 0 0 24.3 217 89 6.7 33.9
"7" "7" 1985-11-09 22.93 "UTA" "" "CLE" "W" 7 0 2 NA NA 0 0 0 0 0 0 NA 0 0 110 0 -6
"8" "8" 1985-11-12 22.94 "UTA" "@" "LAL" "L" -9 0 1 NA NA 0 0 0 0 0 0 NA 0 0 128 0 -4.1
"9" "9" 1985-11-13 22.94 "UTA" "" "DAL" "L" -15 0 9 0.814 0.8 43.7 26.7 37 0 0 6.3 0 26.5 174 102 13.1 33.9
"10" "10" 1985-11-15 22.95 "UTA" "" "POR" "W" 15 0 26 0.63 0.667 8 9.2 8.6 19.5 5 2 29.6 9.4 115 102 9.5 5.3
"11" "11" 1985-11-16 22.95 "UTA" "@" "SAC" "W" 4 0 13 0 0 0 17.6 8.5 0 3.7 0 66.7 9.9 0 94 -3.1 -16.7
"12" "12" 1985-11-20 22.96 "UTA" "@" "BOS" "L" -9 0 20 0.532 0 5.5 4.8 5.1 0 4.9 2.8 34.7 6.4 89 101 2.4 -2
"13" "13" 1985-11-22 22.97 "UTA" "@" "CLE" "W" 8 0 2 0 0 63.2 0 28.2 52.2 0 0 50 40.4 54 115 -0.7 -29.1
"14" "14" 1985-11-25 22.98 "UTA" "@" "IND" "W" 1 0 7 0 0 18.5 0 9.1 16.7 13.9 0 0 6.2 87 82 2.7 13.2
"15" "15" 1985-11-27 22.98 "UTA" "" "CHI" "W" 18 0 21 0.694 0.667 6.2 14.6 10.9 24.4 2.2 11.7 18.8 10.6 132 85 10.7 13.6
"16" "16" 1985-11-29 22.99 "UTA" "" "DEN" "L" -15 0 12 0.694 0.5 0 22.2 10.3 9.3 3.5 4.6 25.8 12.8 110 108 4.2 0.1
"17" "17" 1985-11-30 22.99 "UTA" "@" "GSW" "W" 1 0 17 0.512 0.5 13.1 9.4 11 17.5 2.6 14.4 45 21.1 70 78 5.7 8.2
"18" "18" 1985-12-02 22.99 "UTA" "" "GSW" "W" 3 0 7 0.347 0 0 34.3 14.4 15.9 0 0 25.8 21 69 95 0.1 -12.2
"19" "19" 1985-12-04 23 "UTA" "" "LAL" "L" -4 0 5 0 0 20 0 10 0 0 0 33.3 24 25 120 -2.5 -32
"20" "20" 1985-12-06 23.01 "UTA" "@" "PHO" "L" -19 0 9 0.25 0.25 9.9 34.4 18.8 34.8 0 6.8 42.9 30.5 45 103 -0.4 -10.9
"21" "21" 1985-12-07 23.01 "UTA" "@" "LAC" "W" 40 0 6 0.945 1 48.5 29.6 36.8 50 22.8 0 38.7 51.5 118 42 11.1 42.8
"22" "22" 1985-12-10 23.02 "UTA" "@" "HOU" "L" -29 0 19 0.17 0.2 16.8 17.2 17 0 0 5 14.5 14.1 56 123 0.3 -9
"23" "23" 1985-12-11 23.02 "UTA" "" "POR" "W" 8 0 5 NA NA 0 0 0 22.9 0 0 NA 0 207 114 0.7 2.3
"24" "24" 1985-12-14 23.03 "UTA" "" "HOU" "W" 14 0 2 0.333 0.333 0 0 0 0 0 0 0 56.2 80 107 0.3 -19
"25" "25" 1985-12-17 23.04 "UTA" "@" "WSB" "W" 8 0 1 NA NA 0 0 0 0 0 0 NA 0 0 110 0 -7.6
"26" "26" 1985-12-18 23.04 "UTA" "@" "NJN" "L" -15 0 26 0.519 0.429 11.3 18 14.4 11.7 1.8 2.1 17.2 18.1 103 108 9.5 3.6
"27" "27" 1985-12-20 23.04 "UTA" "@" "PHI" "L" -7 0 1 NA NA 0 0 0 0 0 0 NA 0 0 121 0 -7.2
