"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1988-11-04 22.62 "BOS" "" "NYK" "W" 7 0 27 0.444 0.429 4.2 19.2 12 36.4 0 2.1 20.2 14.6 103 102 9.4 3.8
"2" "2" 1988-11-05 22.62 "BOS" "@" "PHI" "L" -14 0 24 0.508 0.429 4.5 0 2.4 21.1 0 0 38.8 21.6 75 126 1.2 -13
"3" "3" 1988-11-09 22.64 "BOS" "" "CHI" "L" -6 1 31 0.643 0.643 3.7 12.2 7.7 32 1.6 0 17.6 23 111 114 14 3.6
"4" "4" 1988-11-11 22.64 "BOS" "" "DET" "L" -9 1 34 0.305 0.231 0 4 2 34.6 0 2 6.3 21.3 81 122 6.2 -4.8
"5" "5" 1988-11-12 22.64 "BOS" "@" "MIL" "L" -8 1 34 0.533 0.5 0 9 4.7 24 1.4 0 32.2 14.6 87 106 5.9 -0.9
"6" "6" 1988-11-15 22.65 "BOS" "@" "MIA" "W" 19 1 29 0 0 4.1 8.6 6.8 36.2 0 0 25 11.9 46 78 -0.1 -7.1
"7" "7" 1988-11-16 22.65 "BOS" "" "GSW" "W" 3 1 24 0.405 0.333 4.7 14 9.3 10.3 0 2.4 9.2 19 96 109 4.8 -4.7
"8" "8" 1988-11-18 22.66 "BOS" "" "WSB" "W" 6 0 21 0.333 0.333 6.5 0 3 25.8 2.4 2.7 0 12.7 101 115 4.6 -0.7
"9" "9" 1988-11-19 22.66 "BOS" "@" "WSB" "L" -4 0 16 0.621 0.333 0 0 0 36.4 9.6 0 26.2 22.1 112 103 8.7 12.1
"10" "10" 1988-11-22 22.67 "BOS" "" "CLE" "L" -12 0 16 0.286 0.286 0 20.7 8.6 42.9 0 0 30 28.5 61 126 0.6 -10.8
"11" "11" 1988-11-23 22.67 "BOS" "" "CHH" "W" 5 0 26 0.457 0.286 15 11.9 13.6 17.5 2 2.4 10.2 15.7 127 118 9.7 -0.7
"12" "12" 1988-11-25 22.68 "BOS" "" "MIL" "W" 19 0 15 0.333 0.333 9.7 24.6 17.8 23.1 0 4 14.3 21.3 98 107 3.2 -7.9
"13" "13" 1988-11-26 22.68 "BOS" "@" "ATL" "L" -13 0 22 0.333 0.333 4.8 4.5 4.6 33 0 0 18.2 22 79 126 1.5 -9.8
"14" "14" 1988-11-29 22.69 "BOS" "@" "NJN" "W" 7 1 27 0.635 0.571 6.1 16.2 12.2 57.7 3.7 2.1 38.8 22.1 108 92 13.6 12.1
"15" "15" 1988-11-30 22.69 "BOS" "" "NJN" "W" 33 1 40 0.594 0.538 13.3 8.6 11 27.5 4.8 1.6 6.5 14.7 149 99 25 11.4
"16" "16" 1988-12-02 22.7 "BOS" "@" "CLE" "L" -28 1 40 0.304 0.304 5.6 17.9 10.8 14.1 1.2 0 8 23.4 75 111 4 -5
"17" "17" 1988-12-06 22.71 "BOS" "@" "CHI" "L" -5 1 43 0.429 0.429 0 0 0 14.4 0 0 12.5 8.7 101 130 2.8 -7.7
"18" "18" 1988-12-07 22.71 "BOS" "" "ATL" "L" -3 0 29 0.381 0.286 4 18.8 11.7 47.7 1.7 0 27.6 15.5 95 108 7.9 0.3
"19" "19" 1988-12-09 22.72 "BOS" "" "PHI" "W" 14 0 12 1 1 10.5 21.1 15.8 18.6 4.2 6.3 40 17.9 119 100 5.9 8.3
"20" "20" 1988-12-13 22.73 "BOS" "@" "WSB" "L" -10 0 11 0.333 0.333 10.6 23.6 16.8 21.5 0 0 50 22.4 55 116 -1.2 -16.3
"21" "21" 1988-12-14 22.73 "BOS" "" "UTA" "W" 8 0 21 0.615 0.5 10.9 5.6 8.3 42.3 2.3 0 9.3 21.3 140 106 13.4 9.8
"22" "22" 1988-12-16 22.74 "BOS" "" "LAL" "W" 14 0 17 0.233 0.167 0 17.6 9.3 38.3 3 0 23.7 21.1 73 99 2.5 -4.5
"23" "23" 1988-12-18 22.74 "BOS" "" "NYK" "W" 13 0 23 0.857 0.857 0 5.1 3 51.4 0 0 22.2 16.9 143 113 12.2 9.3
"24" "24" 1988-12-21 22.75 "BOS" "" "CLE" "L" -1 0 24 0.25 0.25 11.1 0 7.7 21.1 4.3 0 7.7 21.5 85 120 4.3 -5.3
"25" "25" 1988-12-27 22.77 "BOS" "@" "DEN" "L" -21 0 23 0.602 0.588 3.8 14.2 8.4 25.9 5.4 2.2 5.4 28.3 125 104 18.3 14.9
"26" "26" 1988-12-29 22.77 "BOS" "@" "DAL" "L" -16 0 22 0.463 0.333 19.8 11.8 16.2 39.1 4.5 0 36.7 25.4 93 130 9.4 0.9
"27" "27" 1988-12-30 22.78 "BOS" "@" "SAS" "W" 13 0 13 0.205 0 0 17.6 8.2 36.9 0 0 55.1 16.2 50 105 -0.4 -10.2
"28" "28" 1989-01-03 22.79 "BOS" "@" "NYK" "L" -2 0 16 0.5 0.5 15.1 5.6 9.6 18.6 0 0 50 10.8 80 111 1.3 -5.1
"29" "29" 1989-01-04 22.79 "BOS" "" "PHO" "L" -2 0 23 1 1 4.4 9.9 7 41 0 2.4 50 14.2 107 111 8.9 3.7
"30" "30" 1989-01-06 22.79 "BOS" "" "CHH" "W" 23 0 17 0.833 0.833 9.1 21.7 16.1 9.1 2.9 0 0 15.1 170 94 9.9 7.4
"31" "31" 1989-01-09 22.8 "BOS" "" "LAC" "W" 35 0 25 0.387 0.333 4.1 0 2 18.7 0 0 34 8.8 82 88 2.4 -4.2
"32" "32" 1989-01-11 22.81 "BOS" "" "IND" "L" -19 0 23 0.336 0.286 7.9 14.9 10.3 26.2 4.1 0 11.8 13.8 98 120 6.6 1.1
"33" "33" 1989-01-12 22.81 "BOS" "@" "NJN" "W" 3 0 18 0.174 0 0 14 7.6 12.4 0 0 25.8 10 55 118 -0.2 -12.5
"34" "34" 1989-01-15 22.82 "BOS" "@" "CHI" "L" -6 0 10 0.4 0.4 8.6 13.3 10.4 52.6 0 0 37.5 34.7 68 117 1.4 -8.5
"35" "35" 1989-01-16 22.82 "BOS" "@" "DET" "L" -9 0 12 0 0 8 8.9 8.4 11.8 0 0 25 14.2 24 107 -3 -18.2
"36" "36" 1989-01-18 22.83 "BOS" "@" "PHI" "L" -11 0 14 0.291 0.167 8.6 8.2 8.4 18.3 0 0 30.4 32 61 134 -0.8 -22.1
"37" "37" 1989-01-20 22.83 "BOS" "" "PHI" "W" 8 0 22 0.507 0.5 21.8 6.1 11.7 35.1 0 0 31.1 28 99 129 6.1 -6.9
"38" "38" 1989-01-22 22.84 "BOS" "" "DET" "W" 13 1 20 0.51 0.4 0 5.3 2.9 19.9 0 0 0 12.2 133 109 3.3 -5.1
"39" "39" 1989-01-25 22.85 "BOS" "@" "IND" "L" -9 1 23 0.429 0.429 13.6 33.4 20.6 13.6 2.3 0 22.2 17.9 87 113 5.2 -3.7
"40" "40" 1989-01-27 22.85 "BOS" "" "SAC" "W" 12 1 36 0.444 0.444 3.3 27.3 15.7 25 2.6 1.8 0 10.2 128 109 13.8 3.3
"41" "41" 1989-01-29 22.86 "BOS" "" "MIA" "W" 18 1 36 0.545 0.545 7.4 10.5 9 30 1.4 0 21.4 16.6 115 109 12.1 -2.5
"42" "42" 1989-01-31 22.86 "BOS" "@" "WSB" "L" -7 1 19 0.25 0.25 11 22 16.5 14.9 0 0 27.3 23.1 57 111 -1 -15.9
"43" "43" 1989-02-01 22.87 "BOS" "@" "CHH" "W" 13 1 34 0.412 0.429 10.9 17.6 14.4 25.3 0 0 20.2 22.2 87 93 8.3 -1.8
"44" "44" 1989-02-03 22.87 "BOS" "" "WSB" "W" 9 1 31 0.798 0.667 0 6.6 4.1 18.5 0 0 15.1 9.9 152 120 9.2 -1.2
"45" "45" 1989-02-05 22.88 "BOS" "" "SEA" "L" -2 1 22 0 0 0 5.7 2.8 18.7 0 3.1 50 8.2 35 104 -1.5 -11
"46" "46" 1989-02-08 22.88 "BOS" "" "IND" "W" 7 1 41 0.436 0.417 2.9 3.3 3 30.6 0 0 0 14.3 124 112 12.7 1.3
"47" "47" 1989-02-14 22.9 "BOS" "@" "HOU" "L" -14 1 38 0.583 0.556 0 15.8 7.6 27.5 5.9 0 34.6 14.6 93 120 12.2 0.9
"48" "48" 1989-02-16 22.91 "BOS" "@" "UTA" "L" -15 1 29 0.538 0.538 12 9.2 10.9 23.3 0 0 18.8 20.5 108 129 9.3 0.1
"49" "49" 1989-02-17 22.91 "BOS" "@" "PHO" "L" -9 1 44 0.712 0.7 5 2.3 3.6 25.9 0 0 4.4 19.5 153 137 27.7 7.1
"50" "50" 1989-02-19 22.92 "BOS" "@" "LAL" "L" -9 1 41 0.505 0.455 2.3 16.7 8.8 9 1.2 0 14.4 13.6 101 119 8.3 -5.2
"51" "51" 1989-02-21 22.92 "BOS" "@" "SEA" "L" -5 1 39 0.333 0.333 6.8 9.5 8.4 22.9 1.4 0 30.8 15.6 72 109 3.9 -5.3
"52" "52" 1989-02-22 22.92 "BOS" "@" "SAC" "W" 8 1 30 0.242 0.222 4.4 3.8 4.1 24.1 0 2.2 8.8 17.7 76 108 2.4 -7.8
