"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1980-10-11 23.45 "ATL" "" "CHI" "W" 8 0 16 0.512 0.5 NA NA NA NA NA NA NA NA NA NA -0.4 NA
"2" "2" 1980-10-14 23.45 "ATL" "" "BOS" "W" 6 0 14 0.717 0.75 NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1980-10-17 23.46 "ATL" "" "NYK" "W" 12 0 14 0.75 0.75 NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1980-10-18 23.47 "ATL" "@" "DET" "W" 2 0 17 0.667 0.667 NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1980-10-21 23.47 "ATL" "" "IND" "L" -5 0 9 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1980-10-25 23.48 "ATL" "" "PHI" "L" -13 NA 11 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1980-10-31 23.5 "ATL" "@" "PHI" "L" -11 0 3 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1980-11-22 23.56 "ATL" "" "UTA" "W" 6 0 2 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1980-11-25 23.57 "ATL" "" "POR" "W" 4 0 6 0.333 0.333 NA NA NA NA NA NA NA NA NA NA -0.9 NA
"10" "10" 1980-11-26 23.57 "ATL" "@" "IND" "L" -21 1 28 0.41 0.25 NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1980-11-29 23.58 "ATL" "" "DET" "L" -3 0 8 0.205 0 NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1980-12-02 23.59 "ATL" "" "PHI" "W" 4 0 9 0.333 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1980-12-03 23.59 "ATL" "@" "BOS" "L" -5 1 7 0.25 0.25 NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1980-12-06 23.6 "ATL" "" "DAL" "W" 6 0 6 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1980-12-09 23.61 "ATL" "" "SDC" "W" 27 0 8 0.619 0.625 NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1980-12-23 23.65 "ATL" "" "WSB" "W" 17 0 2 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1980-12-26 23.65 "ATL" "@" "NJN" "W" 13 0 3 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1980-12-30 23.67 "ATL" "" "DET" "W" 7 0 4 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1981-01-03 23.68 "ATL" "@" "NYK" "L" -36 0 11 0.3 0.286 NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1981-01-06 23.68 "ATL" "" "PHO" "L" -7 0 4 0 0 NA NA NA NA NA NA NA NA NA NA -2.9 NA
"21" "21" 1981-01-08 23.69 "ATL" "@" "MIL" "L" -3 0 7 NA NA NA NA NA NA NA NA NA NA NA NA -3.2 NA
"22" "22" 1981-01-13 23.7 "ATL" "@" "DEN" "L" -3 0 1 0 0 NA NA NA NA NA NA NA NA NA NA -0.7 NA
"23" "23" 1981-01-14 23.71 "ATL" "@" "SDC" "L" -21 0 5 0 0 NA NA NA NA NA NA NA NA NA NA -0.5 NA
"24" "24" 1981-01-16 23.71 "ATL" "@" "GSW" "W" 1 0 5 0.798 1 NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1981-01-18 23.72 "ATL" "@" "PHO" "L" -34 0 7 0.333 0.333 NA NA NA NA NA NA NA NA NA NA -1.1 NA
"26" "26" 1981-01-21 23.73 "ATL" "@" "LAL" "L" -10 0 22 0.806 0.818 NA NA NA NA NA NA NA NA NA NA 17.7 NA
"27" "27" 1981-01-23 23.73 "ATL" "" "CLE" "L" -8 0 23 0.42 0.167 NA NA NA NA NA NA NA NA NA NA 2.1 NA
"28" "28" 1981-01-24 23.73 "ATL" "" "CHI" "L" -2 0 16 0.233 0.167 NA NA NA NA NA NA NA NA NA NA -1.3 NA
"29" "29" 1981-01-27 23.74 "ATL" "" "WSB" "L" -1 0 11 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1981-01-29 23.75 "ATL" "" "NYK" "L" -3 0 9 0.307 0.25 NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1981-02-03 23.76 "ATL" "" "PHI" "L" -4 0 20 0.666 0.636 NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1981-02-06 23.77 "ATL" "@" "DAL" "W" 2 0 8 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
