"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "" 2012-11-03 21.08 "BRK" "" "TOR" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "" 2012-11-05 21.08 "BRK" "" "MIN" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "1" 2012-11-07 21.09 "BRK" "@" "MIA" "L" -30 0 12 1.136 NA 0 11.4 5 0 0 0 69.4 10.8 68 122 0.3 -8.8
"4" "2" 2012-11-09 21.1 "BRK" "@" "ORL" "W" 39 0 6.55 0.904 1.25 0 0 0 0 0 0 0 23.4 157 88 3.8 11.1
"5" "" 2012-11-11 21.1 "BRK" "" "ORL" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "3" 2012-11-13 21.11 "BRK" "" "CLE" "W" 13 0 0.5 NA NA 0 0 0 0 0 0 NA 0 0 123 0 -6.2
"7" "" 2012-11-15 21.11 "BRK" "" "BOS" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "" 2012-11-18 21.12 "BRK" "@" "SAC" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "" 2012-11-20 21.13 "BRK" "@" "LAL" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "4" 2012-11-21 21.13 "BRK" "@" "GSW" "L" -9 0 0.883333333333333 NA NA 0 0 0 0 0 0 NA 0 0 131 0 -10.5
"11" "" 2012-11-23 21.13 "BRK" "" "LAC" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "" 2012-11-25 21.14 "BRK" "" "POR" "W" 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "" 2012-11-26 21.14 "BRK" "" "NYK" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "" 2012-11-28 21.15 "BRK" "@" "BOS" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "" 2012-11-30 21.15 "BRK" "@" "ORL" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
