"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1975-10-25 23.55 "PHO" "@" "POR" "W" 1 0 27 0.337 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1975-10-26 23.56 "PHO" "@" "SEA" "L" -14 0 2 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1975-11-01 23.57 "PHO" "@" "KCK" "L" -6 0 16 0.694 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1975-11-04 23.58 "PHO" "@" "CHI" "W" 16 0 17 0.595 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1975-11-07 23.59 "PHO" "@" "PHI" "L" -4 0 19 0.665 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1975-11-08 23.59 "PHO" "@" "BUF" "L" -5 0 15 0.665 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1975-11-11 23.6 "PHO" "" "NYK" "W" 31 0 23 0.873 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1975-11-13 23.61 "PHO" "" "SEA" "W" 3 0 13 0.874 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1975-11-14 23.61 "PHO" "@" "LAL" "L" -7 0 9 0.347 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1975-11-19 23.62 "PHO" "" "MIL" "L" -2 0 18 0.2 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1975-11-21 23.63 "PHO" "" "HOU" "W" 15 0 16 0.564 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1975-11-26 23.64 "PHO" "" "BUF" "W" 1 0 23 0.687 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1975-11-28 23.65 "PHO" "" "POR" "W" 9 0 20 0.654 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1975-11-29 23.65 "PHO" "@" "GSW" "L" -12 0 10 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1975-12-02 23.66 "PHO" "" "GSW" "W" 17 0 12 0.709 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1975-12-05 23.67 "PHO" "" "WSB" "L" -5 0 20 0.546 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1975-12-07 23.67 "PHO" "" "CHI" "W" 17 0 13 0.508 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1975-12-11 23.68 "PHO" "" "PHI" "L" -4 0 12 0.611 NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1975-12-13 23.69 "PHO" "" "LAL" "W" 8 0 16 0.595 NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1975-12-14 23.69 "PHO" "@" "POR" "W" 9 0 22 0.686 NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1975-12-17 23.7 "PHO" "" "MIL" "W" 5 0 16 0.444 NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1975-12-19 23.7 "PHO" "" "CLE" "L" -4 0 19 0.375 NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1975-12-21 23.71 "PHO" "" "NOJ" "L" -13 0 32 0.719 NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1975-12-25 23.72 "PHO" "" "KCK" "W" 11 0 28 0.619 NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1975-12-26 23.72 "PHO" "" "BOS" "L" -6 0 27 0.589 NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1975-12-28 23.73 "PHO" "@" "MIL" "L" -3 0 18 0.735 NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1975-12-30 23.73 "PHO" "@" "NYK" "L" -26 0 24 0.619 NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1976-01-03 23.75 "PHO" "@" "ATL" "W" 11 0 18 0.683 NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1976-01-04 23.75 "PHO" "@" "KCK" "L" -12 0 18 0.744 NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1976-01-07 23.76 "PHO" "" "GSW" "L" -4 1 36 0.61 NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1976-01-08 23.76 "PHO" "@" "GSW" "L" -16 1 30 0.521 NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1976-01-09 23.76 "PHO" "" "SEA" "L" -2 1 38 0.625 NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "33" 1976-01-11 23.77 "PHO" "" "NYK" "L" -1 1 35 0.484 NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "34" 1976-01-15 23.78 "PHO" "" "BUF" "L" -7 1 29 0.626 NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "35" 1976-01-17 23.78 "PHO" "@" "CLE" "L" -20 1 27 0.412 NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "36" 1976-01-18 23.79 "PHO" "@" "DET" "W" 4 1 40 0.664 NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "37" 1976-01-20 23.79 "PHO" "@" "BUF" "L" -9 1 30 0.392 NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "38" 1976-01-21 23.79 "PHO" "@" "BOS" "L" -14 1 28 0.588 NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "39" 1976-01-23 23.8 "PHO" "" "HOU" "W" 9 0 18 0.698 NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "40" 1976-01-24 23.8 "PHO" "" "WSB" "L" -16 0 15 0.255 NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "41" 1976-01-28 23.81 "PHO" "@" "LAL" "L" -3 0 15 0.68 NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "42" 1976-01-29 23.82 "PHO" "" "MIL" "L" -9 1 30 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"43" "43" 1976-01-31 23.82 "PHO" "" "PHI" "W" 14 1 36 0.578 NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "44" 1976-02-06 23.84 "BUF" "" "MIL" "W" 5 1 38 0.578 NA NA NA NA NA NA NA NA NA NA NA NA NA
"45" "45" 1976-02-08 23.84 "BUF" "@" "PHI" "L" -3 1 31 0.6 NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" "46" 1976-02-10 23.85 "BUF" "" "WSB" "W" 10 1 40 0.688 NA NA NA NA NA NA NA NA NA NA NA NA NA
"47" "47" 1976-02-13 23.86 "BUF" "@" "KCK" "W" 5 1 25 0.507 NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" "48" 1976-02-14 23.86 "BUF" "" "CLE" "L" -3 1 39 0.77 NA NA NA NA NA NA NA NA NA NA NA NA NA
"49" "49" 1976-02-15 23.86 "BUF" "@" "ATL" "L" -8 1 22 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" "50" 1976-02-17 23.87 "BUF" "" "POR" "W" 3 1 27 0.8 NA NA NA NA NA NA NA NA NA NA NA NA NA
"51" "51" 1976-02-21 23.88 "BUF" "" "DET" "L" -2 1 28 0.644 NA NA NA NA NA NA NA NA NA NA NA NA NA
"52" "52" 1976-02-24 23.89 "BUF" "@" "NYK" "W" 6 1 27 0.317 NA NA NA NA NA NA NA NA NA NA NA NA NA
"53" "53" 1976-02-25 23.89 "BUF" "" "SEA" "L" -32 0 31 0.571 NA NA NA NA NA NA NA NA NA NA NA NA NA
"54" "54" 1976-02-27 23.9 "BUF" "" "HOU" "L" -6 1 NA 0.609 NA NA NA NA NA NA NA NA NA NA NA NA NA
"55" "55" 1976-03-02 23.91 "BUF" "" "GSW" "L" -7 1 32 0.45 NA NA NA NA NA NA NA NA NA NA NA NA NA
"56" "56" 1976-03-06 23.92 "BUF" "" "PHI" "W" 6 1 32 0.751 NA NA NA NA NA NA NA NA NA NA NA NA NA
"57" "57" 1976-03-10 23.93 "BUF" "@" "NOJ" "W" 15 1 NA 0.826 NA NA NA NA NA NA NA NA NA NA NA NA NA
"58" "58" 1976-03-12 23.93 "BUF" "" "HOU" "L" -13 1 NA 0.888 NA NA NA NA NA NA NA NA NA NA NA NA NA
"59" "59" 1976-03-14 23.94 "BUF" "@" "LAL" "L" -28 1 27 0.644 NA NA NA NA NA NA NA NA NA NA NA NA NA
"60" "60" 1976-03-16 23.95 "BUF" "@" "POR" "W" 17 1 32 0.487 NA NA NA NA NA NA NA NA NA NA NA NA NA
"61" "61" 1976-03-17 23.95 "BUF" "@" "SEA" "L" -11 1 36 0.595 NA NA NA NA NA NA NA NA NA NA NA NA NA
"62" "62" 1976-03-18 23.95 "BUF" "@" "GSW" "L" -1 1 37 0.461 NA NA NA NA NA NA NA NA NA NA NA NA NA
"63" "63" 1976-03-20 23.96 "BUF" "" "NOJ" "W" 14 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"64" "64" 1976-03-21 23.96 "BUF" "@" "DET" "L" -6 1 39 0.518 NA NA NA NA NA NA NA NA NA NA NA NA NA
"65" "65" 1976-03-23 23.96 "BUF" "" "CHI" "W" 13 1 42 0.694 NA NA NA NA NA NA NA NA NA NA NA NA NA
"66" "66" 1976-03-25 23.97 "BUF" "@" "CLE" "W" 15 1 39 0.798 NA NA NA NA NA NA NA NA NA NA NA NA NA
"67" "67" 1976-03-26 23.97 "BUF" "@" "MIL" "L" -31 1 19 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"68" "68" 1976-03-28 23.98 "BUF" "@" "WSB" "L" -23 1 30 0.392 NA NA NA NA NA NA NA NA NA NA NA NA NA
"69" "69" 1976-03-30 23.98 "BUF" "" "BOS" "W" 10 1 33 0.656 NA NA NA NA NA NA NA NA NA NA NA NA NA
"70" "70" 1976-03-31 23.99 "BUF" "@" "PHI" "L" -4 1 NA 0.741 NA NA NA NA NA NA NA NA NA NA NA NA NA
"71" "71" 1976-04-02 23.99 "BUF" "" "ATL" "W" 8 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"72" "72" 1976-04-04 24 "BUF" "@" "BOS" "W" 3 1 39 0.268 NA NA NA NA NA NA NA NA NA NA NA NA NA
"73" "73" 1976-04-06 24 "BUF" "" "NYK" "L" -4 1 30 0.635 NA NA NA NA NA NA NA NA NA NA NA NA NA
"74" "74" 1976-04-08 24.01 "BUF" "@" "NYK" "W" 7 1 32 0.669 NA NA NA NA NA NA NA NA NA NA NA NA NA
"75" "75" 1976-04-11 24.01 "BUF" "" "KCK" "W" 1 1 35 0.904 NA NA NA NA NA NA NA NA NA NA NA NA NA
"1" "1" 1976-10-21 24.54 "BUF" "@" "MIL" "W" 21 1 35 0.576 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1976-10-23 24.55 "BUF" "" "PHI" "W" 3 1 38 0.515 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1976-10-26 24.56 "BUF" "@" "NYK" "L" -14 1 39 0.34 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1976-10-28 24.56 "BUF" "@" "BOS" "L" -7 1 45 0.447 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1976-10-30 24.57 "BUF" "" "CLE" "L" -4 1 42 0.7 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1976-11-03 24.58 "BUF" "@" "NYN" "L" -4 1 40 0.457 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1976-11-05 24.58 "BUF" "@" "DET" "W" 14 1 42 0.55 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1976-11-06 24.59 "BUF" "" "HOU" "W" 15 1 NA 0.799 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1976-11-09 24.59 "BUF" "" "LAL" "W" 5 1 46 0.564 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1976-11-11 24.6 "BUF" "" "DEN" "W" 11 1 42 0.491 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1976-11-13 24.61 "BUF" "" "BOS" "W" 11 1 41 0.693 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1976-11-16 24.61 "BUF" "@" "SAS" "L" -2 1 41 0.71 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1976-11-17 24.62 "BUF" "@" "HOU" "L" -6 1 49 0.507 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1976-11-19 24.62 "BUF" "@" "SEA" "L" -29 1 41 0.624 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1976-11-20 24.62 "BUF" "@" "GSW" "L" -37 1 33 0.601 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1976-11-21 24.63 "BUF" "@" "POR" "L" -23 1 32 0.46 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1976-11-23 24.63 "BUF" "" "SAS" "L" -7 1 36 0.644 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1976-11-26 24.64 "BUF" "" "DET" "W" 5 1 43 0.582 NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1976-11-27 24.64 "BUF" "@" "ATL" "L" -7 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1976-11-28 24.65 "BUF" "@" "NOJ" "L" -9 1 32 0.645 NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1976-11-30 24.65 "BUF" "" "SEA" "W" 5 1 40 0.765 NA NA NA NA NA NA NA NA NA NA NA NA NA
