"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2016-10-26 22.57 "TOR" "" "DET" "W" 18 1 21.7333333333333 1 1 9.6 34.4 21.8 0 2.3 0 0 4 203 90 7.1 6.4
"2" "2" 2016-10-28 22.57 "TOR" "" "CLE" "L" -3 1 14.9166666666667 0.5 0.5 19.7 0 10.6 0 3.4 0 33.3 16.7 83 102 1.9 -5.6
"3" "3" 2016-10-31 22.58 "TOR" "" "DEN" "W" 3 1 15.15 0.25 0.25 6.9 22.1 14.2 0 0 0 0 12 72 115 0 -12.8
"4" "4" 2016-11-02 22.59 "TOR" "@" "WAS" "W" 10 1 17.7666666666667 0.5 0.5 0 24.6 12.1 0 2.8 0 20 13.4 75 108 1.7 -7.9
"5" "5" 2016-11-04 22.59 "TOR" "" "MIA" "W" 9 1 16.25 0.667 0.667 6.7 12.1 9.5 0 0 0 14.3 19.3 118 101 5.7 2
"6" "6" 2016-11-06 22.6 "TOR" "" "SAC" "L" -5 1 23.9833333333333 0.536 0.5 12.8 14 13.3 9.1 0 3.2 0 18 125 114 8.4 0.3
"7" "7" 2016-11-09 22.61 "TOR" "@" "OKC" "W" 10 1 12.7166666666667 0.667 0.667 0 38.7 20.4 0 0 18.9 0 10.9 130 99 4.9 4.9
"8" "8" 2016-11-11 22.61 "TOR" "@" "CHO" "W" 2 1 10.7166666666667 0 0 9.5 0 4.4 0 0 0 0 17.1 24 129 -3.3 -26.9
"9" "9" 2016-11-12 22.61 "TOR" "" "NYK" "W" 11 1 20.25 0.827 0.8 0 9.5 5.1 0 2.4 0 15.5 13.8 134 110 6.9 1.5
"10" "10" 2016-11-15 22.62 "TOR" "@" "CLE" "L" -4 1 15.85 0.8 0.8 12.6 8 10.6 17.9 0 18.2 16.7 16.2 146 118 8.3 6.2
"11" "11" 2016-11-16 22.62 "TOR" "" "GSW" "L" -6 1 29.75 0.5 0.5 15.7 20.2 17.9 0 1.6 0 9.1 15.6 114 127 7.7 -3.9
"12" "12" 2016-11-18 22.63 "TOR" "@" "DEN" "W" 2 1 23.1 0.667 0.667 4.1 9.8 6.7 0 2.1 0 0 11.6 132 101 6.9 1.7
