"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1964-10-17 21.27 "STL" "" "CIN" "W" 3 NA 24 0.605 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1964-10-24 21.28 "STL" "" "PHI" "W" 40 NA 10 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1964-10-27 21.29 "STL" "" "PHI" "L" -19 NA 10 0.196 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1964-10-28 21.3 "STL" "" "BOS" "L" -2 NA 11 0.282 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1964-10-30 21.3 "STL" "@" "CIN" "L" -1 NA NA 0.196 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1964-10-31 21.3 "STL" "" "DET" "W" 8 NA 5 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1964-11-01 21.31 "STL" "@" "LAL" "W" 1 NA 6 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1964-11-04 21.32 "STL" "@" "SFW" "W" 1 NA 10 0.51 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1964-11-07 21.32 "STL" "" "BAL" "W" 35 NA 27 0.636 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1964-11-11 21.33 "STL" "" "CIN" "L" -2 NA 14 0.436 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1964-11-13 21.34 "STL" "@" "CIN" "L" -17 NA 16 0.193 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1964-11-14 21.34 "STL" "" "SFW" "W" 14 NA 15 0.667 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1964-11-17 21.35 "STL" "" "PHI" "W" 7 NA 17 0.155 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1964-11-18 21.35 "STL" "@" "BOS" "L" -3 NA 5 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1964-11-20 21.36 "STL" "@" "PHI" "W" 3 NA 11 0.113 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1964-11-21 21.36 "STL" "" "DET" "W" 6 NA 22 0.322 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1964-11-24 21.37 "STL" "" "BAL" "L" -1 NA 8 0.102 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1964-11-26 21.38 "STL" "" "BOS" "W" 12 NA 8 0.387 NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1964-11-28 21.38 "STL" "@" "NYK" "L" -15 NA 18 0.515 NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1964-11-29 21.38 "STL" "" "PHI" "L" -3 NA 14 0.375 NA NA NA NA NA NA NA NA NA NA NA NA NA
