"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "" 2001-10-30 21.41 "WAS" "@" "NYK" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "1" 2001-11-01 21.42 "WAS" "@" "ATL" "W" 10 0 0.166666666666667 NA NA 0 0 0 0 0 0 NA 0 0 107 0 -5.5
"3" "2" 2001-11-03 21.42 "WAS" "" "PHI" "W" 14 0 0.65 NA NA 0 0 0 0 0 0 NA 0 0 100 0 -7.8
"4" "3" 2001-11-04 21.42 "WAS" "@" "DET" "L" -22 0 14.6333333333333 0.4 0.4 0 8.2 3.5 11.6 0 11.2 0 15.7 86 98 3.3 2.8
"5" "4" 2001-11-07 21.43 "WAS" "@" "BOS" "L" -9 0 11.85 0 0 0 28.6 14.6 0 0 5.8 0 8.2 0 112 -0.6 -10.2
"6" "5" 2001-11-09 21.44 "WAS" "" "GSW" "L" -9 0 16.6333333333333 0.694 0.5 0 0 0 10.7 0 0 14.8 18.6 125 118 4.1 -4.2
"7" "6" 2001-11-11 21.44 "WAS" "" "SEA" "L" -15 0 20.9666666666667 0.838 0.833 15.6 11.4 13.6 0 0 0 11.4 18.5 150 112 11.7 8.7
"8" "7" 2001-11-14 21.45 "WAS" "" "MIL" "L" -9 1 36.5 0.563 0.5 0 20.9 9.8 11 1.5 0 31.1 8.2 92 120 3.2 -4.5
"9" "8" 2001-11-16 21.46 "WAS" "" "UTA" "L" -9 1 16.5166666666667 0.515 0.333 10.9 8.8 10.1 9.7 3.3 0 0 10.1 142 117 4.9 1.1
"10" "9" 2001-11-20 21.47 "WAS" "" "CHH" "L" -7 1 4.31666666666667 NA NA 0 0 0 0 0 16.2 NA 0 0 112 0.7 8
"11" "" 2001-11-22 21.47 "WAS" "@" "IND" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "10" 2001-11-24 21.48 "WAS" "" "BOS" "W" 4 0 0.116666666666667 NA NA 0 0 0 0 0 0 NA 0 0 93 0 -5.7
"13" "" 2001-12-16 21.54 "WAS" "@" "TOR" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "11" 2001-12-19 21.55 "WAS" "" "ATL" "W" 27 0 6.31666666666667 0 0 0 0 0 0 28.1 0 50 31.7 0 45 -0.8 -11.9
"15" "" 2001-12-21 21.55 "WAS" "@" "ORL" "W" 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "" 2001-12-22 21.56 "WAS" "@" "NYK" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "" 2001-12-26 21.57 "WAS" "@" "CHH" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "12" 2001-12-27 21.57 "WAS" "@" "IND" "L" -27 0 12 0.515 0.333 8 9.1 8.5 14.8 0 0 20.5 18.5 101 125 3 -2.3
"19" "" 2001-12-29 21.58 "WAS" "" "CHH" "W" 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "13" 2001-12-31 21.58 "WAS" "" "NJN" "W" 22 0 2.45 0.694 0.5 100 0 52.2 0 0 0 0 63.2 176 97 4.4 46
"21" "14" 2002-01-04 21.59 "WAS" "" "CHI" "W" 6 0 1.95 NA NA 0 0 0 0 0 0 NA 0 0 106 0 -7.5
"22" "" 2002-01-08 21.6 "WAS" "" "LAC" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "15" 2002-01-11 21.61 "WAS" "@" "MIL" "L" -19 0 12 0.333 0.333 17.4 11.1 14.6 0 4.7 0 0 11.1 104 117 2.6 -4.6
"24" "" 2002-01-12 21.61 "WAS" "" "MIN" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "16" 2002-01-15 21.62 "WAS" "" "SAS" "L" -5 0 8.3 0 0 0 0 0 0 0 0 0 11.1 0 118 -1.4 -14.5
"26" "17" 2002-01-16 21.62 "WAS" "@" "NJN" "L" -44 0 29.45 0.419 0.423 8.7 8.9 8.8 17.7 0 0 17.3 25.1 84 127 5.2 -2.3
"27" "18" 2002-01-19 21.63 "WAS" "@" "CHI" "W" 8 0 0.333333333333333 NA NA 0 0 0 0 0 0 NA 0 0 100 0 -4.8
"28" "19" 2002-01-21 21.64 "WAS" "@" "MIN" "L" -4 0 0.116666666666667 NA NA 0 0 0 0 0 0 NA 0 0 127 0 -6.9
"29" "20" 2002-01-22 21.64 "WAS" "" "PHI" "L" -7 0 3.85 0 0 0 0 0 0 0 0 50 23.3 0 118 -2.5 -43.3
"30" "21" 2002-01-24 21.65 "WAS" "" "CLE" "W" 9 0 0.633333333333333 NA NA 0 0 0 0 0 0 NA 0 0 116 0 -7.3
"31" "22" 2002-01-26 21.65 "WAS" "" "PHO" "W" 10 0 10.1 1.042 1 13 0 5.9 0 5.2 0 25.8 17.2 149 110 5.7 9.3
"32" "" 2002-01-29 21.66 "WAS" "" "DET" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "23" 2002-04-03 21.84 "WAS" "@" "MIL" "L" -15 0 8.2 0 0 34.3 0 17.6 17.1 0 0 0 11.8 78 127 0.7 -6.6
"34" "24" 2002-04-05 21.84 "WAS" "@" "CHH" "L" -6 0 13.0833333333333 0.512 0.625 0 21.7 9.2 0 4 0 17 19.4 83 99 1.2 -3.8
"35" "25" 2002-04-06 21.84 "WAS" "" "MEM" "W" 3 0 9.05 0.436 0.417 9.5 32 20.1 21.1 5.9 0 0 32.8 106 81 5.5 15.9
"36" "26" 2002-04-09 21.85 "WAS" "@" "NJN" "L" -13 0 27 0.5 0.5 4.8 16.9 11.3 26.9 0 0 0 6.8 140 117 5.9 1.6
"37" "27" 2002-04-10 21.85 "WAS" "" "PHI" "W" 13 0 18.65 0.615 0.5 11.8 0 6 0 3 3.8 0 12.2 149 94 6.3 5.2
"38" "28" 2002-04-12 21.86 "WAS" "@" "PHI" "L" -9 0 9.28333333333333 1.136 NA 0 0 0 0 0 0 0 4.8 250 126 1.6 -4.4
"39" "29" 2002-04-14 21.87 "WAS" "" "IND" "L" -6 0 17.6166666666667 0.462 0.462 17.8 7.8 13.5 0 3.2 0 0 34.4 108 104 8.7 7
"40" "30" 2002-04-16 21.87 "WAS" "" "NYK" "W" 4 0 26.9833333333333 0.689 0.75 8.7 4.6 6.7 11.3 3.9 0 8.4 18.8 132 120 13.7 6.2
"1" "" 2002-12-28 22.57 "WAS" "" "ATL" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "1" 2002-12-30 22.58 "WAS" "@" "ORL" "L" -17 0 1.8 NA NA 0 0 0 0 0 0 NA 0 0 128 0 -4.5
"3" "" 2002-12-31 22.58 "WAS" "" "SAS" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "2" 2003-01-02 22.59 "WAS" "@" "CHI" "W" 25 0 2.61666666666667 1.136 NA 0 0 0 0 0 0 0 26.8 250 96 4 32.3
"5" "3" 2003-01-04 22.59 "WAS" "" "IND" "W" 3 0 1.13333333333333 1 1 100 0 62.4 0 0 0 50 96.4 109 110 1 -9.2
"6" "4" 2003-01-06 22.6 "WAS" "@" "BOS" "W" 5 0 0.0166666666666667 NA NA 0 0 0 0 0 0 NA 0 0 111 0 -6.6
"7" "" 2003-01-08 22.6 "WAS" "" "CHI" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "" 2003-01-10 22.61 "WAS" "" "GSW" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "" 2003-01-11 22.61 "WAS" "@" "NYK" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "" 2003-01-14 22.62 "WAS" "" "TOR" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "5" 2003-01-16 22.62 "WAS" "" "ORL" "W" 15 0 2.41666666666667 1 1 58.5 63.2 60.8 0 0 0 0 23.1 202 98 2.7 26.2
"12" "6" 2003-01-18 22.63 "WAS" "" "PHI" "L" -8 0 1 NA NA 0 0 0 0 0 0 NA 0 0 112 0 -7.9
"13" "7" 2003-01-20 22.64 "WAS" "" "DEN" "W" 15 0 0.966666666666667 1 1 0 0 0 0 0 0 0 49.5 200 97 1.7 47.6
"14" "" 2003-01-22 22.64 "WAS" "@" "NOH" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "8" 2003-01-24 22.65 "WAS" "@" "CHI" "L" -7 0 0.133333333333333 NA NA 0 0 0 0 0 0 NA 0 0 127 0 -9.4
"16" "" 2003-01-25 22.65 "WAS" "" "MIN" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "" 2003-01-27 22.65 "WAS" "" "PHO" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "" 2003-01-29 22.66 "WAS" "@" "NJN" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "" 2003-01-30 22.66 "WAS" "@" "MIL" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "9" 2003-02-01 22.67 "WAS" "" "NOH" "W" 5 0 7.56666666666667 0 0 0 35.3 16 0 0 0 0 11.3 0 112 -1.6 -21.8
"21" "" 2003-02-04 22.68 "WAS" "" "CLE" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "10" 2003-02-11 22.7 "WAS" "@" "SAC" "L" -19 0 9.7 0.644 0.667 7.9 20.4 13.3 0 0 0 0 16.1 134 105 3.4 1.2
"23" "11" 2003-02-12 22.7 "WAS" "@" "LAC" "W" 4 0 0.916666666666667 0 0 0 0 0 0 0 0 0 47.2 0 128 -0.7 -61.4
"24" "12" 2003-02-14 22.7 "WAS" "@" "UTA" "L" -32 0 12 0.581 0.5 26.7 0 15 28.6 0 0 0 28.5 138 142 7 7.3
"25" "" 2003-02-19 22.72 "WAS" "@" "NOH" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "13" 2003-02-21 22.72 "WAS" "" "NJN" "W" 3 0 11.25 0 0 0 8.9 5.1 0 0 0 33.3 14.2 0 108 -3.3 -22.7
"27" "14" 2003-02-23 22.73 "WAS" "" "DAL" "L" -5 0 0.366666666666667 NA NA 0 0 0 0 0 0 NA 0 0 119 0 -7.6
"28" "15" 2003-02-25 22.73 "WAS" "@" "IND" "W" 5 0 5.56666666666667 0 0 40.9 21.3 31.3 0 0 0 0 20.7 61 97 -0.5 -21.8
