"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "" 1999-02-05 23.21 "ORL" "" "NYK" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "" 1999-02-06 23.21 "ORL" "@" "PHI" "L" -20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "1" 1999-02-08 23.22 "ORL" "" "BOS" "W" 17 0 1.03333333333333 0 0 0 0 0 0 51.1 0 0 86.4 0 3 -0.4 -33
"4" "" 1999-02-10 23.22 "ORL" "@" "NJN" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "" 1999-02-11 23.22 "ORL" "@" "DET" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "" 1999-02-14 23.23 "ORL" "" "MIL" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "" 1999-02-16 23.24 "ORL" "@" "CLE" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "" 1999-02-17 23.24 "ORL" "" "WAS" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "" 1999-02-26 23.27 "ORL" "" "IND" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "" 1999-02-28 23.27 "ORL" "@" "MIA" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "" 1999-03-01 23.27 "ORL" "" "ATL" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "2" 1999-03-03 23.28 "ORL" "" "CHH" "W" 17 0 2.58333333333333 0 0 0 0 0 0 0 0 50 31.5 0 96 -2.1 -52.7
"13" "" 1999-03-05 23.28 "ORL" "@" "TOR" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "" 1999-03-06 23.29 "ORL" "" "DET" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "" 1999-03-23 23.33 "ORL" "" "CHH" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "" 1999-03-25 23.34 "ORL" "" "CLE" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "" 1999-03-26 23.34 "ORL" "@" "CHH" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "" 1999-03-28 23.35 "ORL" "" "MIA" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "" 1999-03-30 23.35 "ORL" "" "NJN" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "" 1999-03-31 23.36 "ORL" "@" "WAS" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "3" 1999-04-02 23.36 "ORL" "@" "CHI" "W" 47 0 7.08333333333333 1 1 0 0 0 0 0 0 0 6.7 200 88 1.7 1.3
"22" "4" 1999-04-03 23.36 "ORL" "@" "DET" "W" 15 0 2.21666666666667 0 0 75 0 36.9 0 0 0 50 49.8 34 97 -1 -37.7
"23" "5" 1999-04-05 23.37 "ORL" "" "BOS" "W" 7 0 5.7 NA NA 0 19.5 11.1 0 0 0 100 7.3 0 117 -0.7 -13.8
"24" "" 1999-04-06 23.37 "ORL" "@" "NYK" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "" 1999-04-08 23.38 "ORL" "@" "CLE" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "" 1999-04-09 23.38 "ORL" "" "MIL" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
