"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1982-11-03 22.15 "IND" "@" "BOS" "L" -7 0 11 0.387 0.333 NA NA NA NA NA NA NA NA NA NA 0.7 NA
"2" "2" 1982-11-06 22.16 "IND" "@" "WSB" "L" -4 0 5 0.5 0.5 NA NA 10.7 41.1 NA NA NA NA NA NA NA NA
"3" "3" 1982-11-09 22.17 "IND" "" "SDC" "W" 5 0 7 0.5 0.5 NA NA NA NA NA NA NA NA NA NA 3.2 NA
"4" "4" 1982-11-10 22.17 "IND" "@" "DET" "L" -24 0 19 0.468 0.4 NA NA NA NA NA NA NA NA NA NA 6 NA
"5" "5" 1982-11-12 22.18 "IND" "@" "PHI" "W" 9 0 14 0.478 0.583 NA NA 8.3 9.1 NA 0 NA NA NA NA NA NA
"6" "6" 1982-11-13 22.18 "IND" "" "CHI" "W" 4 0 4 0 0 NA NA 0 24 NA NA NA NA NA NA -0.8 NA
"7" "7" 1982-11-16 22.19 "IND" "@" "MIL" "L" -12 0 6 0.333 0.333 NA NA 0 0 NA 0 25 NA NA NA 0.3 NA
"8" "8" 1982-11-19 22.19 "IND" "" "HOU" "L" -11 0 10 0.37 0.4 NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1982-11-21 22.2 "IND" "" "MIL" "L" -11 0 17 0.296 0.2 NA NA 14.7 6.9 NA 3.4 0 NA NA NA 1.4 NA
"10" "10" 1982-11-23 22.21 "IND" "@" "NYK" "W" 4 0 4 0 0 NA NA NA NA NA NA NA NA NA NA -2.1 NA
"11" "11" 1982-11-24 22.21 "IND" "" "PHI" "L" -15 0 2 0.25 0.25 NA NA 26.4 0 NA 0 NA NA NA NA NA NA
"12" "12" 1982-11-27 22.22 "IND" "@" "ATL" "L" -19 0 15 0.667 0.667 NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1982-12-01 22.23 "IND" "" "MIL" "L" -20 0 22 0.333 0.333 NA NA 0 21.5 NA 0 33.3 NA NA NA 2.2 NA
"14" "14" 1982-12-03 22.23 "IND" "" "CLE" "W" 8 0 10 0.2 0.2 NA NA NA NA NA NA NA NA NA NA -0.5 NA
"15" "15" 1982-12-04 22.24 "IND" "@" "CLE" "L" -20 0 15 0.727 0.667 NA NA NA NA NA NA NA NA NA NA 5.3 NA
"16" "16" 1982-12-22 22.28 "IND" "@" "CLE" "L" -2 0 8 0.174 0 NA NA NA NA NA NA NA NA NA NA -0.9 NA
"17" "17" 1982-12-26 22.3 "IND" "" "NYK" "W" 6 0 4 NA NA NA NA NA NA NA NA NA NA NA NA -0.8 NA
"18" "18" 1982-12-28 22.3 "IND" "@" "DEN" "L" -5 0 5 1 1 NA NA NA NA NA NA NA NA NA NA -0.8 NA
