"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2002-10-30 22.58 "NJN" "" "ATL" "W" 11 0 9.38333333333333 0.2 0.2 0 26 13.2 0 0 7.8 16.7 27.3 43 96 -0.8 -16.3
"2" "2" 2002-11-01 22.58 "NJN" "" "IND" "W" 11 0 10.7333333333333 0.512 0.5 0 9.9 5.1 0 0 0 0 19 109 99 2.1 -3.5
"3" "3" 2002-11-02 22.59 "NJN" "@" "WAS" "W" 8 0 5.86666666666667 0.333 0.333 0 16.3 9.2 0 0 0 0 22.6 74 91 -0.2 -13.5
"4" "4" 2002-11-04 22.59 "NJN" "" "MIN" "W" 24 0 10.4833333333333 0.5 0.5 0 0 0 28.8 9 0 20 19.8 90 75 3.6 5.4
"5" "5" 2002-11-06 22.6 "NJN" "@" "MIL" "L" -6 0 6.01666666666667 1.5 1.5 0 0 0 50 0 0 0 15.5 279 127 6.1 41.3
"6" "6" 2002-11-08 22.6 "NJN" "" "LAC" "W" 14 0 2.8 0 0 0 0 0 0 0 0 50 30.8 0 104 -1.7 -38
"7" "" 2002-11-09 22.61 "NJN" "@" "CHI" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "" 2002-11-13 22.62 "NJN" "" "SAS" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "" 2002-11-15 22.62 "NJN" "@" "MIA" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "" 2002-11-16 22.62 "NJN" "" "DAL" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "" 2002-11-18 22.63 "NJN" "" "DEN" "W" 20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "7" 2002-11-20 22.64 "NJN" "@" "BOS" "L" -17 0 2.41666666666667 0 0 0 0 0 80 0 0 0 21 42 116 0 -5.5
