"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1986-10-31 22.65 "MIL" "@" "DET" "W" 16 0 2 0 0 0 0 0 0 0 0 0 21.7 0 115 -1.1 -36.7
"2" "2" 1986-11-04 22.66 "MIL" "@" "ATL" "L" -9 0 2 0 0 0 0 0 0 0 0 0 21.5 0 121 -1.1 -31.8
"3" "3" 1986-11-07 22.67 "MIL" "@" "NJN" "W" 21 0 8 0 0 0 0 0 0 0 0 60 26.7 0 104 -5.6 -37.4
"4" "4" 1986-11-08 22.67 "MIL" "" "DET" "W" 14 0 2 NA NA 0 0 0 0 0 0 100 21.2 0 102 -1 -28.6
"5" "5" 1986-11-15 22.69 "MIL" "@" "IND" "L" -1 0 4 0.301 0.5 0 30.8 12.8 36.4 0 0 0 34.1 74 112 0 -15.3
"6" "6" 1986-11-18 22.7 "MIL" "" "GSW" "W" 26 0 23 0.45 0.375 0 0 0 5.7 0 0 18.4 20.6 80 96 0.3 -12.9
"7" "7" 1986-11-20 22.7 "MIL" "@" "SEA" "W" 11 0 5 NA NA 0 0 0 21.8 0 0 NA 0 207 107 -0.1 -5.2
"8" "8" 1986-11-22 22.71 "MIL" "@" "SAC" "W" 8 0 1 NA NA 0 0 0 0 0 0 NA 0 0 110 0 -6.4
"9" "9" 1986-11-23 22.71 "MIL" "@" "LAL" "L" -10 0 24 0.474 0.5 9.3 0 5.5 5.1 6.1 0 19.2 17.1 92 122 5.9 0.4
"10" "10" 1986-11-26 22.72 "MIL" "" "WSB" "W" 19 0 14 0.381 0.286 24.5 0 9.3 17.5 0 0 11.3 26.6 101 110 2.1 -11.5
"11" "11" 1986-11-28 22.72 "MIL" "@" "DET" "L" -21 0 23 0.333 0.333 3.3 0 2 6.4 3.9 0 0 14.1 86 113 4.3 -1
"12" "12" 1986-11-29 22.73 "MIL" "" "DEN" "W" 32 0 9 0.333 0.333 0 12.4 6.6 0 5.3 0 25 36.3 52 93 -0.5 -20.9
"13" "13" 1986-12-02 22.73 "MIL" "" "IND" "W" 7 0 9 0.667 0.667 12.1 0 6.5 21.1 5.4 0 25 19.4 108 88 3.7 7.7
"14" "14" 1986-12-03 22.74 "MIL" "@" "PHI" "L" -5 0 8 0.4 0.4 12.7 0 7 0 0 0 0 25.7 99 121 2 -5.6
"15" "15" 1986-12-05 22.74 "MIL" "@" "WSB" "W" 4 0 9 0 0 18.1 0 9.4 30.5 5.5 0 0 20.6 39 92 -1.3 -12.2
"16" "16" 1986-12-10 22.76 "MIL" "" "LAL" "W" 23 0 12 0.333 0.333 0 0 0 10.3 8.4 0 0 10.2 106 90 2.2 2
"17" "17" 1986-12-12 22.76 "MIL" "" "CHI" "L" -13 0 2 NA NA 0 0 0 0 0 0 NA 0 0 119 -0.8 -25.9
"18" "18" 1986-12-13 22.76 "MIL" "@" "CHI" "W" 23 0 4 0 0 0 0 0 0 0 0 50 22.2 0 109 -2.1 -33.3
"19" "19" 1986-12-18 22.78 "MIL" "" "ATL" "W" 9 0 11 0.258 0 0 0 0 0 0 0 0 15.3 87 117 -0.5 -13.5
"20" "20" 1986-12-20 22.78 "MIL" "" "BOS" "W" 20 0 4 0.347 0 0 0 0 0 0 0 25.8 38.1 66 109 -0.8 -31.7
"21" "21" 1986-12-23 22.79 "MIL" "" "SAS" "W" 2 0 13 0.333 0.333 0 9 4.9 9.6 0 0 0 10.2 85 117 0.5 -11.4
"22" "22" 1986-12-27 22.8 "MIL" "@" "NYK" "L" -14 0 4 0.667 0.667 0 0 0 0 12.1 0 0 32.1 126 99 3.7 22.7
"23" "23" 1986-12-29 22.81 "MIL" "@" "NJN" "L" -5 0 5 1 1 0 0 0 30.6 9.4 0 0 7.9 201 110 3.4 19.8
"24" "24" 1986-12-30 22.81 "MIL" "" "DET" "L" -4 0 8 0 0 0 0 0 0 0 0 0 5.5 0 112 -1.9 -17.1
"25" "25" 1987-01-02 22.82 "MIL" "@" "CLE" "W" 7 0 8 0 0 0 0 0 33.3 0 0 50 10.3 40 96 -1.1 -11.6
"26" "26" 1987-01-03 22.82 "MIL" "" "CLE" "W" 9 0 13 0.266 0 0 7.4 3.8 9.2 0 0 34.7 8.8 51 102 -0.9 -11.2
"27" "27" 1987-01-06 22.83 "MIL" "" "NJN" "W" 12 0 6 0 0 0 0 0 18.2 0 0 33.3 20.6 20 121 -1.7 -23.6
