"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1994-11-04 22.61 "SAC" "" "PHO" "W" 18 0 28 0.549 0.545 11.2 21.4 16.4 10.8 3.6 0 23.9 24.5 96 88 9.6 -0.3
"2" "2" 1994-11-09 22.62 "SAC" "@" "SEA" "W" 8 0 23 0.862 0.5 0 19.9 11 0 0 0 0 8.8 198 108 7 1.6
"3" "3" 1994-11-10 22.62 "SAC" "" "POR" "L" -20 0 23 0.553 0.5 13.3 22 17.2 0 0 0 7.8 24 112 115 8.7 -0.1
"4" "4" 1994-11-12 22.63 "SAC" "" "ATL" "W" 8 0 29 0.765 0.8 8.5 23 15.4 0 0 0 14.5 21.3 126 109 12.3 1.6
"5" "5" 1994-11-15 22.64 "SAC" "@" "HOU" "L" -6 0 20 0.341 0.273 19.6 20.4 20 0 0 8.1 13.2 31.1 78 105 3.9 -11.1
"6" "6" 1994-11-17 22.64 "SAC" "@" "DAL" "L" -2 0 21 0.888 0.857 6.2 16.7 11.7 9.8 0 0 20.2 21.1 134 107 11 7.4
"7" "7" 1994-11-20 22.65 "SAC" "" "CLE" "W" 8 0 27 0.752 0.833 5.6 24.2 16.4 0 4.4 0 18.8 19.8 117 94 11.7 5.4
"8" "8" 1994-11-23 22.66 "SAC" "" "NJN" "L" -5 0 28 0.564 0.625 7.5 16.3 11.7 0 1.8 0 9.3 16.2 106 109 7.6 -2.6
"9" "9" 1994-11-25 22.66 "SAC" "" "DEN" "W" 3 0 17 0.087 0 15.6 8.7 12.3 22.3 6 0 14.8 18.2 58 96 1.4 -4.4
"10" "10" 1994-11-27 22.67 "SAC" "" "UTA" "L" -5 0 13 0.512 0.5 16.1 11.5 14.2 14.4 0 5.8 17 20.7 103 113 3.9 -1.4
"11" "11" 1994-11-29 22.67 "SAC" "@" "MIA" "W" 5 0 18 0.633 0.6 25 7 15.2 0 0 0 0 17.9 147 112 6.9 0.9
"12" "12" 1994-11-30 22.68 "SAC" "@" "ORL" "L" -7 0 29 0.405 0.333 9.5 7.2 8.2 0 0 2.4 0 13.9 108 118 4.8 -5.5
"13" "13" 1994-12-02 22.68 "SAC" "@" "PHI" "L" -3 0 26 0.87 0.857 10.9 23.1 17.5 0 0 0 0 16 183 109 14.4 6.7
"14" "14" 1994-12-03 22.68 "SAC" "@" "NJN" "W" 5 0 28 0.665 0.5 12.5 29.8 21.7 5 3.9 0 0 6.5 165 90 9.2 5.4
"15" "15" 1994-12-06 22.69 "SAC" "" "MIL" "W" 13 0 25 0.571 0.571 15.2 25.6 20.8 0 0 0 9.4 18 117 98 8.2 -1.7
"16" "16" 1994-12-08 22.7 "SAC" "" "SEA" "W" 12 0 29 0.543 0.571 11.5 13.8 12.7 5.4 1.7 2.5 17.9 16.2 100 93 8 -0.4
"17" "17" 1994-12-10 22.7 "SAC" "" "GSW" "W" 12 0 16 0.589 0.6 16.7 51.1 36.1 30 6.4 0 20.7 27.2 112 80 10.6 13
"18" "18" 1994-12-11 22.71 "SAC" "@" "POR" "L" -5 0 23 0.8 0.8 0 18.4 8.5 10.1 2.3 0 16.7 11.3 124 99 6.5 5.2
"19" "19" 1994-12-13 22.71 "SAC" "@" "GSW" "W" 5 0 20 0.5 0.5 6 42 24 28.4 0 0 0 13.4 135 114 7.8 5.9
"20" "20" 1994-12-15 22.72 "SAC" "" "NYK" "L" -10 0 20 0.25 0.25 16.4 40 27 15.7 0 0 20 12.1 82 104 3.5 -1.8
"21" "21" 1994-12-17 22.72 "SAC" "@" "PHO" "L" -11 0 16 0.602 0.5 0 7.5 3.9 8.6 0 0 47.5 17.4 67 118 -1 -14.4
"22" "22" 1994-12-20 22.73 "SAC" "" "WSB" "W" 3 0 18 1.017 1 0 10.9 5.9 0 0 0 22.5 10.9 139 110 4.1 -2.9
"23" "23" 1994-12-22 22.74 "SAC" "" "MIN" "W" 20 0 21 0.46 0.4 5.1 17.6 10.9 23.8 4.7 4.6 15.5 12.9 108 84 7.2 6.6
"24" "24" 1994-12-23 22.74 "SAC" "@" "LAL" "L" -11 0 13 0.2 0.2 7.5 16.8 11.9 0 0 0 16.7 19.4 50 111 -2.4 -20
"25" "25" 1994-12-26 22.75 "SAC" "@" "SEA" "L" -20 0 22 0.372 0.333 23.7 39.7 31.5 0 0 5.7 8.5 21 95 113 7.2 -4.6
"26" "26" 1994-12-27 22.75 "SAC" "" "POR" "W" 1 0 19 0.377 0.25 27.3 15.5 20.6 6.1 0 6.9 13.1 18.3 100 108 5.4 -2.3
"27" "27" 1994-12-30 22.76 "SAC" "" "PHI" "W" 3 0 12 0.5 0.5 9.8 17.8 14 0 4.3 0 33.3 11.2 74 81 1.1 -4
"28" "28" 1995-01-03 22.77 "SAC" "" "PHO" "L" -8 0 22 0.509 0.5 33.2 8.9 20.7 8.2 0 3.1 22.5 16.2 108 112 6.9 -1.6
"29" "29" 1995-01-05 22.78 "SAC" "" "DET" "W" 6 0 18 0.2 0.2 20.5 22.2 21.5 0 0 0 0 12.5 83 100 1.8 -8.2
"30" "30" 1995-01-07 22.78 "SAC" "" "MIA" "W" 1 0 20 0.857 0.857 8 33.5 23 12.2 2.7 6.9 12.5 20.5 141 92 12.5 12.1
"31" "31" 1995-01-10 22.79 "SAC" "@" "MIN" "W" 13 0 18 0.453 0 20 31 25.7 0 3 4.6 15.3 16.2 105 88 5.9 -1
"32" "32" 1995-01-11 22.79 "SAC" "@" "MIL" "L" -9 0 17 0.5 0.5 5.8 15.7 10 9.1 6.2 0 33.3 7.5 88 100 3.6 1.4
"33" "33" 1995-01-13 22.8 "SAC" "@" "CHI" "W" 10 0 18 0.387 0.333 0 0 0 0 3 0 20.5 12.4 66 94 -0.7 -10.1
"34" "34" 1995-01-15 22.8 "SAC" "@" "BOS" "L" -1 0 15 0.34 0.4 30.5 22.3 26.4 0 0 0 14.5 20 85 111 2 -10.5
