"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1992-11-08 22.22 "POR" "" "DEN" "W" 19 0 2 0 0 0 0 0 0 0 0 0 19 0 110 -1.1 -31.3
"2" "2" 1992-11-14 22.23 "POR" "@" "GSW" "W" 14 0 1 NA NA 0 0 0 0 0 0 NA 0 0 115 0 -2.1
"3" "3" 1992-11-22 22.25 "POR" "" "DET" "W" 25 0 5 0.333 0.333 21.3 21.3 21.3 0 9.1 0 25 31.5 64 72 0.5 -14.8
"4" "4" 1992-12-01 22.28 "POR" "@" "NYK" "L" -16 0 5 0.5 0.5 51.4 18.5 35.6 0 0 0 0 16.1 133 104 3 3.3
"5" "5" 1992-12-08 22.3 "POR" "" "MIL" "W" 29 0 2 0 0 0 0 0 0 22.1 0 0 19 0 56 0.3 -1.6
"6" "6" 1992-12-13 22.31 "POR" "" "WSB" "W" 19 0 3 0 0 0 0 0 0 15.6 0 0 26.3 0 74 -0.4 -15.4
"7" "7" 1992-12-18 22.33 "POR" "@" "SEA" "L" -17 0 1 0.347 0.5 0 100 56.5 0 0 55.8 0 100 75 59 0.8 -16.7
"8" "8" 1992-12-20 22.33 "POR" "" "GSW" "W" 16 0 2 NA NA 0 0 0 0 0 0 NA 0 0 117 -0.4 -14.4
"9" "9" 1993-01-05 22.38 "POR" "@" "DAL" "W" 14 0 4 0.266 0 50 0 24 0 0 0 0 18.2 104 96 0.9 -10.2
"10" "10" 1993-01-07 22.38 "POR" "@" "HOU" "W" 22 0 2 0.667 0.667 54.5 0 25 0 0 0 0 63.6 136 98 3.4 17.8
"11" "11" 1993-01-09 22.39 "POR" "@" "SAS" "L" -16 0 2 1 1 48 0 25.8 0 0 0 0 21.6 205 118 2.4 22.7
"12" "12" 1993-01-19 22.41 "POR" "@" "MIL" "W" 27 0 7 0.205 0.25 15.6 16.7 16.1 0 6.7 0 17 32.7 48 80 -0.6 -20.1
"13" "13" 1993-01-20 22.42 "POR" "@" "MIN" "W" 16 0 5 0 0 18.8 24 21.1 0 0 0 0 15.2 34 101 -1.2 -26.4
"14" "14" 1993-01-30 22.44 "POR" "@" "SEA" "L" -22 0 2 NA NA 0 0 0 0 0 0 NA 0 0 116 0 -4
"15" "15" 1993-02-14 22.48 "POR" "" "LAC" "L" -10 0 1 NA NA 0 0 0 0 0 0 NA 0 0 115 0 -6.5
"16" "16" 1993-02-23 22.51 "POR" "@" "ORL" "L" -18 0 5 0 0 20.4 0 13.3 0 0 0 50 15.7 27 127 -2.2 -30.7
