"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2018-10-17 21.24 "ATL" "@" "NYK" "L" -19 0 8.31666666666667 0.875 0.875 13.4 24 19 0 5.1 8.7 0 18.9 169 95 8 21
"2" "" 2018-10-19 21.25 "ATL" "@" "MEM" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "2" 2018-10-21 21.25 "ATL" "@" "CLE" "W" 22 0 23.75 0.957 1 0 4 2.2 5.6 0 0 18.4 18.6 134 113 10.8 1.6
"4" "3" 2018-10-24 21.26 "ATL" "" "DAL" "W" 7 0 15.65 0.333 0.333 17.4 11.6 14.5 0 0 0 14.3 17.9 79 101 1.1 -12.8
"5" "4" 2018-10-27 21.27 "ATL" "" "CHI" "L" -12 0 14.6833333333333 0.17 0 23.8 29.1 26.2 48.4 0 0 14.5 19.4 78 99 4.3 -1.1
"6" "5" 2018-10-29 21.27 "ATL" "@" "PHI" "L" -21 0 23.25 0.431 0.409 14.2 7.8 11.2 0 2 0 0 22.7 99 110 8.1 -1.6
"7" "6" 2018-10-30 21.28 "ATL" "@" "CLE" "L" -22 0 20.3833333333333 0.5 0.5 0 20.5 10.8 0 2.2 0 40 10.6 54 126 0.3 -10.8
"8" "7" 2018-11-01 21.28 "ATL" "" "SAC" "L" -31 0 20.45 0.333 0.333 5.1 5.5 5.3 17.8 0 3.7 0 5.7 117 132 3.7 -2.1
"9" "8" 2018-11-03 21.29 "ATL" "" "MIA" "W" 5 1 20.2333333333333 0.788 0.875 6.6 11.3 9.1 6.1 2.4 5.3 0 9.2 158 118 8.3 4.3
"10" "9" 2018-11-06 21.3 "ATL" "@" "CHO" "L" -11 1 16.75 0.167 0.167 13.6 15.1 14.3 7.5 0 0 0 15 64 113 0.5 -12.3
"11" "10" 2018-11-07 21.3 "ATL" "" "NYK" "L" -5 1 28.4666666666667 0.731 0.682 13 24.7 18.1 25.1 1.7 10.8 0 17.1 164 104 22.8 19.2
