"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1982-10-29 22.98 "KCK" "" "POR" "W" 2 0 2 NA NA NA NA 0 0 NA NA 100 NA NA NA -1 NA
"2" "2" 1982-11-05 22.99 "KCK" "" "DAL" "L" -5 0 1 NA NA NA NA NA NA NA NA NA NA NA NA 0 NA
"3" "3" 1982-11-09 23.01 "KCK" "@" "LAL" "L" -22 0 17 0.473 0.444 NA NA 10.3 15.8 NA NA NA NA NA NA 6 NA
"4" "4" 1982-11-10 23.01 "KCK" "@" "PHO" "L" -6 0 3 0 0 NA NA NA NA NA NA NA NA NA NA -1.1 NA
"5" "5" 1982-11-16 23.02 "KCK" "@" "SAS" "W" 3 0 7 0.41 0.25 NA NA 16.9 0 NA 0 NA NA NA NA 1.6 NA
"6" "6" 1982-11-20 23.04 "KCK" "@" "DAL" "W" 7 0 8 0.525 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1982-11-25 23.05 "KCK" "@" "HOU" "W" 9 0 10 1.136 NA NA NA NA NA NA NA NA NA NA NA 0.2 NA
"8" "8" 1982-11-27 23.05 "KCK" "" "PHO" "W" 6 0 5 0 0 NA NA NA NA NA NA NA NA NA NA 1.3 NA
"9" "9" 1982-11-28 23.06 "KCK" "@" "CLE" "L" -8 0 6 0.549 0 NA NA NA NA NA NA NA NA NA NA 3.9 NA
"10" "10" 1982-11-30 23.06 "KCK" "@" "NJN" "L" -9 0 2 NA NA NA NA NA NA NA NA NA NA NA NA -1.4 NA
"11" "11" 1982-12-01 23.07 "KCK" "" "CHI" "W" 11 0 16 0.727 0.667 NA NA 16.3 20.5 NA NA NA NA NA NA 8.8 NA
"12" "12" 1982-12-03 23.07 "KCK" "" "GSW" "L" -16 0 6 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1982-12-08 23.08 "KCK" "" "SAS" "L" -1 0 3 0 0 NA NA NA NA NA NA NA NA NA NA -1.8 NA
"14" "14" 1982-12-10 23.09 "KCK" "" "SDC" "W" 12 0 5 0.333 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1982-12-11 23.09 "KCK" "@" "SAS" "W" 12 0 6 1.064 1 NA NA NA NA NA NA NA NA NA NA 3.3 NA
"16" "16" 1982-12-15 23.1 "KCK" "" "NJN" "W" 1 0 10 NA NA NA NA NA NA NA NA NA NA NA NA 1.5 NA
"17" "17" 1982-12-17 23.11 "KCK" "@" "SEA" "L" -3 0 5 NA NA NA NA NA NA NA NA NA NA NA NA -1.4 NA
"18" "18" 1982-12-18 23.11 "KCK" "@" "GSW" "W" 16 0 5 NA NA NA NA NA NA NA NA NA NA NA NA -1.9 NA
"19" "19" 1982-12-20 23.12 "KCK" "@" "UTA" "L" -2 0 13 0 0 NA NA 8.2 34 NA 0 NA NA NA NA 2.3 NA
"20" "20" 1982-12-22 23.12 "KCK" "" "DEN" "W" 44 0 12 0.865 0.667 NA NA NA NA NA NA NA NA NA NA 8.6 NA
"21" "21" 1982-12-26 23.13 "KCK" "" "UTA" "W" 2 0 10 0.725 1 NA NA NA NA NA NA NA NA NA NA -0.3 NA
"22" "22" 1983-01-02 23.15 "KCK" "@" "ATL" "W" 4 0 13 0.595 0.6 NA NA 13.9 11.9 NA NA NA NA NA NA 2.4 NA
"23" "23" 1983-01-07 23.17 "KCK" "" "UTA" "W" 22 0 16 0.521 0.5 NA NA 12.9 5.2 NA 0 NA NA NA NA NA NA
"24" "24" 1983-01-08 23.17 "KCK" "@" "PHI" "L" -12 0 13 0.21 0 NA NA 8.5 9 NA 0 NA NA NA NA NA NA
"25" "25" 1983-01-11 23.18 "KCK" "@" "UTA" "L" -8 0 9 0 0 NA NA 0 40 NA 0 NA NA NA NA -0.7 NA
"26" "26" 1983-01-16 23.19 "KCK" "@" "SEA" "L" -15 0 9 0.174 0 NA NA 22.5 24.8 NA NA NA NA NA NA 0.4 NA
"27" "27" 1983-01-21 23.21 "KCK" "" "HOU" "W" 7 1 13 0.46 0.4 NA NA 4.1 19.1 NA NA NA NA NA NA NA NA
"28" "28" 1983-01-23 23.21 "KCK" "" "PHO" "L" -10 1 19 0.727 0.667 NA NA 4.9 33.8 NA NA NA NA NA NA 9 NA
"29" "29" 1983-01-25 23.22 "KCK" "@" "DEN" "L" -7 1 18 0.606 0.5 NA NA 9.3 0 NA NA NA NA NA NA 8.1 NA
"30" "30" 1983-01-26 23.22 "KCK" "" "DAL" "L" -10 0 6 0.5 0.5 NA NA 0 100 NA NA NA NA NA NA 4.4 NA
"31" "31" 1983-01-28 23.22 "KCK" "" "PHI" "L" -15 0 1 NA NA NA NA 0 0 NA 0 NA NA NA NA NA NA
"32" "32" 1983-01-29 23.23 "KCK" "@" "IND" "L" -11 0 6 0 0 NA NA 0 17.4 NA NA NA NA NA NA NA NA
"33" "33" 1983-01-31 23.23 "KCK" "@" "NYK" "L" -17 0 19 0.689 0.667 NA NA NA NA NA NA NA NA NA NA 11.7 NA
"34" "34" 1983-02-02 23.24 "KCK" "@" "WSB" "W" 2 1 22 0.388 0.333 NA NA 0 5.1 NA NA NA NA NA NA 2.5 NA
"35" "35" 1983-02-04 23.24 "KCK" "" "LAL" "L" -18 0 20 0.735 0.75 NA NA NA 15.4 NA NA NA NA NA NA NA NA
"36" "36" 1983-02-06 23.25 "KCK" "@" "LAL" "L" -10 0 15 0.486 0.4 NA NA 3.9 19.9 NA NA NA NA NA NA 8.3 NA
"37" "37" 1983-02-08 23.25 "KCK" "@" "HOU" "L" -1 1 23 0.851 0.8 NA NA NA NA NA NA NA NA NA NA 11.9 NA
"38" "38" 1983-02-09 23.26 "KCK" "" "GSW" "W" 5 1 18 0.296 0.2 NA NA 6.1 14.3 NA 0 NA NA NA NA 0.3 NA
"39" "39" 1983-02-16 23.28 "KCK" "" "PHO" "L" -9 0 18 0.46 0.4 NA NA NA NA NA NA NA NA NA NA 6.2 NA
"40" "40" 1983-02-18 23.28 "KCK" "" "LAL" "W" 6 0 3 1 1 NA NA 21.1 0 NA NA NA NA NA NA NA NA
"41" "41" 1983-02-20 23.29 "KCK" "" "HOU" "W" 22 0 2 1 1 NA NA NA NA NA NA NA NA NA NA NA NA
"42" "42" 1983-03-01 23.31 "KCK" "@" "BOS" "L" -18 0 4 0.266 0 NA NA NA NA NA NA NA NA NA NA 2.3 NA
"43" "43" 1983-03-03 23.32 "KCK" "@" "DET" "W" 7 0 6 NA NA NA NA NA NA NA NA NA NA NA NA -0.8 NA
"44" "44" 1983-03-04 23.32 "KCK" "" "IND" "W" 17 0 11 NA NA NA NA 4.7 18.2 NA NA NA NA NA NA NA NA
"45" "45" 1983-03-06 23.33 "KCK" "" "SDC" "W" 39 0 24 0.705 0.625 NA NA 7.7 4.7 NA 2.2 NA NA NA NA 11.3 NA
"46" "46" 1983-03-11 23.34 "KCK" "@" "MIL" "L" -8 0 8 0 0 NA NA 7.6 0 NA 0 0 NA NA NA NA NA
"47" "47" 1983-03-20 23.36 "KCK" "" "GSW" "W" 14 0 13 0.5 0.5 NA NA 8.4 24.4 NA NA NA NA NA NA 1.9 NA
"48" "48" 1983-03-22 23.37 "KCK" "" "CLE" "W" 23 0 12 0.667 0.667 NA NA NA NA NA NA NA NA NA NA 3.9 NA
"49" "49" 1983-03-24 23.38 "KCK" "@" "PHO" "L" -17 0 9 0.307 0.25 NA NA NA NA NA NA NA NA NA NA -0.9 NA
"50" "50" 1983-03-26 23.38 "KCK" "@" "DAL" "W" 3 0 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"51" "51" 1983-03-27 23.38 "KCK" "" "POR" "W" 15 0 2 0 0 NA NA 30.4 0 NA 0 0 NA NA NA 0 NA
"52" "52" 1983-03-29 23.39 "KCK" "@" "HOU" "W" 16 0 12 0.5 0.5 NA NA NA NA NA NA NA NA NA NA 4.7 NA
"53" "53" 1983-04-01 23.4 "KCK" "@" "SDC" "W" 16 0 9 0.532 0 NA NA NA NA NA NA NA NA NA NA NA NA
"54" "54" 1983-04-02 23.4 "KCK" "@" "GSW" "W" 10 0 2 NA NA NA NA NA NA NA NA NA NA NA NA -0.4 NA
"55" "55" 1983-04-05 23.41 "KCK" "@" "SAS" "L" -17 0 17 0.814 0.8 NA NA NA NA NA NA NA NA NA NA 8.4 NA
