"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1999-02-05 21.66 "SAC" "@" "SAS" "L" -18 0 17.15 0.167 0.167 4.9 0 2.8 0 2.9 0 25 18.2 34 109 -2.1 -13.3
"2" "2" 1999-02-07 21.67 "SAC" "" "VAN" "W" 22 0 25.2833333333333 0.577 0.577 4.4 10.5 7.8 10.5 0 0 7.1 22 123 98 9.9 -0.3
"3" "3" 1999-02-09 21.67 "SAC" "@" "PHO" "W" 17 0 31.25 0.65 0.65 0 14.3 8 4.5 4.7 2 23.1 17.3 97 90 10.1 3.2
"4" "4" 1999-02-10 21.67 "SAC" "@" "HOU" "L" -10 0 23.0333333333333 0.313 0.313 0 8.7 4.3 19.7 2.4 0 11.1 18.3 72 107 2.5 -4.5
"5" "5" 1999-02-15 21.69 "SAC" "@" "UTA" "L" -8 0 36.65 0.504 0.467 0 3.7 1.6 4.7 0 0 0 19.8 106 125 8.5 -4.6
"6" "6" 1999-02-16 21.69 "SAC" "" "BOS" "W" 3 0 12.8333333333333 0.7 0.7 9 14.2 11.9 0 0 0 28.6 21.7 96 103 4 0.9
"7" "7" 1999-02-17 21.69 "SAC" "@" "SEA" "W" 3 0 28 0.5 0.5 0 11.5 7.1 18.1 0 0 9.1 18.3 98 108 6.9 -0.1
"8" "8" 1999-02-19 21.7 "SAC" "" "CHH" "W" 11 0 24.2666666666667 0.35 0.35 5 11.8 8.8 11.1 0 0 23.1 22.1 69 99 1.2 -10.3
"9" "9" 1999-02-21 21.7 "SAC" "@" "MIN" "L" -12 0 12.4166666666667 0.2 0.2 7.5 21.1 14.5 13.8 4 0 16.7 19.1 53 94 0.8 -8.9
"10" "" 1999-02-22 21.71 "SAC" "@" "ORL" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "10" 1999-02-24 21.71 "SAC" "@" "PHI" "L" -13 0 22.9833333333333 0.4 0.4 8.7 24.6 16.9 0 0 0 16.7 21.7 75 95 3.4 -2.8
"12" "11" 1999-02-25 21.72 "SAC" "@" "WAS" "W" 10 0 22.25 0.571 0.571 9.9 4.8 7.4 6 0 0 0 13 145 115 6.7 0.5
"13" "12" 1999-02-27 21.72 "SAC" "@" "DAL" "L" -7 0 14.6833333333333 0.333 0.333 0 0 0 18.9 0 0 25 11.3 74 115 0.7 -5.2
"14" "13" 1999-03-01 21.73 "SAC" "" "SEA" "L" -3 0 28.05 0.708 0.708 3.8 4 3.9 0 3.3 0 7.7 19 124 101 13 9.6
"15" "14" 1999-03-02 21.73 "SAC" "@" "VAN" "W" 10 0 6.43333333333333 1.25 1.25 0 18 8.6 0 0 0 33.3 18.4 121 113 3.3 6.2
"16" "15" 1999-03-03 21.73 "SAC" "" "POR" "L" -4 0 14.9166666666667 0 0 0 0 0 30.3 7.2 0 50 17.9 22 91 -1 -7.6
"17" "16" 1999-03-06 21.74 "SAC" "@" "PHO" "W" 12 0 16.35 0.2 0.2 0 0 0 15.4 0 0 0 13.5 73 110 -0.1 -10.5
"18" "17" 1999-03-07 21.74 "SAC" "" "DAL" "W" 5 0 15.95 0.45 0.375 7 5.7 6.3 10.3 0 3.5 0 25.4 111 104 5.2 -1.2
"19" "18" 1999-03-09 21.75 "SAC" "@" "POR" "L" -5 0 21.65 0.5 0.5 4.6 17.8 11.4 0 2.3 0 0 15.7 109 106 6.1 1.8
"20" "19" 1999-03-11 21.75 "SAC" "@" "LAC" "L" -14 0 5.83333333333333 0 0 0 18.2 8.6 0 0 0 50 15.5 0 116 -2.2 -28.7
"21" "20" 1999-03-12 21.76 "SAC" "" "MIN" "L" -6 0 27.6 0.68 0.6 4 12.9 8.3 21.1 0 0 7.8 19.8 141 113 12.5 7.3
"22" "21" 1999-03-14 21.76 "SAC" "" "LAL" "W" 4 0 29.8166666666667 0.773 0.773 0 20 11.2 19.4 3.2 0 8.3 17.5 140 97 16.6 12.2
"23" "22" 1999-03-15 21.76 "SAC" "@" "GSW" "W" 6 0 22.1833333333333 0.694 0.583 9.9 20.8 15.2 25.3 0 0 0 17.2 161 110 14 8.2
"24" "23" 1999-03-16 21.77 "SAC" "" "SAS" "L" -12 0 15.5 0 0 5.6 9.4 7 0 0 0 0 11.9 15 125 -2.9 -16.8
"25" "24" 1999-03-18 21.77 "SAC" "" "POR" "L" -10 0 22.9166666666667 0.368 0.35 7.1 9.7 8.2 25.3 2.2 0 0 19.3 97 96 6.5 4.8
"26" "25" 1999-03-20 21.78 "SAC" "@" "DAL" "L" -14 0 15.75 0.8 0.8 0 0 0 11.1 0 0 16.7 18.2 121 125 5.4 4.3
"27" "26" 1999-03-22 21.78 "SAC" "@" "HOU" "L" -10 0 3.23333333333333 NA NA 0 40 18.2 0 0 0 100 14 0 104 -1.1 -26
"28" "" 1999-03-24 21.79 "SAC" "" "NYK" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "27" 1999-03-26 21.79 "SAC" "@" "LAL" "W" 2 0 6.3 0 0 0 0 0 0 0 0 0 7.4 0 120 -1.1 -18.5
"30" "28" 1999-03-28 21.8 "SAC" "" "HOU" "L" -14 0 28.3666666666667 0.335 0.308 6.2 8.2 7.1 11.8 1.8 0 0 19.1 97 116 5.5 -3
"31" "29" 1999-03-30 21.81 "SAC" "" "UTA" "W" 3 0 43.3333333333333 0.71 0.676 0 7 3 15.5 5.2 0 5.2 21.7 141 104 23.4 12.4
"32" "30" 1999-03-31 21.81 "SAC" "@" "POR" "L" -14 0 24.1333333333333 0.592 0.5 0 12.5 6.3 6.7 4.4 0 22.8 15.4 102 104 6.5 3.6
"33" "31" 1999-04-03 21.82 "SAC" "@" "MIN" "L" -9 0 23.3833333333333 0.421 0.286 4.7 13 9.1 18 2.2 0 10.7 17.8 99 110 5.4 -3.4
"34" "32" 1999-04-06 21.82 "SAC" "@" "SEA" "W" 6 0 29.7166666666667 0.81 0.778 0 3.5 2 10.3 5.1 0 0 15.2 164 100 16.8 12.4
