"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "" 2009-10-28 21.76 "DET" "@" "MEM" "W" 22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "" 2009-10-30 21.76 "DET" "" "OKC" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "" 2009-10-31 21.77 "DET" "@" "MIL" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "" 2009-11-03 21.78 "DET" "" "ORL" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "1" 2009-11-04 21.78 "DET" "@" "TOR" "L" -11 0 0.666666666666667 NA NA 0 0 0 0 0 0 NA 0 0 132 0 -6.4
"6" "" 2009-11-06 21.78 "DET" "@" "ORL" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "" 2009-11-08 21.79 "DET" "" "PHI" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "2" 2009-11-11 21.8 "DET" "" "CHA" "W" 23 0 10.4166666666667 0.5 0.5 0 24.3 13.8 13 0 0 33.3 15.3 77 92 0.1 -11.6
"9" "3" 2009-11-14 21.81 "DET" "@" "WAS" "W" 3 0 4 0 0 0 0 0 0 0 0 0 22.2 0 122 -2.2 -37.5
"10" "" 2009-11-15 21.81 "DET" "" "DAL" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "4" 2009-11-17 21.81 "DET" "@" "LAL" "L" -13 0 12 0.258 0 0 0 0 11.8 0 5.8 0 15.7 71 123 0.9 -7.8
"12" "5" 2009-11-18 21.82 "DET" "@" "POR" "L" -6 0 8.9 0.347 0 12.8 16.3 14.4 0 6.3 0 0 15.5 99 93 2.6 4.7
"13" "6" 2009-11-21 21.82 "DET" "@" "UTA" "L" -3 0 14.0833333333333 1.25 1.25 0 0 0 13.2 0 6.1 0 7.1 245 110 5.4 13.4
"14" "7" 2009-11-22 21.83 "DET" "@" "PHO" "L" -26 0 22.8166666666667 0.591 0.591 0 0 0 0 2.4 0 0 21.6 132 137 7.5 2.2
"15" "8" 2009-11-25 21.84 "DET" "" "CLE" "L" -10 0 4.86666666666667 0 0 0 26 12.6 0 0 0 0 27.7 0 116 -2.2 -32.5
"16" "9" 2009-11-27 21.84 "DET" "" "LAC" "L" -8 0 5.3 0 0 18.1 0 11.6 0 0 0 0 8.1 56 126 -0.8 -18.5
"17" "" 2009-11-29 21.85 "DET" "" "ATL" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "10" 2009-12-02 21.85 "DET" "@" "CHI" "L" -7 0 0.133333333333333 NA NA 0 0 0 0 0 0 NA 0 0 90 -0.4 -160.6
"19" "" 2009-12-04 21.86 "DET" "" "MIL" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "11" 2009-12-06 21.87 "DET" "" "WAS" "W" 4 0 0.0833333333333333 NA NA 0 0 0 0 0 0 NA 0 0 114 0 -7.3
"21" "12" 2009-12-09 21.87 "DET" "@" "PHI" "W" 4 0 2.33333333333333 NA NA 0 0 0 0 0 0 NA 0 0 117 -0.4 -17.5
"22" "13" 2009-12-10 21.88 "DET" "" "DEN" "W" 2 0 7.71666666666667 1.5 1.5 14.8 16.4 15.6 23.2 7 10.2 50 11.8 139 94 4.3 21.7
"23" "14" 2009-12-12 21.88 "DET" "" "GSW" "W" 9 0 0.116666666666667 NA NA 0 0 0 0 0 0 NA 0 0 109 0 -2.9
"24" "15" 2009-12-15 21.89 "DET" "@" "HOU" "L" -11 0 9.31666666666667 0.615 0.625 0 29.4 11.7 16.3 0 0 0 22.7 133 118 4.5 7.2
"25" "" 2009-12-16 21.89 "DET" "@" "NOH" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "16" 2009-12-18 21.9 "DET" "@" "OKC" "L" -11 0 7.68333333333333 0.868 0.75 0 0 0 0 7.4 0 25.8 23.5 135 120 2.8 4.9
"27" "17" 2009-12-20 21.9 "DET" "" "LAL" "L" -12 0 23.6666666666667 0.417 0.417 0 0 0 7 0 3.1 0 11.1 96 106 1.4 -3.3
"28" "18" 2009-12-22 21.91 "DET" "@" "CHA" "L" -12 0 18.3666666666667 0.19 0.143 10.5 29 18.2 0 0 0 11.3 21.8 49 103 -1.5 -15.8
"29" "19" 2009-12-23 21.91 "DET" "" "TOR" "L" -30 0 19.2666666666667 0.282 0.25 4.4 17.2 8.8 0 0 0 0 21 77 120 1.1 -6.2
"30" "" 2009-12-27 21.92 "DET" "@" "TOR" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "" 2009-12-29 21.93 "DET" "" "NYK" "L" -17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "" 2009-12-31 21.93 "DET" "" "CHI" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "" 2010-01-05 21.95 "DET" "@" "DAL" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "" 2010-01-06 21.95 "DET" "@" "SAS" "L" -20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "" 2010-01-09 21.96 "DET" "" "PHI" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "20" 2010-01-11 21.96 "DET" "@" "CHI" "L" -33 0 12 0.17 0 0 21.6 9.4 0 0 0 14.5 26.2 34 132 -2.3 -24.3
"37" "" 2010-01-12 21.97 "DET" "@" "WAS" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "" 2010-01-15 21.98 "DET" "" "NOH" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "" 2010-01-16 21.98 "DET" "" "NYK" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "21" 2010-01-18 21.98 "DET" "@" "NYK" "L" -8 0 5.56666666666667 0 0 0 25.4 10.1 0 0 0 0 7.4 0 110 -0.4 -11.1
"41" "22" 2010-01-20 21.99 "DET" "" "BOS" "W" 6 0 1.63333333333333 0.5 0.5 0 0 0 0 0 0 0 53.8 102 102 1 3.4
"42" "23" 2010-01-22 21.99 "DET" "" "IND" "L" -12 0 7.26666666666667 0.333 0.333 0 0 0 0 7.1 0 0 17.4 79 104 1.3 -1.7
"43" "" 2010-01-23 22 "DET" "" "POR" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "" 2010-01-27 22.01 "DET" "" "MEM" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"45" "" 2010-01-29 22.01 "DET" "" "MIA" "L" -27 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" "" 2010-01-31 22.02 "DET" "" "ORL" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"47" "" 2010-02-02 22.02 "DET" "@" "NJN" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" "24" 2010-02-05 22.03 "DET" "@" "IND" "L" -24 0 7.61666666666667 0.515 0.333 0 16.2 7.1 0 7 0 20.5 29.2 89 108 1.8 -5.3
"49" "" 2010-02-06 22.04 "DET" "" "NJN" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" "" 2010-02-09 22.04 "DET" "@" "MIL" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"51" "" 2010-02-10 22.05 "DET" "" "SAC" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"52" "" 2010-02-16 22.06 "DET" "" "MIN" "W" 23 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"53" "" 2010-02-17 22.07 "DET" "@" "ORL" "L" -25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"54" "" 2010-02-19 22.07 "DET" "" "MIL" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"55" "" 2010-02-21 22.08 "DET" "" "SAS" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"56" "" 2010-02-23 22.08 "DET" "@" "SAC" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"57" "" 2010-02-24 22.08 "DET" "@" "LAC" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"58" "" 2010-02-26 22.09 "DET" "@" "DEN" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
