"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2017-10-18 20.5 "POR" "@" "PHO" "W" 48 0 17.5 0.538 0.5 7.2 15.8 12.2 23 2.8 0 21.2 21.9 111 77 6.2 3.1
"2" "2" 2017-10-20 20.51 "POR" "@" "IND" "W" 18 0 8.8 0.205 0 0 0 0 0 0 0 17 28.8 40 104 -2.6 -26.9
"3" "" 2017-10-21 20.51 "POR" "@" "MIL" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "3" 2017-10-24 20.52 "POR" "" "NOP" "W" 10 0 15.9 0.46 0.4 27 18.5 23 33.6 0 6.6 26.9 18.6 106 92 6.3 3.5
"5" "4" 2017-10-26 20.52 "POR" "" "LAC" "L" -1 0 4.66666666666667 NA NA 0 24.5 11.4 0 0 0 100 9.6 0 117 -1.1 -20.5
"6" "" 2017-10-28 20.53 "POR" "" "PHO" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "5" 2017-10-30 20.53 "POR" "" "TOR" "L" -14 0 7.48333333333333 0 0 14.3 32.1 22.6 0 0 0 0 25.3 18 108 -1.5 -21.2
"8" "" 2017-11-01 20.54 "POR" "@" "UTA" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "6" 2017-11-02 20.54 "POR" "" "LAL" "W" 3 0 13.7833333333333 0.512 0.5 17.4 21.1 19.1 0 7.1 0 0 15.5 125 102 5.8 2.3
"10" "7" 2017-11-05 20.55 "POR" "" "OKC" "W" 4 0 14.0333333333333 0.512 0.5 0 31.8 18 11.3 0 0 17 18.7 92 103 2.3 -4.8
"11" "" 2017-11-07 20.56 "POR" "" "MEM" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "8" 2017-11-10 20.56 "POR" "" "BRK" "L" -4 0 5.6 0.333 0.333 17.1 34.3 25.7 0 0 0 0 23.4 88 101 1.2 -8
"13" "9" 2017-11-13 20.57 "POR" "" "DEN" "W" 17 1 20.4833333333333 0.51 0.4 7.6 19.9 15 7 0 9 25.4 18.1 91 88 2.9 -5.9
"14" "10" 2017-11-15 20.58 "POR" "" "ORL" "W" 5 1 5.56666666666667 0 NA 0 0 0 0 0 0 53.2 15.5 0 112 -1.8 -22.9
"15" "11" 2017-11-17 20.58 "POR" "@" "SAC" "L" -4 1 9.61666666666667 0.5 0.5 11.9 33.3 22.9 20 5.5 0 33.3 14.3 88 81 2.1 1.1
"16" "12" 2017-11-18 20.59 "POR" "" "SAC" "W" 12 0 1.6 NA NA 0 0 0 0 0 0 NA 0 0 107 0 -4.6
"17" "" 2017-11-20 20.59 "POR" "@" "MEM" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "13" 2017-11-22 20.6 "POR" "@" "PHI" "L" -20 0 2.95 0.41 0.5 0 0 0 0 0 0 0 34.1 75 107 0.2 -6.9
"19" "" 2017-11-24 20.6 "POR" "@" "BRK" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "" 2017-11-25 20.61 "POR" "@" "WAS" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "" 2017-11-27 20.61 "POR" "@" "NYK" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "" 2017-11-30 20.62 "POR" "" "MIL" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "" 2017-12-02 20.62 "POR" "" "NOP" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "" 2017-12-05 20.63 "POR" "" "WAS" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "" 2017-12-09 20.64 "POR" "" "HOU" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "14" 2017-12-11 20.65 "POR" "@" "GSW" "L" -7 0 1.05 NA NA 0 0 0 0 48.9 0 NA 0 0 19 1 44.6
"27" "" 2017-12-13 20.65 "POR" "@" "MIA" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "" 2017-12-15 20.66 "POR" "@" "ORL" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "" 2017-12-16 20.66 "POR" "@" "CHO" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "" 2017-12-18 20.67 "POR" "@" "MIN" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "" 2017-12-20 20.67 "POR" "" "SAS" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "15" 2017-12-22 20.68 "POR" "" "DEN" "L" -17 0 3.71666666666667 0.5 0.5 0 0 0 0 0 0 0 26.1 102 127 1 -3
"33" "" 2017-12-23 20.68 "POR" "@" "LAL" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "" 2017-12-28 20.7 "POR" "" "PHI" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "" 2017-12-30 20.7 "POR" "@" "ATL" "L" -15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "" 2018-01-01 20.71 "POR" "@" "CHI" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "" 2018-01-02 20.71 "POR" "@" "CLE" "L" -17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "" 2018-01-05 20.72 "POR" "" "ATL" "W" 21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "" 2018-01-07 20.72 "POR" "" "SAS" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "" 2018-01-09 20.73 "POR" "@" "OKC" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "" 2018-01-10 20.73 "POR" "@" "HOU" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "" 2018-01-12 20.74 "POR" "@" "NOP" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"43" "" 2018-01-14 20.74 "POR" "@" "MIN" "L" -17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "" 2018-01-16 20.75 "POR" "" "PHO" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"45" "" 2018-01-18 20.75 "POR" "" "IND" "W" 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" "" 2018-01-20 20.76 "POR" "" "DAL" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"47" "" 2018-01-22 20.76 "POR" "@" "DEN" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" "" 2018-01-24 20.77 "POR" "" "MIN" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"49" "" 2018-01-26 20.78 "POR" "@" "DAL" "W" 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" "" 2018-01-30 20.79 "POR" "@" "LAC" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"51" "" 2018-01-31 20.79 "POR" "" "CHI" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"52" "" 2018-02-02 20.79 "POR" "@" "TOR" "L" -25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"53" "" 2018-02-04 20.8 "POR" "@" "BOS" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"54" "16" 2018-02-05 20.8 "POR" "@" "DET" "L" -20 0 4.16666666666667 0.5 0.5 21.3 0 12 0 0 0 0 20.8 118 126 1.7 -1.4
"55" "" 2018-02-08 20.81 "POR" "" "CHO" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"56" "17" 2018-02-09 20.81 "POR" "@" "SAC" "W" 18 0 2.26666666666667 0 0 0 0 0 0 0 0 0 19.8 0 114 -1.1 -35.2
"57" "" 2018-02-11 20.82 "POR" "" "UTA" "L" -19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"58" "" 2018-02-14 20.83 "POR" "" "GSW" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"59" "" 2018-02-23 20.85 "POR" "@" "UTA" "W" 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"60" "" 2018-02-24 20.85 "POR" "@" "PHO" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"61" "18" 2018-02-27 20.86 "POR" "" "SAC" "W" 17 0 2.56666666666667 NA NA 0 0 0 0 0 0 100 17.2 0 109 -1 -24.4
"62" "" 2018-03-01 20.87 "POR" "" "MIN" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"63" "" 2018-03-03 20.87 "POR" "" "OKC" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"64" "" 2018-03-05 20.88 "POR" "@" "LAL" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"65" "19" 2018-03-06 20.88 "POR" "" "NYK" "W" 24 0 3 1 1 35.6 0 17.8 0 0 0 0 14.5 217 101 2.4 14.2
"66" "20" 2018-03-09 20.89 "POR" "" "GSW" "W" 17 0 0.833333333333333 NA NA 0 0 0 100 0 0 NA 0 236 120 0.3 31.2
"67" "" 2018-03-12 20.9 "POR" "" "MIA" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"68" "" 2018-03-15 20.91 "POR" "" "CLE" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"69" "" 2018-03-17 20.91 "POR" "" "DET" "W" 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"70" "21" 2018-03-18 20.92 "POR" "@" "LAC" "W" 13 0 2.31666666666667 NA NA 0 0 0 0 0 0 100 18.2 0 114 -1.8 -40.4
"71" "" 2018-03-20 20.92 "POR" "" "HOU" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"72" "" 2018-03-23 20.93 "POR" "" "BOS" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"73" "" 2018-03-25 20.93 "POR" "@" "OKC" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"74" "" 2018-03-27 20.94 "POR" "@" "NOP" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"75" "" 2018-03-28 20.94 "POR" "@" "MEM" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"76" "22" 2018-03-30 20.95 "POR" "" "LAC" "W" 9 0 6.23333333333333 0.333 0.333 0 32.1 16 46.3 0 0 0 20.6 98 97 1.5 -0.8
"77" "23" 2018-04-01 20.95 "POR" "" "MEM" "W" 15 0 8.7 0.5 0.5 13.5 37.6 26 39.5 0 0 20 25.5 103 99 3.2 -2.7
"78" "24" 2018-04-03 20.96 "POR" "@" "DAL" "L" -6 0 2.23333333333333 0 0 0 87.7 48.3 0 0 0 0 19.4 0 101 -0.5 -25.7
"79" "25" 2018-04-05 20.96 "POR" "@" "HOU" "L" -2 0 17.5666666666667 0.806 0.75 0 26.7 12.9 0 0 0 32.6 23 105 106 5 -2.8
"80" "" 2018-04-07 20.97 "POR" "@" "SAS" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"81" "26" 2018-04-09 20.98 "POR" "@" "DEN" "L" -6 0 5.7 0.5 0.5 0 51.6 23.2 0 0 0 33.3 21.2 66 84 0.5 -6.3
"82" "27" 2018-04-11 20.98 "POR" "" "UTA" "W" 9 0 1.01666666666667 NA NA 0 89.1 47.7 0 0 0 NA 0 0 68 0.3 1.7
"1" "" 2018-10-18 21.5 "POR" "" "LAL" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "1" 2018-10-20 21.51 "POR" "" "SAS" "W" 13 0 3.03333333333333 NA NA 0 0 0 0 0 0 NA 0 0 125 -0.4 -9.9
"3" "" 2018-10-22 21.51 "POR" "" "WAS" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "" 2018-10-25 21.52 "POR" "@" "ORL" "W" 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "" 2018-10-27 21.53 "POR" "@" "MIA" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "2" 2018-10-29 21.53 "POR" "@" "IND" "W" 10 0 18.6 0.751 0.667 27.9 32.3 30.4 9.3 2.7 0 29.1 25.6 121 90 9.7 4.3
"7" "3" 2018-10-30 21.53 "POR" "@" "HOU" "W" 19 0 20.4 0.167 0.167 13.1 33.1 25.9 0 0 0 25 17.6 44 77 -0.5 -11.6
"8" "4" 2018-11-01 21.54 "POR" "" "NOP" "W" 13 0 14.8166666666667 0.436 0.417 0 31.2 18 8.6 0 0 12.7 22.3 85 110 2.2 -9.1
"9" "5" 2018-11-03 21.55 "POR" "" "LAL" "L" -4 0 5 0 0 16.8 0 9.6 0 0 0 25 30.1 17 113 -2.8 -35.2
"10" "6" 2018-11-04 21.55 "POR" "" "MIN" "W" 30 0 9.88333333333333 0 0 11.6 31.3 23.3 0 0 0 50 8.4 29 79 -0.2 -7.6
"11" "" 2018-11-06 21.55 "POR" "" "MIL" "W" 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
