"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1970-10-15 22.69 "PHO" "" "BOS" "W" 19 0 10 0.63 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1970-10-20 22.7 "PHO" "@" "SDR" "L" -1 0 17 0.376 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1970-10-21 22.71 "PHO" "@" "SEA" "L" -4 0 26 0.6 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1970-10-23 22.71 "PHO" "" "CLE" "W" 4 0 4 0.532 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1970-10-25 22.72 "PHO" "" "SDR" "W" 19 0 12 0.955 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1970-10-28 22.73 "PHO" "" "CHI" "L" -13 0 11 0.714 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1970-10-30 22.73 "PHO" "@" "BOS" "L" -15 0 3 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1970-10-31 22.73 "PHO" "@" "BAL" "L" -3 0 18 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1970-11-02 22.74 "PHO" "" "BUF" "W" 8 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1970-11-13 22.77 "PHO" "" "CIN" "W" 6 0 4 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1970-11-15 22.78 "PHO" "" "DET" "W" 4 0 5 0.368 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1970-11-19 22.79 "PHO" "@" "DET" "L" -2 0 11 0.486 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1970-11-20 22.79 "PHO" "@" "BAL" "L" -11 0 24 0.568 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1970-11-21 22.79 "PHO" "@" "PHI" "W" 6 0 8 0.394 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1970-11-22 22.79 "PHO" "@" "CLE" "W" 15 0 6 0.579 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1970-11-24 22.8 "PHO" "@" "BUF" "L" -6 NA 9 0.735 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1970-11-26 22.81 "PHO" "" "SEA" "W" 11 0 12 0.575 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1970-11-27 22.81 "PHO" "@" "LAL" "W" 11 0 5 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1970-11-28 22.81 "PHO" "" "SDR" "L" -1 0 21 0.523 NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1970-12-02 22.82 "PHO" "" "ATL" "W" 14 0 10 0.366 NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1970-12-04 22.83 "PHO" "@" "POR" "W" 5 0 6 0.521 NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1970-12-05 22.83 "PHO" "@" "SFW" "W" 5 0 6 0.524 NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1970-12-06 22.83 "PHO" "" "SDR" "W" 6 0 5 0.291 NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1970-12-08 22.84 "PHO" "" "LAL" "L" -9 0 7 0.231 NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1970-12-11 22.85 "PHO" "@" "SDR" "L" -6 0 16 0.376 NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1970-12-12 22.85 "PHO" "" "MIL" "W" 2 0 6 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1970-12-15 22.86 "PHO" "" "SFW" "L" -6 0 5 0.225 NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1970-12-19 22.87 "PHO" "@" "SEA" "L" -4 0 5 0.532 NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1970-12-20 22.87 "PHO" "" "NYK" "L" -15 0 16 0.539 NA NA NA NA NA NA NA NA NA NA NA NA NA
