"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1982-10-29 22.55 "HOU" "@" "SEA" "L" -33 0 10 0.375 0.375 NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1982-11-09 22.58 "HOU" "" "PHO" "L" -28 0 18 0.406 0.375 NA NA NA NA NA NA NA NA NA NA 4.2 NA
"3" "3" 1982-11-12 22.59 "HOU" "@" "LAL" "L" -31 0 12 0.615 0.5 NA NA 7.4 12.5 NA NA NA NA NA NA NA NA
"4" "4" 1982-11-14 22.6 "HOU" "" "SEA" "L" -3 1 33 0.455 0.432 NA NA NA NA NA NA NA NA NA NA 12.2 NA
"5" "5" 1982-11-16 22.6 "HOU" "@" "NYK" "L" -27 1 26 0.543 0.5 NA NA NA NA NA NA NA NA NA NA 6.1 NA
"6" "6" 1982-11-17 22.61 "HOU" "@" "BOS" "L" -18 1 18 0.25 0.25 NA NA NA NA NA NA NA NA NA NA -1.8 NA
"7" "7" 1982-11-19 22.61 "HOU" "@" "IND" "W" 11 1 39 0.656 0.636 NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1982-11-23 22.62 "HOU" "" "DET" "L" -22 1 34 0.4 0.4 NA NA NA NA NA NA NA NA NA NA 2.7 NA
"9" "9" 1982-11-25 22.63 "HOU" "" "KCK" "L" -9 1 28 0.286 0.286 NA NA NA NA NA NA NA NA NA NA 0.8 NA
"10" "10" 1982-11-27 22.63 "HOU" "" "CHI" "W" 9 1 29 0.492 0.474 NA NA 3.4 18.3 NA NA 16.4 NA NA NA 9.1 NA
"11" "11" 1982-12-01 22.64 "HOU" "" "LAL" "L" -11 1 17 0.429 0.429 NA NA 3.5 0 NA NA NA NA NA NA -1 NA
"12" "12" 1982-12-03 22.65 "HOU" "@" "SAS" "L" -10 1 44 0.573 0.529 NA NA NA NA NA NA NA NA NA NA NA NA
