"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1982-11-20 21.41 "KCK" "@" "DAL" "W" 7 0 4 1.042 1 NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1982-11-24 21.42 "KCK" "" "DET" "W" 10 0 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1982-11-25 21.42 "KCK" "@" "HOU" "W" 9 0 6 0.347 0.5 NA NA NA NA NA NA NA NA NA NA 0.5 NA
"4" "4" 1982-11-28 21.43 "KCK" "@" "CLE" "L" -8 0 5 0 0 NA NA NA NA NA NA NA NA NA NA -1.1 NA
"5" "5" 1982-11-30 21.44 "KCK" "@" "NJN" "L" -9 0 11 0 0 NA NA NA NA NA NA NA NA NA NA -2.5 NA
"6" "6" 1982-12-01 21.44 "KCK" "" "CHI" "W" 11 0 7 0.5 0.5 NA NA 22.4 0 NA NA NA NA NA NA -0.7 NA
"7" "7" 1982-12-03 21.45 "KCK" "" "GSW" "L" -16 0 4 1 1 NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1982-12-05 21.45 "KCK" "" "SEA" "W" 3 0 21 0.503 0.5 NA NA NA NA NA NA NA NA NA NA 9.6 NA
"9" "9" 1982-12-08 21.46 "KCK" "" "SAS" "L" -1 0 6 NA NA NA NA NA NA NA NA NA NA NA NA 1.3 NA
"10" "10" 1982-12-10 21.47 "KCK" "" "SDC" "W" 12 0 15 0.512 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1982-12-11 21.47 "KCK" "@" "SAS" "W" 12 0 4 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1982-12-15 21.48 "KCK" "" "NJN" "W" 1 0 23 0.87 1 NA NA NA NA NA NA NA NA NA NA 11.7 NA
"13" "13" 1982-12-17 21.48 "KCK" "@" "SEA" "L" -3 0 12 NA NA NA NA NA NA NA NA NA NA NA NA 0.7 NA
"14" "14" 1982-12-18 21.49 "KCK" "@" "GSW" "W" 16 0 17 0.34 0.2 NA NA NA NA NA NA NA NA NA NA -0.3 NA
"15" "15" 1982-12-20 21.49 "KCK" "@" "UTA" "L" -2 0 19 0.788 0.75 NA NA 13.9 7 NA 0 NA NA NA NA 3.4 NA
"16" "16" 1982-12-22 21.5 "KCK" "" "DEN" "W" 44 0 28 0.8 0.8 NA NA NA NA NA NA NA NA NA NA 14.2 NA
"17" "17" 1982-12-26 21.51 "KCK" "" "UTA" "W" 2 0 12 0.255 0.2 NA NA NA NA NA NA NA NA NA NA 0.6 NA
"18" "18" 1982-12-28 21.52 "KCK" "" "BOS" "W" 5 0 8 0 0 NA NA NA NA NA NA NA NA NA NA -0.9 NA
"19" "19" 1982-12-30 21.52 "KCK" "" "POR" "L" -6 0 11 0.868 1 NA NA 10.3 0 NA 5.6 25.8 NA NA NA 4.9 NA
"20" "20" 1983-01-02 21.53 "KCK" "@" "ATL" "W" 4 0 18 0.349 0.286 NA NA 37.7 0 NA 3.3 NA NA NA NA 9.8 NA
"21" "21" 1983-01-04 21.53 "KCK" "@" "DEN" "L" -16 0 18 0.694 0.714 NA NA 22.9 0 NA 2.5 16.6 NA NA NA 11.9 NA
"22" "22" 1983-01-05 21.54 "KCK" "" "DEN" "W" 20 0 9 0.5 0.5 NA NA 26 0 NA 12.5 NA NA NA NA 0.6 NA
"23" "23" 1983-01-07 21.54 "KCK" "" "UTA" "W" 22 0 13 0.8 0.8 NA NA 43.7 0 NA 4 NA NA NA NA NA NA
"24" "24" 1983-01-08 21.55 "KCK" "@" "PHI" "L" -12 0 14 0.781 0.75 NA NA 27.6 22.3 NA 3.8 NA NA NA NA NA NA
"25" "25" 1983-01-11 21.55 "KCK" "@" "UTA" "L" -8 0 8 0.2 0.2 NA NA 34 0 NA 0 NA NA NA NA -0.5 NA
"26" "26" 1983-01-12 21.56 "KCK" "" "SAS" "W" 5 0 15 0.518 0.4 NA NA 22.2 0 NA 3.5 NA NA NA NA 5.3 NA
"27" "27" 1983-01-14 21.56 "KCK" "@" "SDC" "L" -7 0 13 0.667 0.667 NA NA 23.7 11.1 NA NA NA NA NA NA NA NA
"28" "28" 1983-01-15 21.56 "KCK" "@" "POR" "L" -11 0 15 0.6 0.6 NA NA 25.6 0 NA 0 28.6 NA NA NA 4.3 NA
"29" "29" 1983-01-16 21.57 "KCK" "@" "SEA" "L" -15 0 9 1.031 1 NA NA 0 0 NA 6.2 NA NA NA NA 7.4 NA
"30" "30" 1983-01-19 21.58 "KCK" "" "NYK" "W" 3 0 10 0.133 0 NA NA 35.1 0 NA 6.5 NA NA NA NA 2.5 NA
"31" "31" 1983-01-21 21.58 "KCK" "" "HOU" "W" 7 0 26 0.636 0.667 NA NA 16.2 0 NA 5.9 NA NA NA NA NA NA
"32" "32" 1983-01-23 21.59 "KCK" "" "PHO" "L" -10 0 15 0.17 0.2 NA NA 21.7 17.4 NA 3.7 NA NA NA NA -1.9 NA
"33" "33" 1983-01-25 21.59 "KCK" "@" "DEN" "L" -7 0 20 0.644 0.667 NA NA 4.2 0 NA 9.1 NA NA NA NA 10.3 NA
"34" "34" 1983-01-26 21.59 "KCK" "" "DAL" "L" -10 0 20 0.521 0.5 NA NA 21.4 6.3 NA 2.8 NA NA NA NA 3.7 NA
"35" "35" 1983-01-28 21.6 "KCK" "" "PHI" "L" -15 0 19 1 1 NA NA 15.3 13.9 NA 0 NA NA NA NA NA NA
"36" "36" 1983-01-29 21.6 "KCK" "@" "IND" "L" -11 0 3 0.515 0.333 NA NA 71.9 0 NA NA NA NA NA NA NA NA
"37" "37" 1983-01-31 21.61 "KCK" "@" "NYK" "L" -17 0 16 0.25 0.25 NA NA NA NA NA NA NA NA NA NA -0.7 NA
"38" "38" 1983-02-02 21.61 "KCK" "@" "WSB" "W" 2 0 22 0.34 0.2 NA NA 34.3 4.9 NA NA NA NA NA NA 7.9 NA
"39" "39" 1983-02-04 21.62 "KCK" "" "LAL" "L" -18 0 13 0.698 0.714 NA NA NA 12.5 NA NA NA NA NA NA NA NA
"40" "40" 1983-02-06 21.62 "KCK" "@" "LAL" "L" -10 0 20 0.637 0.5 NA NA 32.2 6.8 NA NA NA NA NA NA 17.1 NA
"41" "41" 1983-02-08 21.63 "KCK" "@" "HOU" "L" -1 1 24 0.625 0.625 NA NA NA NA NA NA NA NA NA NA 10.3 NA
"42" "42" 1983-02-09 21.63 "KCK" "" "GSW" "W" 5 1 20 0.515 0.333 NA NA 19.1 0 NA 3.2 NA NA NA NA 3.3 NA
"43" "43" 1983-02-16 21.65 "KCK" "" "PHO" "L" -9 0 6 NA NA NA NA NA NA NA NA NA NA NA NA -0.7 NA
"44" "44" 1983-02-18 21.66 "KCK" "" "LAL" "W" 6 0 14 0.362 0 NA NA 18 12.5 NA NA NA NA NA NA NA NA
"45" "45" 1983-02-20 21.66 "KCK" "" "HOU" "W" 22 0 18 0.887 1 NA NA NA NA NA NA NA NA NA NA NA NA
"46" "46" 1983-02-23 21.67 "KCK" "" "WSB" "W" 6 0 11 0.6 0.6 NA NA 20.8 0 NA NA NA NA NA NA 2.1 NA
"47" "47" 1983-02-25 21.68 "KCK" "" "SAS" "L" -6 0 7 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"48" "48" 1983-02-26 21.68 "KCK" "@" "DAL" "L" -11 0 27 0.579 0.667 NA NA NA NA NA NA NA NA NA NA NA NA
"49" "49" 1983-03-01 21.69 "KCK" "@" "BOS" "L" -18 0 14 0.694 1 NA NA NA NA NA NA NA NA NA NA 5.9 NA
"50" "50" 1983-03-04 21.7 "KCK" "" "IND" "W" 17 0 22 0.325 0.222 NA NA 18.8 0 NA NA NA NA NA NA NA NA
"51" "51" 1983-03-06 21.7 "KCK" "" "SDC" "W" 39 0 8 0.8 0.8 NA NA 23.1 0 NA 0 NA NA NA NA 8.8 NA
"52" "52" 1983-03-09 21.71 "KCK" "" "DAL" "W" 16 0 8 1.042 1 NA NA NA NA NA NA NA NA NA NA 5.2 NA
"53" "53" 1983-03-11 21.72 "KCK" "@" "MIL" "L" -8 0 10 0.258 0 NA NA 18.2 0 NA 0 0 NA NA NA NA NA
"54" "54" 1983-03-13 21.72 "KCK" "" "SEA" "L" -5 0 4 0.568 NA NA NA NA NA NA NA NA NA NA NA -0.2 NA
"55" "55" 1983-03-15 21.73 "KCK" "@" "POR" "L" -17 0 19 0.694 0.5 NA NA 15.6 0 NA 2.9 58.1 NA NA NA 3.8 NA
"56" "56" 1983-03-16 21.73 "KCK" "@" "SEA" "L" -8 0 17 0.581 0.667 NA NA NA NA NA NA NA NA NA NA 3.4 NA
"57" "57" 1983-03-18 21.73 "KCK" "@" "LAL" "L" -13 0 6 0.205 0 NA NA 17 0 NA NA NA NA NA NA NA NA
"58" "58" 1983-03-20 21.74 "KCK" "" "GSW" "W" 14 0 16 0.51 0.4 NA NA 10.2 0 NA NA NA NA NA NA 3.4 NA
"59" "59" 1983-03-22 21.75 "KCK" "" "CLE" "W" 23 0 9 0.333 0.333 NA NA NA NA NA NA NA NA NA NA 0.8 NA
"60" "60" 1983-03-24 21.75 "KCK" "@" "PHO" "L" -17 0 15 0.727 0.667 NA NA NA NA NA NA NA NA NA NA 9.4 NA
"61" "61" 1983-03-27 21.76 "KCK" "" "POR" "W" 15 0 3 0 0 NA NA 0 0 NA 0 0 NA NA NA -0.7 NA
"62" "62" 1983-03-29 21.76 "KCK" "@" "HOU" "W" 16 0 15 0.436 0.333 NA NA NA NA NA NA NA NA NA NA 4.1 NA
"63" "63" 1983-04-01 21.77 "KCK" "@" "SDC" "W" 16 0 12 0.532 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"64" "64" 1983-04-02 21.78 "KCK" "@" "GSW" "W" 10 0 7 0 0 NA NA NA NA NA NA NA NA NA NA -2.5 NA
"65" "65" 1983-04-05 21.78 "KCK" "@" "SAS" "L" -17 0 16 1.031 1 NA NA NA NA NA NA NA NA NA NA 11 NA
"66" "66" 1983-04-08 21.79 "KCK" "" "UTA" "W" 15 0 20 0.59 0.5 NA NA 32.8 0 NA 2.6 NA NA NA NA NA NA
"67" "67" 1983-04-09 21.79 "KCK" "@" "UTA" "W" 6 1 41 0.535 0.4 NA NA 11.2 3 NA 1.5 NA NA NA NA NA NA
"68" "68" 1983-04-12 21.8 "KCK" "@" "CHI" "W" 10 0 12 0.8 0.8 NA NA 18.4 0 NA 14.1 NA NA NA NA 8.2 NA
"69" "69" 1983-04-13 21.81 "KCK" "" "ATL" "W" 11 0 19 0.478 0.5 NA NA NA NA NA NA NA NA NA NA 3.3 NA
