"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2017-10-19 22.93 "LAC" "@" "LAL" "W" 16 0 3.4 1.5 1.5 0 0 0 0 0 0 50 22.3 80 93 0.9 1.3
"2" "2" 2017-10-21 22.93 "LAC" "" "PHO" "W" 42 0 6.63333333333333 0.68 0.6 0 0 0 27.5 14.3 0 0 37.6 146 64 8 24.6
"3" "3" 2017-10-24 22.94 "LAC" "" "UTA" "W" 18 0 4.18333333333333 0.5 0.5 0 0 0 0 0 0 0 21.8 101 102 0.6 -9.1
"4" "4" 2017-10-26 22.95 "LAC" "@" "POR" "W" 1 0 8.53333333333333 0.798 0.5 13.4 11.7 12.5 18.5 0 0 0 20.4 187 122 5.9 12.1
"5" "5" 2017-10-28 22.95 "LAC" "" "DET" "L" -8 0 9 0.387 0.333 20.1 11.1 15.8 0 0 8.9 0 18.5 102 100 2.9 1.8
"6" "6" 2017-10-30 22.96 "LAC" "" "GSW" "L" -28 0 17.1 0.333 0.333 0 7 3.5 7.8 2.8 0 0 7.6 86 140 1.9 -4.6
"7" "7" 2017-11-01 22.96 "LAC" "" "DAL" "W" 21 0 23.05 0.307 0.25 5.8 0 2.4 16.1 0 3.9 0 9.5 107 106 2.1 -4.8
"8" "8" 2017-11-04 22.97 "LAC" "" "MEM" "L" -9 0 9.73333333333333 0.181 0 0 13.3 6 0 0 9.3 0 12.4 42 121 -0.7 -12.4
"9" "9" 2017-11-05 22.97 "LAC" "" "MIA" "L" -3 0 12.1333333333333 0.205 0 0 0 0 0 0 0 45 30.5 26 122 -6 -36.2
"10" "10" 2017-11-07 22.98 "LAC" "@" "SAS" "L" -13 0 16.7333333333333 0.466 0.5 7.5 7.2 7.4 8.6 6.1 0 13.4 20 94 120 4.9 -1
"11" "11" 2017-11-10 22.99 "LAC" "@" "OKC" "L" -9 1 22.9833333333333 0.919 0.9 0 5.1 2.4 0 2.2 8 35.5 15.3 110 120 5.8 3.1
"12" "12" 2017-11-11 22.99 "LAC" "@" "NOP" "L" -8 1 31.8666666666667 0.595 0.5 5.9 0 3.4 9.4 3 0 25.4 10.9 107 110 5.1 -2.2
"13" "13" 2017-11-13 22.99 "LAC" "" "PHI" "L" -4 1 30.7166666666667 0.47 0.5 0 8.9 3.7 0 0 3.5 21.2 13.3 71 113 1.4 -6.3
"14" "14" 2017-11-17 23.01 "LAC" "@" "CLE" "L" -5 1 31.3 0.722 0.722 0 3.4 1.6 9 0 3 10 13.6 127 114 8.5 1.4
"15" "15" 2017-11-18 23.01 "LAC" "@" "CHO" "L" -15 1 30.75 0.5 0.5 0 0 0 15.7 3.2 0 16.7 8.9 95 107 3.8 -1
"16" "16" 2017-11-20 23.01 "LAC" "@" "NYK" "L" -22 0 15.75 0 0 6.5 0 3.5 0 0 0 0 2.8 51 123 -1.2 -12.2
"17" "17" 2017-11-22 23.02 "LAC" "@" "ATL" "W" 13 0 7.03333333333333 0 0 0 0 0 0 0 0 0 6.9 0 120 -1.1 -16.8
"18" "18" 2017-11-25 23.03 "LAC" "@" "SAC" "W" 2 0 19.7666666666667 0.333 0.333 0 6.2 3.3 0 2.6 0 0 7.2 68 104 1.2 -6.8
"19" "19" 2017-11-27 23.03 "LAC" "" "LAL" "W" 5 0 11.8166666666667 1.5 1.5 0 8.8 4.7 0 7.9 0 0 3.5 300 100 4.6 12.9
"20" "20" 2017-11-30 23.04 "LAC" "" "UTA" "L" -19 0 11.3333333333333 0.75 0.75 0 11.8 6.1 0 0 0 33.3 12.4 88 143 1.3 -7.1
"21" "21" 2017-12-02 23.05 "LAC" "@" "DAL" "L" -26 0 15.5 0.615 0.583 0 0 0 15 3.4 0 0 21.4 129 123 6.9 7.8
"22" "22" 2017-12-03 23.05 "LAC" "@" "MIN" "L" -6 0 14.0166666666667 0 0 0 15.9 8.7 0 0 0 0 6.9 0 127 -3.2 -19.7
"23" "23" 2017-12-06 23.06 "LAC" "" "MIN" "L" -6 0 15.9333333333333 0.45 0.5 5.5 26.6 13.5 0 0 0 18.4 14.3 81 119 1.4 -10.1
"24" "24" 2017-12-09 23.07 "LAC" "" "WAS" "W" 1 1 19.6166666666667 0.333 0.333 0 12.9 6.4 0 2.6 0 25 9.7 47 118 0.5 -9.6
"25" "25" 2017-12-11 23.07 "LAC" "" "TOR" "W" 5 0 22.7 0 0 3.9 32.2 16.9 18.7 0 8.3 25 7.4 46 88 2.4 -1.1
"26" "26" 2017-12-13 23.08 "LAC" "@" "ORL" "W" 11 0 7.15 0.75 0.75 0 25.8 14 0 0 0 0 12.8 133 98 1.8 -2.9
"27" "27" 2017-12-15 23.08 "LAC" "@" "WAS" "L" -9 1 19.3666666666667 0.525 0.333 0 10.8 5.1 8.1 2.4 0 29.6 14.1 82 99 2.4 -5.3
"28" "28" 2017-12-16 23.08 "LAC" "@" "MIA" "L" -5 0 13.7166666666667 NA NA 0 24.4 12.6 0 0 7.4 100 10.2 0 99 -2.2 -13.7
"29" "29" 2017-12-18 23.09 "LAC" "@" "SAS" "L" -18 0 16.3666666666667 1.125 1.125 0 14 6.7 23.2 0 5.1 20 13.6 168 113 9.5 12.8
"30" "30" 2017-12-20 23.1 "LAC" "" "PHO" "W" 13 0 1.23333333333333 NA NA 0 0 0 0 0 0 NA 0 0 107 0 -5.5
"31" "31" 2017-12-22 23.1 "LAC" "@" "HOU" "W" 10 0 0.166666666666667 NA NA 0 0 0 0 0 0 NA 0 0 128 0 -6.4
"32" "" 2017-12-23 23.1 "LAC" "@" "MEM" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "32" 2017-12-26 23.11 "LAC" "" "SAC" "W" 27 0 22.0833333333333 0.581 0.5 6 17.4 12.6 23.2 9 0 22.5 18.2 115 85 11.7 8.4
"34" "33" 2017-12-29 23.12 "LAC" "@" "LAL" "W" 15 0 1.41666666666667 NA NA 0 75.3 40.3 0 0 0 NA 0 0 99 0.3 -0.4
"35" "34" 2017-12-31 23.13 "LAC" "" "CHO" "W" 8 0 4.86666666666667 NA NA 0 19.3 11.1 0 10.1 0 100 9.5 0 80 -0.5 -8.7
"36" "35" 2018-01-02 23.13 "LAC" "" "MEM" "W" 8 0 12.45 0 0 0 19.3 10.7 9.9 4 14.5 0 3.7 57 93 2.6 9.1
"37" "36" 2018-01-04 23.14 "LAC" "" "OKC" "L" -10 0 11.5666666666667 0 0 8.3 20.2 13.7 0 0 6.8 0 10.4 28 122 -0.1 -11.7
"38" "37" 2018-01-06 23.14 "LAC" "" "GSW" "L" -16 0 7.4 0.368 0.4 13 0 6.6 24.9 6 0 0 28.9 90 108 2.1 -2.6
"39" "38" 2018-01-08 23.15 "LAC" "" "ATL" "W" 1 0 7.75 0.266 0 0 35.7 18 16.3 0 0 0 10 85 101 0.7 -8.5
"40" "39" 2018-01-10 23.15 "LAC" "@" "GSW" "W" 19 0 4.9 0.532 0 0 50.2 24.8 21.3 0 0 0 15.3 143 105 2.6 5.5
"41" "" 2018-01-11 23.16 "LAC" "@" "SAC" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "40" 2018-01-13 23.16 "LAC" "" "SAC" "W" 21 0 5 1 1 0 0 0 26.4 0 0 0 8.9 208 114 2.4 8.4
"43" "41" 2018-01-15 23.17 "LAC" "" "HOU" "W" 11 0 0.283333333333333 NA NA 0 0 0 0 0 0 NA 0 0 116 0 -4.8
"44" "42" 2018-01-17 23.17 "LAC" "" "DEN" "W" 5 0 0.633333333333333 0.568 NA 0 0 0 0 74.8 0 0 55.3 122 -47 1.6 94.9
"45" "43" 2018-01-20 23.18 "LAC" "@" "UTA" "L" -12 0 5.91666666666667 1.042 1 0 0 0 29.1 0 0 0 10.4 219 131 3 6.3
"46" "44" 2018-01-22 23.19 "LAC" "" "MIN" "L" -8 0 18.9166666666667 0.333 0.333 0 25.4 14.6 0 2.5 3.7 40 11.5 38 113 1.1 -6.6
"47" "45" 2018-01-24 23.19 "LAC" "" "BOS" "L" -11 0 16.1 1.136 NA 0 0 0 8.5 0 0 53.2 4.9 119 121 0.9 -6.2
"48" "46" 2018-01-26 23.2 "LAC" "@" "MEM" "W" 9 0 12.8333333333333 0.543 0 0 9.1 4.7 0 3.8 6.9 0 10 118 98 3.5 -0.4
"49" "47" 2018-01-28 23.2 "LAC" "@" "NOP" "W" 9 0 17.0666666666667 0.75 0.75 0 0 0 13.3 0 5.6 0 4.9 163 103 3.7 3.2
"50" "48" 2018-01-30 23.21 "LAC" "" "POR" "L" -8 0 18.0166666666667 1.014 1.125 0 9 4.9 0 0 0 18.4 13.2 132 112 6.6 2.5
"51" "" 2018-02-03 23.22 "LAC" "" "CHI" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"52" "" 2018-02-05 23.22 "LAC" "" "DAL" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"53" "" 2018-02-09 23.24 "LAC" "@" "DET" "W" 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"54" "" 2018-02-10 23.24 "LAC" "@" "PHI" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"55" "49" 2018-02-12 23.24 "LAC" "@" "BRK" "W" 13 0 0.533333333333333 NA NA 0 0 0 0 0 0 NA 0 0 117 0 -4.7
"56" "" 2018-02-14 23.25 "LAC" "@" "BOS" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"57" "" 2018-02-22 23.27 "LAC" "@" "GSW" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"58" "50" 2018-02-23 23.27 "LAC" "@" "PHO" "W" 11 0 0.55 NA NA 0 0 0 0 0 0 NA 0 0 118 0 -4.9
"59" "" 2018-02-27 23.28 "LAC" "@" "DEN" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"60" "51" 2018-02-28 23.29 "LAC" "" "HOU" "L" -13 0 14.0666666666667 0.532 0.5 0 7.6 4.3 10.5 3.6 0 0 12.4 118 109 3.8 4.7
"61" "52" 2018-03-02 23.29 "LAC" "" "NYK" "W" 23 0 18.6 0.515 0.5 0 5.5 3.1 10.9 7.9 0 0 9.1 136 100 6.2 4.4
"62" "53" 2018-03-04 23.3 "LAC" "" "BRK" "W" 3 0 23.2166666666667 0.833 0.833 5.4 0 2.5 5.2 2.1 4.4 25 7.7 134 127 5 0.1
"63" "54" 2018-03-06 23.3 "LAC" "" "NOP" "L" -5 0 27.85 0.515 0.333 6.6 21.5 14.4 3.9 1.6 0 0 5.4 135 108 7.1 0.3
"64" "55" 2018-03-09 23.31 "LAC" "" "CLE" "W" 14 1 37.25 0.678 0.611 0 11 5.6 0 1.3 2.5 0 11.5 144 104 11.4 2.5
"65" "56" 2018-03-10 23.32 "LAC" "" "ORL" "W" 8 1 14.25 1.042 1 10.5 0 4.6 9.8 7 0 0 9.2 217 102 7.2 11.3
"66" "57" 2018-03-13 23.32 "LAC" "@" "CHI" "W" 6 1 30.1666666666667 0.387 0.333 8 6.8 7.3 9 0 4.4 20.5 7.2 99 108 3.5 -3.4
"67" "58" 2018-03-15 23.33 "LAC" "@" "HOU" "L" -5 1 36.95 0.333 0.333 0 0 0 3.2 1.4 0 0 10.7 78 115 1.4 -4.6
"68" "59" 2018-03-16 23.33 "LAC" "@" "OKC" "L" -8 1 28.2833333333333 0.338 0.25 3.8 10.4 7.2 0 0 0 10.1 14.3 79 128 1.4 -11.3
"69" "60" 2018-03-18 23.34 "LAC" "" "POR" "L" -13 1 29.2166666666667 0.317 0.286 3.5 8.6 5.8 0 3.3 0 20.2 14.9 58 120 1 -11
"70" "61" 2018-03-20 23.34 "LAC" "@" "MIN" "L" -14 1 25.4 0.527 0.25 8.4 15.7 11.7 14.9 1.9 0 13.1 12.6 121 123 8.6 1.3
"71" "62" 2018-03-21 23.35 "LAC" "@" "MIL" "W" 7 0 15.5 0.5 0.5 0 7.9 3.9 0 6.1 0 60 13.1 36 112 -0.1 -9.5
